Season,Rank,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP (Per Game),PTS (Per Game),TRB (Per Game),AST (Per Game),STL (Per Game),BLK (Per Game)
2004-2005,36,Mario Kasun,"Nov 12, '04, ORL vs. LAL",24,2,73,569,78,167,0,1,42,66,76,188,11,10,16,41,155,198,.467,.000,.636,7.8,2.7,2.6,0.2,0.1,0.2
2004-2005,37,Viktor Khryapa,"Feb 1, '05, POR @ LAL",22,4,143,2351,251,567,14,48,127,193,168,492,142,86,48,139,353,643,.443,.292,.658,16.4,4.5,3.4,1.0,0.6,0.3
2004-2005,38,Brandin Knight,"Jan 17, '05, HOU @ MEM",23,1,1,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,.000,,,3.0,0.0,0.0,1.0,0.0,0.0
2004-2005,39,Nenad Krstić,"Nov 3, '04, NJN vs. MIA",21,7,419,10547,1724,3493,2,14,760,1041,772,2261,346,162,286,497,1251,4210,.494,.143,.730,25.2,10.0,5.4,0.8,0.4,0.7
2004-2005,40,Ibo Kutluay,"Dec 22, '04, SEA vs. DEN",30,1,5,12,0,1,0,0,0,0,0,1,0,0,0,2,1,0,.000,,,2.4,0.0,0.2,0.0,0.0,0.0
2004-2005,41,Shaun Livingston,"Nov 3, '04, LAC vs. SEA",19,14,833,17188,2149,4419,13,73,920,1159,491,1989,2483,586,311,1034,1498,5231,.486,.178,.794,20.6,6.3,2.4,3.0,0.7,0.4
2004-2005,42,Kevin Martin,"Nov 2, '04, SAC @ DAL",21,12,714,21559,3847,8797,1141,2969,3561,4091,401,2278,1352,643,78,1200,1361,12396,.437,.384,.870,30.2,17.4,3.2,1.9,0.9,0.1
2004-2005,43,Jameer Nelson,"Nov 3, '04, ORL vs. MIL",22,14,878,24539,3790,8692,1153,3134,1207,1491,426,2595,4508,772,68,1831,2195,9940,.436,.368,.810,27.9,11.3,3.0,5.1,0.9,0.1
2004-2005,44,Andrés Nocioni,"Nov 5, '04, CHI vs. NJN",25,8,514,12013,1932,4478,587,1574,964,1206,354,2295,614,215,228,724,1394,5415,.431,.373,.799,23.4,10.5,4.5,1.2,0.4,0.4
2004-2005,45,Emeka Okafor,"Nov 4, '04, CHA vs. WAS",22,10,616,19055,3004,5867,0,2,1362,2325,1954,5967,520,414,1003,984,1696,7370,.512,.000,.586,30.9,12.0,9.7,0.8,0.7,1.6
2004-2005,46,Pavel Podkolzin,"Mar 19, '05, DAL vs. CHA",20,2,6,28,0,2,0,0,4,8,0,9,0,0,1,4,4,4,.000,,.500,4.7,0.7,1.5,0.0,0.0,0.2
2004-2005,47,Peter John Ramos,"Nov 3, '04, WAS @ MEM",19,1,6,20,5,10,0,0,1,2,1,4,0,0,1,3,4,11,.500,,.500,3.3,1.8,0.7,0.0,0.0,0.2
2004-2005,48,Justin Reed,"Nov 23, '04, BOS @ IND",23,3,136,1436,174,431,0,4,124,165,76,186,68,31,19,79,219,472,.404,.000,.752,10.6,3.5,1.4,0.5,0.2,0.1
2004-2005,49,Jared Reiner,"Nov 5, '04, CHI vs. NJN",22,2,46,376,25,73,0,0,4,14,34,109,14,8,13,23,80,54,.342,,.286,8.2,1.2,2.4,0.3,0.2,0.3
2004-2005,50,Bernard Robinson,"Nov 4, '04, CHA vs. WAS",24,3,128,1909,212,508,5,31,147,187,86,315,126,109,16,110,215,576,.417,.161,.786,14.9,4.5,2.5,1.0,0.9,0.1
2004-2005,51,Quinton Ross,"Nov 5, '04, LAC @ POR",23,7,458,8458,764,1824,49,154,286,402,267,947,431,263,129,217,854,1863,.419,.318,.711,18.5,4.1,2.1,0.9,0.6,0.3
2004-2005,52,Ha Seung-Jin,"Jan 7, '05, POR vs. MIA",19,2,46,316,28,54,0,0,14,28,20,67,3,4,13,26,62,70,.519,,.500,6.9,1.5,1.5,0.1,0.1,0.3
2004-2005,53,Donta Smith,"Nov 26, '04, ATL vs. ORL",21,2,61,560,59,140,8,26,39,60,22,66,48,31,5,29,70,165,.421,.308,.650,9.2,2.7,1.1,0.8,0.5,0.1
2004-2005,54,J.R. Smith,"Nov 3, '04, NOH vs. DAL",19,16,977,26275,4380,10465,1930,5178,1458,1990,494,3073,2077,974,204,1315,2191,12148,.419,.373,.733,26.9,12.4,3.1,2.1,1.0,0.2
2004-2005,55,Josh Smith,"Nov 3, '04, ATL @ PHO",19,13,894,29000,5089,11247,450,1578,2368,3748,1717,6653,2789,1083,1713,2197,2461,12996,.452,.285,.632,32.4,14.5,7.4,3.1,1.2,1.9
2004-2005,56,Kirk Snyder,"Nov 3, '04, UTA vs. LAL",21,4,211,3540,489,1116,92,281,263,376,152,491,241,86,69,206,328,1333,.438,.327,.699,16.8,6.3,2.3,1.1,0.4,0.3
2004-2005,57,Pape Sow,"Nov 13, '04, TOR @ POR",23,3,76,879,79,190,0,0,61,90,78,214,12,34,24,41,166,219,.416,,.678,11.6,2.9,2.8,0.2,0.4,0.3
2004-2005,58,Awvee Storey,"Nov 13, '04, NJN vs. DAL",27,3,60,407,58,140,4,16,23,45,43,81,21,10,2,15,66,143,.414,.250,.511,6.8,2.4,1.4,0.4,0.2,0.0
2004-2005,59,Robert Swift,"Nov 3, '04, SEA @ LAC",19,4,97,1500,172,340,0,0,72,118,122,376,20,26,86,71,224,416,.506,,.610,15.5,4.3,3.9,0.2,0.3,0.9
2004-2005,60,Yuta Tabuse,"Nov 3, '04, PHO vs. ATL",24,1,4,17,1,6,1,1,4,4,2,4,3,0,0,1,1,7,.167,1.000,1.000,4.3,1.8,1.0,0.8,0.0,0.0
2004-2005,61,Sebastian Telfair,"Nov 5, '04, POR vs. LAC",19,10,564,12149,1542,3953,361,1133,738,950,151,898,1960,413,75,859,1196,4183,.390,.319,.777,21.5,7.4,1.6,3.5,0.7,0.1
2004-2005,62,Billy Thomas,"Jan 21, '05, NJN vs. BOS",29,3,53,529,51,151,31,102,11,13,12,52,26,25,2,19,52,144,.338,.304,.846,10.0,2.7,1.0,0.5,0.5,0.0
2004-2005,63,James Thomas,"Jan 9, '05, POR @ NYK",24,2,33,267,22,39,0,0,10,20,29,76,5,4,7,14,48,54,.564,,.500,8.1,1.6,2.3,0.2,0.1,0.2
2004-2005,64,Beno Udrih,"Nov 3, '04, SAS vs. SAC",22,13,831,18185,2740,5922,465,1334,1007,1209,308,1712,2858,576,71,1179,1275,6952,.463,.349,.833,21.9,8.4,2.1,3.4,0.7,0.1
2004-2005,65,Anderson Varejão,"Nov 4, '04, CLE @ MIA",22,14,632,15087,1808,3550,1,43,957,1518,1511,4531,737,537,407,593,1633,4574,.509,.023,.630,23.9,7.2,7.2,1.2,0.8,0.6
2004-2005,66,Jackson Vroman,"Nov 3, '04, PHO vs. ATL",23,2,87,1111,108,265,0,3,69,119,97,261,51,37,30,85,183,285,.408,.000,.580,12.8,3.3,3.0,0.6,0.4,0.3
2004-2005,67,Sasha Vujačić,"Nov 3, '04, LAL @ UTA",20,10,581,8908,1075,2757,533,1451,411,479,205,1093,748,336,34,328,880,3094,.390,.367,.858,15.3,5.3,1.9,1.3,0.6,0.1
2004-2005,68,Delonte West,"Nov 26, '04, BOS vs. CLE",21,8,432,11842,1601,3571,376,1012,620,751,213,1265,1540,465,179,702,828,4198,.448,.372,.826,27.4,9.7,2.9,3.6,1.1,0.4
2004-2005,69,Damien Wilkins,"Nov 3, '04, SEA @ LAC",25,10,582,10991,1344,3157,205,627,711,908,441,1362,796,431,130,524,945,3604,.426,.327,.783,18.9,6.2,2.3,1.4,0.7,0.2
2004-2005,70,Dorell Wright,"Feb 5, '05, MIA vs. CHI",19,11,549,12280,1657,3908,617,1691,666,826,375,2093,850,418,271,475,790,4597,.424,.365,.806,22.4,8.4,3.8,1.5,0.8,0.5
2005-2006,1,Alex Acker,"Feb 21, '06, DET vs. ATL",23,2,30,234,34,92,8,25,5,10,9,29,16,6,4,11,13,81,.370,.320,.500,7.8,2.7,1.0,0.5,0.2,0.1
2005-2006,2,Alan Anderson,"Nov 12, '05, CHA @ MIA",23,8,330,6793,843,2084,331,963,404,495,151,714,371,182,31,290,602,2421,.405,.344,.816,20.6,7.3,2.2,1.1,0.6,0.1
2005-2006,3,Martynas Andriuškevičius,"Jan 5, '06, CLE vs. HOU",19,1,6,9,0,1,0,0,0,0,1,4,0,2,0,0,1,0,.000,,,1.5,0.0,0.7,0.0,0.3,0.0
2005-2006,4,Earl Barron,"Nov 2, '05, MIA @ MEM",24,8,140,1985,255,687,3,18,127,181,188,492,63,46,30,107,270,640,.371,.167,.702,14.2,4.6,3.5,0.5,0.3,0.2
2005-2006,5,Eddie Basden,"Nov 7, '05, CHI vs. SAS",22,1,19,141,15,37,1,7,8,10,7,28,8,9,2,9,17,39,.405,.143,.800,7.4,2.1,1.5,0.4,0.5,0.1
2005-2006,6,Brandon Bass,"Nov 1, '05, NOK vs. SAC",20,12,758,16410,2558,5125,12,58,1447,1740,1139,3448,608,295,479,718,1375,6575,.499,.207,.832,21.6,8.7,4.5,0.8,0.4,0.6
2005-2006,7,Esteban Batista,"Nov 2, '05, ATL @ GSW",22,2,70,576,42,96,0,1,37,60,68,174,11,18,11,42,124,121,.438,.000,.617,8.2,1.7,2.5,0.2,0.3,0.2
2005-2006,8,Andray Blatche,"Nov 11, '05, WAS vs. SEA",19,9,564,12462,2327,4981,52,219,1000,1380,1043,3024,798,492,458,914,1382,5706,.467,.237,.725,22.1,10.1,5.4,1.4,0.9,0.8
2005-2006,9,Andrew Bogut,"Nov 1, '05, MIL @ PHI",21,14,706,19862,2986,5585,3,25,833,1495,1754,6112,1546,442,1091,1204,2186,6808,.535,.120,.557,28.1,9.6,8.7,2.2,0.6,1.5
2005-2006,10,Kevin Burleson,"Nov 11, '05, CHA vs. DAL",26,1,39,340,22,88,10,54,16,17,4,26,48,26,2,25,63,70,.250,.185,.941,8.7,1.8,0.7,1.2,0.7,0.1
2005-2006,11,Andrew Bynum,"Nov 2, '05, LAL @ DEN",18,8,418,10690,1917,3446,1,9,987,1431,1007,3221,490,133,657,644,1028,4822,.556,.111,.690,25.6,11.5,7.7,1.2,0.3,1.6
2005-2006,12,Will Bynum,"Mar 19, '06, GSW vs. PHI",23,8,360,6611,1117,2529,84,309,603,755,125,561,1185,256,29,578,670,2921,.442,.272,.799,18.4,8.1,1.6,3.3,0.7,0.1
2005-2006,13,José Calderón,"Nov 2, '05, TOR vs. WAS",24,14,895,23643,3038,6440,920,2260,925,1060,303,2148,5148,716,71,1339,1476,7921,.472,.407,.873,26.4,8.9,2.4,5.8,0.8,0.1
2005-2006,14,Travis Diener,"Dec 2, '05, ORL @ MEM",23,5,179,2660,298,768,164,465,94,111,39,243,432,76,9,99,200,854,.388,.353,.847,14.9,4.8,1.4,2.4,0.4,0.1
2005-2006,15,Ike Diogu,"Nov 23, '05, GSW vs. SAS",22,6,225,2795,488,958,1,2,371,472,275,689,69,36,65,200,425,1348,.509,.500,.786,12.4,6.0,3.1,0.3,0.2,0.3
2005-2006,16,Monta Ellis,"Nov 12, '05, GSW @ PHO",20,12,833,29011,5723,12688,737,2349,2675,3463,520,2874,3856,1409,281,2246,1950,14858,.451,.314,.772,34.8,17.8,3.5,4.6,1.7,0.3
2005-2006,17,Daniel Ewing,"Nov 2, '05, LAC @ SEA",22,2,127,1683,162,416,36,122,71,91,32,158,174,69,10,107,148,431,.389,.295,.780,13.3,3.4,1.2,1.4,0.5,0.1
2005-2006,18,Noel Felix,"Mar 5, '06, SEA vs. UTA",24,1,12,82,6,25,1,3,5,8,3,13,2,2,3,8,13,18,.240,.333,.625,6.8,1.5,1.1,0.2,0.2,0.3
2005-2006,19,Raymond Felton,"Nov 2, '05, CHA @ CHI",21,14,971,28829,4105,9959,925,2813,1718,2175,552,2867,5096,1144,207,2008,1870,10853,.412,.329,.790,29.7,11.2,3.0,5.2,1.2,0.2
2005-2006,20,Gerald Fitch,"Nov 23, '05, MIA vs. POR",23,1,18,239,30,89,7,26,17,23,7,30,33,7,5,15,28,84,.337,.269,.739,13.3,4.7,1.7,1.8,0.4,0.3
2005-2006,21,Sharrod Ford,"Nov 30, '05, PHO vs. IND",24,1,3,13,2,3,0,0,0,0,1,3,0,0,1,2,7,4,.667,,,4.3,1.3,1.0,0.0,0.0,0.3
2005-2006,22,Channing Frye,"Nov 4, '05, NYK vs. WAS",22,13,890,19772,2931,6655,1049,2706,875,1064,767,4002,864,457,540,787,2255,7786,.440,.388,.822,22.2,8.7,4.5,1.0,0.5,0.6
2005-2006,23,Deng Gai,"Nov 2, '05, PHI @ DET",23,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2.5,0.0,0.0,0.0,0.0,0.0
2005-2006,24,Francisco García,"Nov 1, '05, SAC @ NOK",24,10,549,11853,1564,3659,581,1627,614,768,278,1400,747,441,388,545,1229,4323,.427,.357,.799,21.6,7.9,2.6,1.4,0.8,0.7
2005-2006,25,Ryan Gomes,"Nov 2, '05, BOS vs. NYK",23,8,487,13463,1891,4249,334,956,810,1014,617,2239,712,351,78,550,942,4926,.445,.349,.799,27.6,10.1,4.6,1.5,0.7,0.2
2005-2006,26,Joey Graham,"Nov 2, '05, TOR vs. WAS",23,6,377,6117,857,1776,54,180,471,578,272,1058,207,134,43,309,804,2239,.483,.300,.815,16.2,5.9,2.8,0.5,0.4,0.1
2005-2006,27,Stephen Graham,"Dec 11, '05, HOU @ POR",23,6,239,2915,378,848,53,172,157,205,77,424,117,57,19,155,352,966,.446,.308,.766,12.2,4.0,1.8,0.5,0.2,0.1
2005-2006,28,Danny Granger,"Nov 2, '05, IND @ ORL",22,10,586,18487,3332,7672,1006,2644,2185,2577,674,2888,1097,561,481,1098,1628,9855,.434,.380,.848,31.5,16.8,4.9,1.9,1.0,0.8
2005-2006,29,Devin Green,"Nov 3, '05, LAL vs. PHO",23,1,27,135,6,28,0,2,13,21,10,24,7,3,0,5,13,25,.214,.000,.619,5.0,0.9,0.9,0.3,0.1,0.0
2005-2006,30,Gerald Green,"Feb 3, '06, BOS vs. LAC",20,12,658,13026,2312,5546,962,2668,826,1010,318,1639,596,335,199,721,1228,6412,.417,.361,.818,19.8,9.7,2.5,0.9,0.5,0.3
2005-2006,31,Orien Greene,"Nov 2, '05, BOS vs. NYK",23,4,131,1555,127,328,11,52,61,95,49,195,155,98,15,144,228,326,.387,.212,.642,11.9,2.5,1.5,1.2,0.7,0.1
2005-2006,32,Anthony Grundy,"Mar 29, '06, ATL vs. IND",26,1,12,108,19,38,5,15,9,14,1,17,9,7,0,9,14,52,.500,.333,.643,9.0,4.3,1.4,0.8,0.6,0.0
2005-2006,33,Chuck Hayes,"Jan 18, '06, HOU vs. DAL",22,11,644,11815,1047,2104,0,14,316,510,1119,3243,781,478,237,461,1485,2410,.498,.000,.620,18.3,3.7,5.0,1.2,0.7,0.4
2005-2006,34,Luther Head,"Nov 5, '05, HOU vs. NOK",23,6,348,7797,1025,2426,451,1162,341,441,110,845,747,254,43,437,510,2842,.423,.388,.773,22.4,8.2,2.4,2.1,0.7,0.1
2005-2006,35,Julius Hodge,"Nov 13, '05, DEN vs. MIN",22,2,23,98,11,25,0,0,6,12,7,15,18,6,0,11,13,28,.440,,.500,4.3,1.2,0.7,0.8,0.3,0.0
2005-2006,36,Randy Holcomb,"Jan 6, '06, CHI @ MIL",26,1,4,11,1,1,0,0,0,0,1,1,0,0,0,0,2,2,1.000,,,2.8,0.5,0.3,0.0,0.0,0.0
2005-2006,37,Jarrett Jack,"Nov 2, '05, POR @ MIN",22,13,867,24140,3374,7673,620,1809,1981,2316,277,2487,3952,683,107,1723,1583,9349,.440,.343,.855,27.8,10.8,2.9,4.6,0.8,0.1
2005-2006,38,Šarūnas Jasikevičius,"Nov 2, '05, IND @ ORL",29,2,138,2530,298,751,130,366,207,228,34,222,399,66,5,206,183,933,.397,.355,.908,18.3,6.8,1.6,2.9,0.5,0.0
2005-2006,39,Amir Johnson,"Jan 24, '06, DET @ MIN",18,14,870,18323,2558,4490,107,322,879,1307,1723,4692,1073,524,839,932,2578,6102,.570,.332,.673,21.1,7.0,5.4,1.2,0.6,1.0
2005-2006,40,Dwayne Jones,"Feb 10, '06, BOS vs. POR",22,5,82,636,33,65,0,1,41,83,86,191,12,11,29,26,112,107,.508,.000,.494,7.8,1.3,2.3,0.1,0.1,0.4
2005-2006,41,Linas Kleiza,"Nov 4, '05, DEN vs. POR",21,7,409,8185,1268,2912,387,1154,638,836,388,1470,321,159,73,409,886,3561,.435,.335,.763,20.0,8.7,3.6,0.8,0.4,0.2
2005-2006,42,Yaroslav Korolev,"Nov 4, '05, LAC vs. ATL",18,2,34,168,13,46,3,12,10,16,6,16,13,6,0,7,11,39,.283,.250,.625,4.9,1.1,0.5,0.4,0.2,0.0
2005-2006,43,David Lee,"Nov 6, '05, NYK vs. GSW",22,12,829,24293,4587,8566,1,29,2057,2666,2150,7320,1825,625,329,1454,2170,11232,.535,.034,.772,29.3,13.5,8.8,2.2,0.8,0.4
2005-2006,44,John Lucas III,"Dec 31, '05, HOU vs. GSW",23,8,242,2927,454,1185,163,474,76,99,57,237,362,88,2,128,195,1147,.383,.344,.768,12.1,4.7,1.0,1.5,0.4,0.0
2005-2006,45,Arvydas Macijauskas,"Nov 1, '05, NOK vs. SAC",26,1,19,135,14,41,3,12,13,15,3,10,5,7,0,8,10,44,.341,.250,.867,7.1,2.3,0.5,0.3,0.4,0.0
2005-2006,46,Rawle Marshall,"Nov 19, '05, DAL vs. DET",23,2,63,602,56,149,5,21,53,74,16,60,23,20,12,34,39,170,.376,.238,.716,9.6,2.7,1.0,0.4,0.3,0.2
2005-2006,47,Jason Maxiell,"Nov 2, '05, DET vs. PHI",22,10,618,11379,1398,2823,0,5,685,1214,1048,2576,266,230,490,487,1197,3481,.495,.000,.564,18.4,5.6,4.2,0.4,0.4,0.8
2005-2006,48,Sean May,"Nov 2, '05, CHA @ CHI",21,4,119,1868,324,708,3,13,170,228,155,481,115,53,47,134,236,821,.458,.231,.746,15.7,6.9,4.0,1.0,0.4,0.4
2005-2006,49,Rashad McCants,"Nov 2, '05, MIN vs. POR",21,4,249,5037,923,2144,292,793,341,460,114,506,331,183,61,362,584,2479,.431,.368,.741,20.2,10.0,2.0,1.3,0.7,0.2
2005-2006,50,Aaron Miles,"Nov 2, '05, GSW vs. ATL",22,1,19,118,6,18,0,0,4,4,0,14,24,4,1,11,13,16,.333,,1.000,6.2,0.8,0.7,1.3,0.2,0.1
2005-2006,51,C.J. Miles,"Nov 14, '05, UTA vs. NYK",18,16,849,17284,2883,7016,1250,3487,1092,1350,363,2011,914,601,254,724,1792,8108,.411,.358,.809,20.4,9.6,2.4,1.1,0.7,0.3
2005-2006,52,Sergei Monia,"Nov 5, '05, POR vs. ATL",22,1,26,343,29,87,9,34,10,14,11,52,19,7,5,12,41,77,.333,.265,.714,13.2,3.0,2.0,0.7,0.3,0.2
2005-2006,53,Boniface N'Dong,"Nov 4, '05, LAC vs. ATL",28,1,23,152,22,53,0,1,6,9,15,37,7,2,5,6,23,50,.415,.000,.667,6.6,2.2,1.6,0.3,0.1,0.2
2005-2006,54,Fabricio Oberto,"Nov 1, '05, SAS vs. DEN",30,6,336,4871,481,835,0,4,119,193,443,1175,300,89,75,225,733,1081,.576,.000,.617,14.5,3.2,3.5,0.9,0.3,0.2
2005-2006,55,Andre Owens,"Nov 7, '05, UTA @ CHA",25,2,54,602,67,181,21,56,37,52,24,68,55,18,3,37,62,192,.370,.375,.712,11.1,3.6,1.3,1.0,0.3,0.1
2005-2006,56,Chris Paul,"Nov 1, '05, NOK vs. SAC",20,20,1297,44020,7983,16965,1765,4784,4807,5522,773,5782,12103,2649,205,3009,3080,22538,.471,.369,.871,33.9,17.4,4.5,9.3,2.0,0.2
2005-2006,57,Johan Petro,"Nov 2, '05, SEA vs. LAC",20,8,473,7262,976,2114,2,13,248,366,536,1836,227,193,234,374,1158,2202,.462,.154,.678,15.4,4.7,3.9,0.5,0.4,0.5
2005-2006,58,Josh Powell,"Nov 15, '05, DAL vs. DEN",23,7,316,3966,498,1136,7,20,223,300,331,932,161,49,68,254,491,1226,.438,.350,.743,12.6,3.9,2.9,0.5,0.2,0.2
2005-2006,59,Ronnie Price,"Nov 1, '05, SAC @ NOK",22,12,544,7293,738,1980,244,808,295,400,176,658,960,424,56,476,922,2015,.373,.302,.738,13.4,3.7,1.2,1.8,0.8,0.1
2005-2006,60,Shavlik Randolph,"Nov 15, '05, PHI vs. TOR",22,8,146,1202,129,287,1,6,81,149,151,363,36,44,38,59,193,340,.449,.167,.544,8.2,2.3,2.5,0.2,0.3,0.3
2005-2006,61,Anthony Roberson,"Nov 26, '05, MEM @ DAL",22,3,65,591,102,255,52,146,9,10,8,49,35,23,1,24,51,265,.400,.356,.900,9.1,4.1,0.8,0.5,0.4,0.0
2005-2006,62,Lawrence Roberts,"Nov 2, '05, MEM vs. MIA",23,2,87,1150,114,252,0,4,106,154,127,310,35,44,15,41,163,334,.452,.000,.688,13.2,3.8,3.6,0.4,0.5,0.2
2005-2006,63,Nate Robinson,"Nov 2, '05, NYK @ BOS",21,11,618,13878,2458,5811,811,2255,1080,1357,385,1446,1826,543,42,876,1482,6807,.423,.360,.796,22.5,11.0,2.3,3.0,0.9,0.1
2005-2006,64,Melvin Sanders,"Nov 9, '05, SAS @ CHA",25,1,16,113,16,33,2,3,7,10,4,23,3,5,0,8,20,41,.485,.667,.700,7.1,2.6,1.4,0.2,0.3,0.0
2005-2006,65,Alex Scales,"Nov 19, '05, SAS vs. PHO",27,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2005-2006,66,Luke Schenscher,"Mar 5, '06, CHI @ CLE",23,2,31,267,23,49,0,0,9,20,18,54,8,3,7,9,46,55,.469,,.450,8.6,1.8,1.7,0.3,0.1,0.2
2005-2006,67,Wayne Simien,"Nov 2, '05, MIA @ MEM",22,2,51,507,67,143,0,0,35,41,43,99,11,15,1,27,83,169,.469,,.854,9.9,3.3,1.9,0.2,0.3,0.0
2005-2006,68,James Singleton,"Nov 2, '05, LAC @ SEA",24,5,243,3252,362,783,35,120,195,234,321,910,109,97,117,140,390,954,.462,.292,.833,13.4,3.9,3.7,0.4,0.4,0.5
2005-2006,69,Salim Stoudamire,"Nov 2, '05, ATL @ GSW",23,3,157,2672,446,1097,167,456,201,228,22,214,164,55,10,158,240,1260,.407,.366,.882,17.0,8.0,1.4,1.0,0.4,0.1
2005-2006,70,Chris Taft,"Nov 2, '05, GSW vs. ATL",20,1,17,144,23,38,0,0,1,6,19,36,2,2,7,2,25,47,.605,,.167,8.5,2.8,2.1,0.1,0.1,0.4
2005-2006,71,Donell Taylor,"Nov 9, '05, WAS vs. LAC",23,2,98,834,109,276,7,34,41,64,30,106,90,47,7,59,81,266,.395,.206,.641,8.5,2.7,1.1,0.9,0.5,0.1
2005-2006,72,Dijon Thompson,"Nov 30, '05, PHO vs. IND",22,2,16,93,17,40,4,13,7,8,7,19,3,3,1,3,8,45,.425,.308,.875,5.8,2.8,1.2,0.2,0.2,0.1
2005-2006,73,Ronny Turiaf,"Feb 8, '06, LAL @ HOU",23,10,473,8020,856,1607,0,7,497,782,520,1757,618,181,593,358,1116,2209,.533,.000,.636,17.0,4.7,3.7,1.3,0.4,1.3
2005-2006,74,Charlie Villanueva,"Nov 2, '05, TOR vs. WAS",21,11,656,13578,2652,6097,716,2101,788,1021,795,3019,549,329,349,650,1453,6808,.435,.341,.772,20.7,10.4,4.6,0.8,0.5,0.5
2005-2006,75,Von Wafer,"Nov 24, '05, LAL vs. SEA",20,6,200,2475,390,928,102,314,172,229,38,234,146,73,19,128,155,1054,.420,.325,.751,12.4,5.3,1.2,0.7,0.4,0.1
2005-2006,76,Matt Walsh,"Nov 2, '05, MIA @ MEM",23,1,2,3,1,1,0,0,0,2,0,0,0,0,0,1,0,2,1.000,,.000,1.5,1.0,0.0,0.0,0.0,0.0
2005-2006,77,Hakim Warrick,"Nov 2, '05, MEM vs. MIA",23,8,526,10624,1776,3627,21,110,1374,1892,692,2117,400,218,154,624,969,4947,.490,.191,.726,20.2,9.4,4.0,0.8,0.4,0.3
2005-2006,78,Martell Webster,"Nov 4, '05, POR @ DEN",19,10,580,13914,1696,4062,790,2067,874,1105,352,1811,588,299,160,536,1055,5056,.418,.382,.791,24.0,8.7,3.1,1.0,0.5,0.3
2005-2006,79,Robert Whaley,"Nov 14, '05, UTA vs. NYK",23,1,23,212,23,57,0,0,3,6,16,43,17,7,8,14,41,49,.404,,.500,9.2,2.1,1.9,0.7,0.3,0.3
2005-2006,80,Deron Williams,"Nov 2, '05, UTA vs. DAL",21,12,845,28865,4874,10964,1178,3296,2878,3502,353,2619,6819,867,206,2402,2132,13804,.445,.357,.822,34.2,16.3,3.1,8.1,1.0,0.2
2005-2006,81,Lou Williams,"Nov 2, '05, PHI @ DET",19,17,1123,27104,5047,12045,1457,4146,4042,4803,431,2484,3789,952,192,1896,1439,15593,.419,.351,.842,24.1,13.9,2.2,3.4,0.8,0.2
2005-2006,82,Marvin Williams,"Nov 2, '05, ATL @ GSW",19,15,1072,30159,3928,8872,1046,2894,2063,2554,1276,5546,1373,824,577,1021,2155,10965,.443,.361,.808,28.1,10.2,5.2,1.3,0.8,0.5
2005-2006,83,Antoine Wright,"Nov 23, '05, NJN @ SAC",21,6,297,5714,617,1499,155,510,225,334,157,681,295,139,72,227,598,1614,.412,.304,.674,19.2,5.4,2.3,1.0,0.5,0.2
2005-2006,84,Bracey Wright,"Jan 24, '06, MIN vs. DET",21,2,26,325,45,111,12,37,27,34,10,39,20,10,1,14,14,129,.405,.324,.794,12.5,5.0,1.5,0.8,0.4,0.0
2005-2006,85,Derrick Zimmerman,"Apr 18, '06, NJN @ PHI",24,1,2,32,2,3,0,0,0,0,1,4,7,0,0,4,4,4,.667,,,16.0,2.0,2.0,3.5,0.0,0.0
2006-2007,1,Hassan Adams,"Nov 1, '06, NJN vs. TOR",22,2,73,547,79,148,0,1,27,42,36,84,14,18,5,26,51,185,.534,.000,.643,7.5,2.5,1.2,0.2,0.2,0.1
2006-2007,2,Maurice Ager,"Nov 4, '06, DAL @ HOU",22,4,82,505,64,189,11,44,30,53,8,46,19,6,6,29,65,169,.339,.250,.566,6.2,2.1,0.6,0.2,0.1,0.1
2006-2007,3,LaMarcus Aldridge,"Nov 12, '06, POR vs. DAL",21,16,1076,36242,8311,16872,227,710,3709,4563,2776,8736,2076,758,1187,1643,2598,20558,.493,.320,.813,33.7,19.1,8.1,1.9,0.7,1.1
2006-2007,4,Lou Amundson,"Feb 24, '07, UTA vs. BOS",24,10,428,5507,648,1368,0,3,268,603,644,1541,190,152,306,299,835,1564,.474,.000,.444,12.9,3.7,3.6,0.4,0.4,0.7
2006-2007,5,Hilton Armstrong,"Nov 1, '06, NOK @ BOS",22,6,292,3378,347,693,2,7,184,316,292,766,102,90,142,230,544,880,.501,.286,.582,11.6,3.0,2.6,0.3,0.3,0.5
2006-2007,6,James Augustine,"Feb 2, '07, ORL vs. NJN",22,2,27,156,19,37,0,0,4,8,17,33,4,5,2,6,20,42,.514,,.500,5.8,1.6,1.2,0.1,0.2,0.1
2006-2007,7,Kelenna Azubuike,"Jan 2, '07, GSW @ NOK",23,5,208,5025,802,1748,210,514,364,473,257,829,230,130,103,203,408,2178,.459,.409,.770,24.2,10.5,4.0,1.1,0.6,0.5
2006-2007,8,Renaldo Balkman,"Nov 1, '06, NYK @ MEM",22,6,221,3064,368,721,11,64,147,271,278,769,132,164,104,134,421,894,.510,.172,.542,13.9,4.0,3.5,0.6,0.7,0.5
