Season,Rank,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP (Per Game),PTS (Per Game),TRB (Per Game),AST (Per Game),STL (Per Game),BLK (Per Game)
1999-2000,1,Rafer Alston,"Feb 17, '00, MIL vs. IND",23,11,671,19392,2450,6391,996,2815,903,1238,247,1891,3202,813,105,1195,1408,6799,.383,.354,.729,28.9,10.1,2.8,4.8,1.2,0.2
1999-2000,2,Chucky Atkins,"Nov 2, '99, ORL @ CHH",25,11,696,17304,2479,6022,934,2565,971,1258,194,1186,2396,465,36,1018,1284,6863,.412,.364,.772,24.9,9.9,1.7,3.4,0.7,0.1
1999-2000,3,William Avery,"Nov 13, '99, MIN vs. PHO",20,3,142,1205,137,415,40,157,65,91,17,93,199,34,6,106,125,379,.330,.255,.714,8.5,2.7,0.7,1.4,0.2,0.0
1999-2000,4,Jonathan Bender,"Dec 10, '99, IND vs. CLE",19,8,262,3847,509,1221,101,297,334,438,153,582,170,43,169,258,391,1453,.417,.340,.763,14.7,5.5,2.2,0.6,0.2,0.6
1999-2000,5,Calvin Booth,"Mar 25, '00, WAS @ DAL",23,10,366,4477,472,1047,2,9,244,326,316,1010,151,101,358,180,678,1190,.451,.222,.748,12.2,3.3,2.8,0.4,0.3,1.0
1999-2000,6,Lazaro Borrell,"Nov 11, '99, SEA @ CLE",27,1,17,167,28,63,0,3,6,11,14,40,10,6,3,6,9,62,.444,.000,.545,9.8,3.6,2.4,0.6,0.4,0.2
1999-2000,7,Cal Bowdler,"Nov 2, '99, ATL @ WAS",22,3,142,1383,163,403,2,11,96,125,90,272,29,42,45,43,155,424,.404,.182,.768,9.7,3.0,1.9,0.2,0.3,0.3
1999-2000,8,Ryan Bowen,"Nov 2, '99, DEN vs. PHO",24,10,507,6502,544,1192,14,68,217,313,506,1060,250,325,138,168,752,1319,.456,.206,.693,12.8,2.6,2.1,0.5,0.6,0.3
1999-2000,9,Ira Bowman,"Feb 25, '00, PHI @ MIL",26,3,17,68,7,11,0,1,1,2,1,5,9,3,0,2,3,15,.636,.000,.500,4.0,0.9,0.3,0.5,0.2,0.0
1999-2000,10,A.J. Bramlett,"Dec 7, '99, CLE @ TOR",23,1,8,61,4,21,0,0,0,0,12,22,0,1,0,3,13,8,.190,,,7.6,1.0,2.8,0.0,0.1,0.0
1999-2000,11,Elton Brand,"Nov 3, '99, CHI vs. NYK",20,17,1058,34910,6599,13185,2,21,3627,4929,3304,9040,2184,940,1828,2060,3115,16827,.500,.095,.736,33.0,15.9,8.5,2.1,0.9,1.7
1999-2000,12,Greg Buckner,"Jan 6, '00, DAL vs. UTA",23,10,570,10895,1120,2491,239,716,399,527,457,1593,719,454,111,394,1342,2878,.450,.334,.757,19.1,5.0,2.8,1.3,0.8,0.2
1999-2000,13,Rodney Buford,"Nov 2, '99, MIA vs. DET",22,5,230,4182,630,1530,74,247,138,182,117,598,179,115,31,140,332,1472,.412,.300,.758,18.2,6.4,2.6,0.8,0.5,0.1
1999-2000,14,Anthony Carter,"Nov 2, '99, MIA vs. DET",24,13,623,12184,1230,3043,116,464,433,613,244,1302,2363,601,115,958,1103,3009,.404,.250,.706,19.6,4.8,2.1,3.8,1.0,0.2
1999-2000,15,John Celestand,"Nov 15, '99, LAL @ PHO",22,1,16,185,15,45,2,9,5,6,1,11,20,7,0,16,22,37,.333,.222,.833,11.6,2.3,0.7,1.3,0.4,0.0
1999-2000,16,Vonteego Cummings,"Nov 2, '99, GSW @ DAL",23,3,199,3789,521,1359,109,340,230,317,118,373,534,176,32,259,387,1381,.383,.321,.726,19.0,6.9,1.9,2.7,0.9,0.2
1999-2000,17,Baron Davis,"Nov 2, '99, CHH vs. ORL",20,13,835,28592,4888,11951,1332,4159,2339,3292,762,3183,6025,1530,360,2308,2361,13447,.409,.320,.711,34.2,16.1,3.8,7.2,1.8,0.4
1999-2000,18,Derrick Dial,"Mar 6, '00, SAS vs. NJN",24,4,82,687,103,277,8,42,39,58,45,133,63,21,11,35,51,253,.372,.190,.672,8.4,3.1,1.6,0.8,0.3,0.1
1999-2000,19,Obinna Ekezie,"Nov 2, '99, VAN vs. POR",24,4,143,1516,165,390,0,1,180,250,146,383,31,38,27,95,254,510,.423,.000,.720,10.6,3.6,2.7,0.2,0.3,0.2
1999-2000,20,Evan Eschmeyer,"Jan 4, '00, NJN @ IND",24,4,153,2138,158,341,0,0,105,169,220,601,76,69,95,96,399,421,.463,,.621,14.0,2.8,3.9,0.5,0.5,0.6
1999-2000,21,Jeff Foster,"Nov 4, '99, IND @ CHH",23,13,764,15750,1472,2961,7,54,796,1295,2101,5248,703,507,308,613,1921,3747,.497,.130,.615,20.6,4.9,6.9,0.9,0.7,0.4
1999-2000,22,Steve Francis,"Nov 2, '99, HOU vs. MIL",22,9,576,21632,3543,8267,575,1684,2785,3494,960,3215,3473,846,223,2030,1813,10446,.429,.341,.797,37.6,18.1,5.6,6.0,1.5,0.4
1999-2000,23,Devean George,"Nov 2, '99, LAL @ UTA",22,11,630,11682,1318,3360,427,1246,473,656,546,1975,543,436,230,447,1270,3536,.392,.343,.721,18.5,5.6,3.1,0.9,0.7,0.4
1999-2000,24,Dion Glover,"Nov 6, '99, ATL vs. CHI",21,6,294,6132,914,2222,148,467,431,570,213,897,455,233,65,370,487,2407,.411,.317,.756,20.9,8.2,3.1,1.5,0.8,0.2
1999-2000,25,Adrian Griffin,"Nov 2, '99, BOS @ TOR",25,9,477,7997,785,1794,50,180,299,392,507,1512,653,436,59,331,879,1919,.438,.278,.763,16.8,4.0,3.2,1.4,0.9,0.1
1999-2000,26,Richard Hamilton,"Nov 2, '99, WAS vs. ATL",21,14,921,29559,5969,13288,530,1530,3240,3805,794,2852,3125,714,131,1977,2329,15708,.449,.346,.852,32.1,17.1,3.1,3.4,0.8,0.1
1999-2000,27,Chris Herren,"Nov 14, '99, DEN @ SAC",24,2,70,1005,74,220,40,122,36,52,16,73,167,29,2,62,117,224,.336,.328,.692,14.4,3.2,1.0,2.4,0.4,0.0
1999-2000,28,Derek Hood,"Nov 2, '99, CHH vs. ORL",23,1,2,4,0,3,0,0,0,0,0,1,0,0,0,0,0,0,.000,,,2.0,0.0,0.5,0.0,0.0,0.0
1999-2000,29,Rick Hughes,"Nov 4, '99, DAL @ SEA",26,1,21,224,35,72,0,1,12,26,24,49,9,3,1,14,30,82,.486,.000,.462,10.7,3.9,2.3,0.4,0.1,0.0
1999-2000,30,Jermaine Jackson,"Nov 13, '99, DET vs. SEA",23,5,135,1344,89,222,3,19,81,114,34,145,184,42,9,78,127,262,.401,.158,.711,10.0,1.9,1.1,1.4,0.3,0.1
1999-2000,31,Tim James,"Jan 25, '00, MIA vs. BOS",23,3,43,261,26,79,1,3,15,23,23,46,11,2,9,13,33,68,.329,.333,.652,6.1,1.6,1.1,0.3,0.0,0.2
1999-2000,32,Harold Jamison,"Dec 3, '99, MIA @ BOS",23,2,37,250,29,63,0,0,14,33,40,60,10,7,2,10,40,72,.460,,.424,6.8,1.9,1.6,0.3,0.2,0.1
1999-2000,33,DeMarco Johnson,"Nov 27, '99, NYK vs. ORL",24,1,5,37,3,9,0,0,0,0,3,7,0,1,0,3,5,6,.333,,,7.4,1.2,1.4,0.0,0.2,0.0
1999-2000,34,Jumaine Jones,"Nov 2, '99, PHI @ SAS",20,8,471,9780,1294,3052,425,1218,312,443,552,1987,408,307,144,388,870,3325,.424,.349,.704,20.8,7.1,4.2,0.9,0.7,0.3
1999-2000,35,Lari Ketner,"Nov 17, '99, CHI @ PHO",22,2,25,139,13,32,0,0,8,12,12,34,2,4,3,12,20,34,.406,,.667,5.6,1.4,1.4,0.1,0.2,0.1
1999-2000,36,Trajan Langdon,"Nov 2, '99, CLE @ NYK",23,3,119,1738,220,529,86,217,121,133,29,159,152,56,14,98,179,647,.416,.396,.910,14.6,5.4,1.3,1.3,0.5,0.1
1999-2000,37,Quincy Lewis,"Nov 2, '99, UTA vs. LAL",22,4,159,1853,232,584,37,111,66,93,71,210,96,59,36,98,335,567,.397,.333,.710,11.7,3.6,1.3,0.6,0.4,0.2
1999-2000,38,Todd MacCulloch,"Nov 2, '99, PHI @ SAS",24,4,223,3439,568,1049,0,0,233,363,340,888,121,61,177,154,478,1369,.541,,.642,15.4,6.1,4.0,0.5,0.3,0.8
1999-2000,39,Corey Maggette,"Nov 2, '99, ORL @ CHH",20,14,827,23358,4065,8969,463,1431,4605,5599,915,4022,1696,590,139,1874,2338,13198,.453,.324,.822,28.2,16.0,4.9,2.1,0.7,0.2
1999-2000,40,Shawn Marion,"Nov 2, '99, PHO @ DEN",21,16,1163,40097,7289,15056,791,2390,2331,2877,2732,10101,2198,1759,1233,1750,2535,17700,.484,.331,.810,34.5,15.2,8.7,1.9,1.5,1.1
1999-2000,41,Andre Miller,"Nov 2, '99, CLE @ NYK",23,17,1304,40268,6035,13104,193,888,4015,4975,1373,4795,8524,1546,227,3121,2882,16278,.461,.217,.807,30.9,12.5,3.7,6.5,1.2,0.2
