team,achievement_type,year
Milwaukee Bucks,Championship Wins,1971
Milwaukee Bucks,Championship Wins,2021
Milwaukee Bucks,Conference Titles,1971
Milwaukee Bucks,Conference Titles,1974
Milwaukee Bucks,Conference Titles,2021
Milwaukee Bucks,Division Titles,1971
Milwaukee Bucks,Division Titles,1972
Milwaukee Bucks,Division Titles,1973
Milwaukee Bucks,Division Titles,1974
Milwaukee Bucks,Division Titles,1976
Milwaukee Bucks,Division Titles,1980
Milwaukee Bucks,Division Titles,1981
Milwaukee Bucks,Division Titles,1982
Milwaukee Bucks,Division Titles,1983
Milwaukee Bucks,Division Titles,1984
Milwaukee Bucks,Division Titles,1985
Milwaukee Bucks,Division Titles,1986
Milwaukee Bucks,Division Titles,2001
Milwaukee Bucks,Division Titles,2019
Milwaukee Bucks,Division Titles,2020
Milwaukee Bucks,Division Titles,2021
Milwaukee Bucks,Division Titles,2022
Milwaukee Bucks,Division Titles,2023
Milwaukee Bucks,Division Titles,2024
Atlanta Hawks,Championship Wins,1958
Atlanta Hawks,Division Titles,1957
Atlanta Hawks,Division Titles,1958
Atlanta Hawks,Division Titles,1959
Atlanta Hawks,Division Titles,1960
Atlanta Hawks,Division Titles,1961
Atlanta Hawks,Division Titles,1968
Atlanta Hawks,Division Titles,1970
Atlanta Hawks,Division Titles,1980
Atlanta Hawks,Division Titles,1987
Atlanta Hawks,Division Titles,1994
Atlanta Hawks,Division Titles,2015
Atlanta Hawks,Division Titles,2021
Atlanta Hawks,Division Titles,2023
Miami Heat,Championship Wins,2006
Miami Heat,Championship Wins,2012
Miami Heat,Championship Wins,2013
Miami Heat,Conference Titles,2006
Miami Heat,Conference Titles,2011
Miami Heat,Conference Titles,2012
Miami Heat,Conference Titles,2013
Miami Heat,Conference Titles,2014
Miami Heat,Conference Titles,2020
Miami Heat,Conference Titles,2023
Miami Heat,Division Titles,1997
Miami Heat,Division Titles,1998
Miami Heat,Division Titles,1999
Miami Heat,Division Titles,2000
Miami Heat,Division Titles,2005
Miami Heat,Division Titles,2006
Miami Heat,Division Titles,2007
Miami Heat,Division Titles,2011
Miami Heat,Division Titles,2012
Miami Heat,Division Titles,2013
Miami Heat,Division Titles,2014
Miami Heat,Division Titles,2016
Miami Heat,Division Titles,2018
Miami Heat,Division Titles,2020
Miami Heat,Division Titles,2022
Orlando Magic,Conference Titles,1995
Orlando Magic,Conference Titles,2009
Orlando Magic,Division Titles,1995
Orlando Magic,Division Titles,1996
Orlando Magic,Division Titles,2008
Orlando Magic,Division Titles,2009
Orlando Magic,Division Titles,2010
Orlando Magic,Division Titles,2019
Orlando Magic,Division Titles,2024
Washington Wizards,Championship Wins,1978
Washington Wizards,Conference Titles,1971
Washington Wizards,Conference Titles,1975
Washington Wizards,Conference Titles,1978
Washington Wizards,Conference Titles,1979
Washington Wizards,Division Titles,1969
Washington Wizards,Division Titles,1971
Washington Wizards,Division Titles,1972
Washington Wizards,Division Titles,1973
Washington Wizards,Division Titles,1974
Washington Wizards,Division Titles,1975
Washington Wizards,Division Titles,1979
Washington Wizards,Division Titles,2017
Denver Nuggets,Championship Wins,2023
Denver Nuggets,Conference Titles,2023
Denver Nuggets,Division Titles,1977
Denver Nuggets,Division Titles,1978
Denver Nuggets,Division Titles,1985
Denver Nuggets,Division Titles,1988
Denver Nuggets,Division Titles,2006
Denver Nuggets,Division Titles,2009
Denver Nuggets,Division Titles,2010
Denver Nuggets,Division Titles,2019
Denver Nuggets,Division Titles,2020
Denver Nuggets,Division Titles,2023
Minnesota Timberwolves,Division Titles,2004
Oklahoma City Thunder,Championship Wins,1979
Oklahoma City Thunder,Conference Titles,1978
Oklahoma City Thunder,Conference Titles,1979
Oklahoma City Thunder,Conference Titles,1996
Oklahoma City Thunder,Conference Titles,2012
Oklahoma City Thunder,Conference Titles,2024
Oklahoma City Thunder,Division Titles,1979
Oklahoma City Thunder,Division Titles,1994
Oklahoma City Thunder,Division Titles,1996
Oklahoma City Thunder,Division Titles,1997
Oklahoma City Thunder,Division Titles,1998
Oklahoma City Thunder,Division Titles,2005
Oklahoma City Thunder,Division Titles,2011
Oklahoma City Thunder,Division Titles,2012
Oklahoma City Thunder,Division Titles,2013
Oklahoma City Thunder,Division Titles,2014
Oklahoma City Thunder,Division Titles,2016
Oklahoma City Thunder,Division Titles,2024
Portland Trail Blazers,Championship Wins,1977
Portland Trail Blazers,Conference Titles,1977
Portland Trail Blazers,Conference Titles,1990
Portland Trail Blazers,Conference Titles,1992
Portland Trail Blazers,Division Titles,1978
Portland Trail Blazers,Division Titles,1991
Portland Trail Blazers,Division Titles,1992
Portland Trail Blazers,Division Titles,2015
Portland Trail Blazers,Division Titles,2018
Utah Jazz,Conference Titles,1997
Utah Jazz,Conference Titles,1998
Utah Jazz,Division Titles,1984
Utah Jazz,Division Titles,1989
Utah Jazz,Division Titles,1992
Utah Jazz,Division Titles,1997
Utah Jazz,Division Titles,1998
Utah Jazz,Division Titles,1999
Utah Jazz,Division Titles,2000
Utah Jazz,Division Titles,2007
Utah Jazz,Division Titles,2008
Utah Jazz,Division Titles,2017
Utah Jazz,Division Titles,2021
Utah Jazz,Division Titles,2022
Golden State Warriors,Championship Wins,1947
Golden State Warriors,Championship Wins,1956
Golden State Warriors,Championship Wins,1975
Golden State Warriors,Championship Wins,2015
Golden State Warriors,Championship Wins,2017
Golden State Warriors,Championship Wins,2018
Golden State Warriors,Championship Wins,2022
Golden State Warriors,Conference Titles,1975
Golden State Warriors,Conference Titles,2015
Golden State Warriors,Conference Titles,2016
Golden State Warriors,Conference Titles,2017
Golden State Warriors,Conference Titles,2018
Golden State Warriors,Conference Titles,2019
Golden State Warriors,Conference Titles,2022
Golden State Warriors,Division Titles,1948
Golden State Warriors,Division Titles,1951
Golden State Warriors,Division Titles,1956
Golden State Warriors,Division Titles,1964
Golden State Warriors,Division Titles,1967
Golden State Warriors,Division Titles,1975
Golden State Warriors,Division Titles,1976
Golden State Warriors,Division Titles,2015
Golden State Warriors,Division Titles,2016
Golden State Warriors,Division Titles,2017
Golden State Warriors,Division Titles,2018
Golden State Warriors,Division Titles,2019
Los Angeles Clippers,Division Titles,2013
Los Angeles Clippers,Division Titles,2014
Los Angeles Clippers,Division Titles,2024
Los Angeles Lakers,Championship Wins,1949
Los Angeles Lakers,Championship Wins,1950
Los Angeles Lakers,Championship Wins,1952
Los Angeles Lakers,Championship Wins,1953
Los Angeles Lakers,Championship Wins,1954
Los Angeles Lakers,Championship Wins,1972
Los Angeles Lakers,Championship Wins,1980
Los Angeles Lakers,Championship Wins,1982
Los Angeles Lakers,Championship Wins,1985
Los Angeles Lakers,Championship Wins,1987
Los Angeles Lakers,Championship Wins,1988
Los Angeles Lakers,Championship Wins,2000
Los Angeles Lakers,Championship Wins,2001
Los Angeles Lakers,Championship Wins,2002
Los Angeles Lakers,Championship Wins,2009
Los Angeles Lakers,Championship Wins,2010
Los Angeles Lakers,Championship Wins,2020
Los Angeles Lakers,Conference Titles,1972
Los Angeles Lakers,Conference Titles,1973
Los Angeles Lakers,Conference Titles,1980
Los Angeles Lakers,Conference Titles,1982
Los Angeles Lakers,Conference Titles,1983
Los Angeles Lakers,Conference Titles,1984
Los Angeles Lakers,Conference Titles,1985
Los Angeles Lakers,Conference Titles,1987
Los Angeles Lakers,Conference Titles,1988
Los Angeles Lakers,Conference Titles,1989
Los Angeles Lakers,Conference Titles,1991
Los Angeles Lakers,Conference Titles,2000
Los Angeles Lakers,Conference Titles,2001
Los Angeles Lakers,Conference Titles,2002
Los Angeles Lakers,Conference Titles,2004
Los Angeles Lakers,Conference Titles,2008
Los Angeles Lakers,Conference Titles,2009
Los Angeles Lakers,Conference Titles,2010
Los Angeles Lakers,Conference Titles,2020
Los Angeles Lakers,Division Titles,1950
Los Angeles Lakers,Division Titles,1951
Los Angeles Lakers,Division Titles,1953
Los Angeles Lakers,Division Titles,1954
Los Angeles Lakers,Division Titles,1962
Los Angeles Lakers,Division Titles,1963
Los Angeles Lakers,Division Titles,1965
Los Angeles Lakers,Division Titles,1966
Los Angeles Lakers,Division Titles,1969
Los Angeles Lakers,Division Titles,1971
Los Angeles Lakers,Division Titles,1972
Los Angeles Lakers,Division Titles,1973
Los Angeles Lakers,Division Titles,1974
Los Angeles Lakers,Division Titles,1977
Los Angeles Lakers,Division Titles,1980
Los Angeles Lakers,Division Titles,1982
Los Angeles Lakers,Division Titles,1983
Los Angeles Lakers,Division Titles,1984
Los Angeles Lakers,Division Titles,1985
Los Angeles Lakers,Division Titles,1986
Los Angeles Lakers,Division Titles,1987
Los Angeles Lakers,Division Titles,1988
Los Angeles Lakers,Division Titles,1989
Los Angeles Lakers,Division Titles,1990
Los Angeles Lakers,Division Titles,2000
Los Angeles Lakers,Division Titles,2001
Los Angeles Lakers,Division Titles,2004
Los Angeles Lakers,Division Titles,2008
Los Angeles Lakers,Division Titles,2009
Los Angeles Lakers,Division Titles,2010
Los Angeles Lakers,Division Titles,2011
Los Angeles Lakers,Division Titles,2012
Los Angeles Lakers,Division Titles,2020
