season,rank,player,age,yrs,g,mp,fg,fga,3p,3pa,ft,fta,orb,trb,ast,stl,blk,tov,pf,pts,fg%,3p%,ft%,mp_(per_game),pts_(per_game),trb_(per_game),ast_(per_game),stl_(per_game),blk_(per_game),debut_date,debut_match
2003-2004,43,Chris Kaman,21,13,735,19642,3432,7023,1,24,1343,1808,1487,5582,921,322,931,1544,1968,8208,0.489,0.042,0.743,26.7,11.2,7.6,1.3,0.4,1.3,2003-10-30, LAC @ SEA
2003-2004,44,Jason Kapono,22,9,509,9068,1336,3026,457,1054,269,322,165,844,417,180,25,327,777,3398,0.442,0.434,0.835,17.8,6.7,1.7,0.8,0.4,0.0,2003-10-30, CLE @ PHO
2003-2004,45,Kyle Korver,22,17,1232,31183,4103,9277,2450,5715,1297,1479,345,3643,2114,804,403,1290,2522,11953,0.442,0.429,0.877,25.3,9.7,3.0,1.7,0.7,0.3,2003-10-28, PHI vs. MIA
2003-2004,46,Maciej Lampe,18,3,64,632,94,231,2,8,25,37,37,142,22,8,10,35,81,215,0.407,0.25,0.676,9.9,3.4,2.2,0.3,0.1,0.2,2004-01-23, PHO vs. SAS
2003-2004,47,Raül López,23,2,113,2135,280,652,45,130,128,150,31,194,428,84,5,221,278,733,0.429,0.346,0.853,18.9,6.5,1.7,3.8,0.7,0.0,2003-10-29, UTA vs. POR
2003-2004,48,Keith McLeod,24,4,200,3723,363,1018,59,209,320,400,40,268,536,145,27,250,359,1105,0.357,0.282,0.8,18.6,5.5,1.3,2.7,0.7,0.1,2003-10-29, MIN vs. MIL
2003-2004,49,Darko Miličić,18,10,468,8638,1196,2602,0,6,421,734,628,1971,405,206,613,573,1065,2813,0.46,0.0,0.574,18.5,6.0,4.2,0.9,0.4,1.3,2003-10-31, DET @ MIA
2003-2004,50,Travis Outlaw,19,11,622,13026,1994,4713,344,1021,941,1265,480,1974,514,331,381,512,1035,5273,0.423,0.337,0.744,20.9,8.5,3.2,0.8,0.5,0.6,2003-11-15, POR @ NOH
2003-2004,51,Zaza Pachulia,19,16,1098,22240,2608,5559,0,31,2198,2927,2362,6315,1433,768,378,1444,2738,7414,0.469,0.0,0.751,20.3,6.8,5.8,1.3,0.7,0.3,2003-11-05,ORL vs. CHI
2003-2004,52,Sasha Pavlović,20,10,567,8888,1070,2651,308,890,339,504,188,1000,517,272,98,460,1026,2787,0.404,0.346,0.673,15.7,4.9,1.8,0.9,0.5,0.2,2003-10-29, UTA vs. POR
2003-2004,53,Desmond Penigar,22,1,10,89,14,28,0,0,4,4,6,24,3,2,2,6,14,32,0.5,,1.0,8.9,3.2,2.4,0.3,0.2,0.2,2004-02-20, ORL vs. DEN
2003-2004,54,Kirk Penney,23,2,6,30,2,9,1,4,0,0,0,2,2,1,0,5,1,5,0.222,0.25,,5.0,0.8,0.3,0.3,0.2,0.0,2003-11-03,MIA @ DAL
2003-2004,55,Kendrick Perkins,19,14,782,17162,1705,3219,0,14,804,1353,1305,4532,813,263,903,1233,2142,4214,0.53,0.0,0.594,21.9,5.4,5.8,1.0,0.3,1.2,2003-12-13, BOS @ CLE
2003-2004,56,Mickaël Piétrus,21,10,557,11950,1625,3821,679,1910,700,1053,440,1723,445,371,230,576,1270,4629,0.425,0.355,0.665,21.5,8.3,3.1,0.8,0.7,0.4,2003-10-29, GSW vs. DAL
2003-2004,57,Zoran Planinić,21,3,148,1584,197,486,37,128,130,192,47,198,165,58,7,120,237,561,0.405,0.289,0.677,10.7,3.8,1.3,1.1,0.4,0.0,2003-10-31, NJN vs. MIN
2003-2004,58,Luke Ridnour,22,12,830,21623,2933,6803,584,1674,1290,1496,363,1877,3713,814,161,1349,1779,7740,0.431,0.349,0.862,26.1,9.3,2.3,4.5,1.0,0.2,2003-10-30, SEA vs. LAC
2003-2004,59,Theron Smith,23,2,53,688,60,179,9,24,20,24,52,157,35,11,9,41,76,149,0.335,0.375,0.833,13.0,2.8,3.0,0.7,0.2,0.2,2003-11-08,MEM @ UTA
2003-2004,60,Darius Songaila,25,8,495,9229,1449,2904,3,19,514,609,553,1689,589,324,106,486,1197,3415,0.499,0.158,0.844,18.6,6.9,3.4,1.2,0.7,0.2,2003-10-29, SAC vs. CLE
2003-2004,61,Mike Sweetney,21,4,233,3610,564,1164,0,2,388,563,400,1045,145,73,107,277,569,1516,0.485,0.0,0.689,15.5,6.5,4.5,0.6,0.3,0.5,2003-10-29, NYK vs. ORL
2003-2004,62,Ime Udoka,26,7,316,5711,614,1471,218,612,189,268,219,926,308,208,54,221,528,1635,0.417,0.356,0.705,18.1,5.2,2.9,1.0,0.7,0.2,2004-01-14, LAL vs. DEN
2003-2004,63,Slavko Vraneš,21,1,1,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.0,,,3.0,0.0,0.0,0.0,0.0,0.0,2004-01-08,POR @ MIN
2003-2004,64,Dwyane Wade*,22,16,1054,35773,8454,17617,549,1874,5708,7463,1258,4933,5701,1620,885,3326,2328,23165,0.48,0.293,0.765,33.9,22.0,4.7,5.4,1.5,0.8,2003-10-28, MIA @ PHI
2003-2004,65,Luke Walton,23,10,564,9685,1050,2449,182,558,367,513,481,1588,1317,313,102,597,810,2649,0.429,0.326,0.715,17.2,4.7,2.8,2.3,0.6,0.2,2003-10-28, LAL vs. DAL
2003-2004,66,David West,23,15,1034,29144,5703,11519,57,215,2571,3148,1784,6590,2273,764,850,1660,2408,14034,0.495,0.265,0.817,28.2,13.6,6.4,2.2,0.7,0.8,2003-10-29, NOH vs. ATL
2003-2004,67,Mo Williams,21,13,818,23872,4051,9326,1094,2891,1563,1795,407,2264,3990,721,121,1849,2005,10759,0.434,0.378,0.871,29.2,13.2,2.8,4.9,0.9,0.1,2003-11-01,UTA @ DAL
2004-2005,1,Tony Allen,23,14,820,18055,2588,5447,125,444,1353,1909,1021,2884,1077,1158,337,1118,1947,6654,0.475,0.282,0.709,22.0,8.1,3.5,1.3,1.4,0.4,2004-11-03,BOS vs. PHI
2004-2005,2,Rafael Araújo,24,3,139,1585,156,385,1,4,76,112,124,395,41,51,16,111,300,389,0.405,0.25,0.679,11.4,2.8,2.8,0.3,0.4,0.1,2004-11-03,TOR vs. HOU
2004-2005,3,Trevor Ariza,19,18,1118,32953,4135,9804,1605,4579,1718,2350,1081,5356,2379,1628,355,1473,2205,11593,0.422,0.351,0.731,29.5,10.4,4.8,2.1,1.5,0.3,2004-11-03,NYK @ MIN
2004-2005,4,Maurice Baker,25,1,5,19,0,1,0,0,0,0,1,2,1,1,0,1,3,0,0.0,,,3.8,0.0,0.4,0.2,0.2,0.0,2005-02-23, LAC @ PHO
2004-2005,5,Andre Barrett,22,4,67,819,89,241,17,69,24,33,21,71,135,29,1,47,69,219,0.369,0.246,0.727,12.2,3.3,1.1,2.0,0.4,0.0,2004-11-23, HOU @ SAC
2004-2005,6,Andris Biedriņš,18,10,516,11146,1432,2409,0,2,383,766,1190,3631,467,331,580,479,1626,3247,0.594,0.0,0.5,21.6,6.3,7.0,0.9,0.6,1.1,2004-11-05,GSW vs. UTA
2004-2005,7,Tony Bobbitt,25,1,2,12,2,5,1,2,0,0,0,3,0,0,0,0,1,5,0.4,0.5,,6.0,2.5,1.5,0.0,0.0,0.0,2005-01-25, LAL vs. SEA
2004-2005,8,Matt Bonner,24,12,792,13356,1749,3768,797,1923,337,432,622,2371,552,285,213,299,1307,4632,0.464,0.414,0.78,16.9,5.8,3.0,0.7,0.4,0.3,2004-11-03,TOR vs. HOU
2004-2005,9,Antonio Burks,24,2,81,789,79,204,4,17,24,42,5,49,104,33,1,48,70,186,0.387,0.235,0.571,9.7,2.3,0.6,1.3,0.4,0.0,2004-12-07,MEM vs. NYK
2004-2005,10,Jackie Butler,19,3,69,848,137,254,0,0,69,89,73,205,30,20,31,73,143,343,0.539,,0.775,12.3,5.0,3.0,0.4,0.3,0.4,2005-03-21, NYK vs. SAS
2004-2005,11,Geno Carlisle,28,1,6,16,2,3,0,0,4,6,1,1,1,0,0,1,1,8,0.667,,0.667,2.7,1.3,0.2,0.2,0.0,0.0,2004-11-17, POR vs. MEM
2004-2005,12,Lionel Chalmers,24,1,36,433,42,125,12,49,15,24,4,31,51,13,0,24,30,111,0.336,0.245,0.625,12.0,3.1,0.9,1.4,0.4,0.0,2004-11-03,LAC vs. SEA
2004-2005,13,Josh Childress,21,8,391,10432,1343,2571,99,301,763,980,732,1850,609,339,184,439,725,3548,0.522,0.329,0.779,26.7,9.1,4.7,1.6,0.9,0.5,2004-11-03,ATL @ PHO
2004-2005,14,Nick Collison,24,14,910,18603,2212,4146,21,101,914,1265,1766,4701,939,446,469,878,2507,5359,0.534,0.208,0.723,20.4,5.9,5.2,1.0,0.5,0.5,2004-11-03,SEA @ LAC
2004-2005,15,Erik Daniels,22,1,21,72,6,18,1,2,0,0,7,18,4,2,0,6,7,13,0.333,0.5,,3.4,0.6,0.9,0.2,0.1,0.0,2004-11-09,SAC vs. TOR
2004-2005,16,Carlos Delfino,22,8,507,11580,1472,3669,678,1856,493,650,287,1815,887,461,88,509,827,4115,0.401,0.365,0.758,22.8,8.1,3.6,1.7,0.9,0.2,2004-11-02,DET vs. HOU
2004-2005,17,Luol Deng,19,15,902,30941,5130,11257,658,1982,2443,3175,1462,5468,2042,880,444,1459,1499,13361,0.456,0.332,0.769,34.3,14.8,6.1,2.3,1.0,0.5,2004-11-05,CHI vs. NJN
2004-2005,18,Chris Duhon,22,9,606,15526,1353,3440,649,1788,591,754,200,1364,2690,471,36,925,965,3946,0.393,0.363,0.784,25.6,6.5,2.3,4.4,0.8,0.1,2004-11-05,CHI vs. NJN
2004-2005,19,Corsley Edwards,25,1,10,110,10,31,0,0,7,12,12,25,3,3,4,2,19,27,0.323,,0.583,11.0,2.7,2.5,0.3,0.3,0.4,2004-12-04,NOH vs. DET
2004-2005,20,John Edwards,23,2,65,435,42,94,0,0,15,25,26,67,8,6,19,20,88,99,0.447,,0.6,6.7,1.5,1.0,0.1,0.1,0.3,2004-11-06,IND vs. CHI
2004-2005,21,Andre Emmett,22,2,14,73,6,13,0,1,8,13,2,8,1,2,1,3,6,20,0.462,0.0,0.615,5.2,1.4,0.6,0.1,0.1,0.1,2005-01-14, MEM @ CHA
2004-2005,22,Luis Flores,23,1,16,77,14,29,5,10,2,2,1,3,11,2,0,11,9,35,0.483,0.5,1.0,4.8,2.2,0.2,0.7,0.1,0.0,2004-12-15, GSW @ NOH
2004-2005,23,Matt Freije,23,2,42,588,53,181,17,76,10,14,24,85,27,16,3,20,53,133,0.293,0.224,0.714,14.0,3.2,2.0,0.6,0.4,0.1,2004-11-20, NOH vs. MIN
2004-2005,24,Ben Gordon,21,11,744,20366,3931,9092,1171,2921,2051,2394,333,1851,1868,508,114,1551,1720,11084,0.432,0.401,0.857,27.4,14.9,2.5,2.5,0.7,0.2,2004-11-05,CHI vs. NJN
2004-2005,25,Devin Harris,21,15,985,23963,3486,8072,832,2558,2793,3507,290,2151,3869,998,194,1682,2171,10597,0.432,0.325,0.796,24.3,10.8,2.2,3.9,1.0,0.2,2004-11-02,DAL vs. SAC
2004-2005,26,David Harrison,22,4,189,2686,374,706,0,0,201,383,184,549,47,64,185,216,538,949,0.53,,0.525,14.2,5.0,2.9,0.2,0.3,1.0,2004-11-03,IND @ CLE
2004-2005,27,Dwight Howard,19,18,1242,39457,7051,12016,22,103,5361,9455,4151,14627,1676,1081,2228,3302,3912,19485,0.587,0.214,0.567,31.8,15.7,11.8,1.3,0.9,1.8,2004-11-03,ORL vs. MIL
2004-2005,28,Kris Humphries,19,13,800,14232,2078,4486,55,188,1139,1626,1387,4314,556,326,454,691,1456,5350,0.463,0.293,0.7,17.8,6.7,5.4,0.7,0.4,0.6,2004-11-03,UTA vs. LAL
2004-2005,29,Andre Iguodala,21,19,1231,39507,5028,10870,1081,3278,2831,3994,1118,6047,5147,1765,633,2240,2180,13968,0.463,0.33,0.709,32.1,11.3,4.9,4.2,1.4,0.5,2004-11-03,PHI @ BOS
2004-2005,30,D.J. Mbenga,24,7,234,1566,180,383,0,2,54,89,129,351,41,37,141,87,286,414,0.47,0.0,0.607,6.7,1.8,1.5,0.2,0.2,0.6,2004-11-06,DAL vs. MEM
2004-2005,31,Royal Ivey,23,10,492,6162,622,1531,162,449,235,333,147,557,501,230,38,255,757,1641,0.406,0.361,0.706,12.5,3.3,1.1,1.0,0.5,0.1,2004-11-03,ATL @ PHO
2004-2005,32,Luke Jackson,23,4,73,724,84,235,32,89,52,71,27,89,58,24,3,49,71,252,0.357,0.36,0.732,9.9,3.5,1.2,0.8,0.3,0.0,2004-11-06,CLE @ MIL
2004-2005,33,Al Jefferson,20,14,915,26299,6161,12344,8,66,2013,2833,2054,7690,1347,628,1093,1211,2347,14343,0.499,0.121,0.711,28.7,15.7,8.4,1.5,0.7,1.2,2004-11-03,BOS vs. PHI
2004-2005,34,Horace Jenkins,30,1,15,104,15,45,0,9,12,13,3,9,9,5,1,7,6,42,0.333,0.0,0.923,6.9,2.8,0.6,0.6,0.3,0.1,2004-12-03,DET @ SAS
2004-2005,35,Mark Jones,29,1,10,116,9,31,0,4,5,10,6,13,6,5,2,3,16,23,0.29,0.0,0.5,11.6,2.3,1.3,0.6,0.5,0.2,2005-03-24, ORL vs. CHA
2004-2005,36,Mario Kasun,24,2,73,569,78,167,0,1,42,66,76,188,11,10,16,41,155,198,0.467,0.0,0.636,7.8,2.7,2.6,0.2,0.1,0.2,2004-11-12, ORL vs. LAL
2004-2005,37,Viktor Khryapa,22,4,143,2351,251,567,14,48,127,193,168,492,142,86,48,139,353,643,0.443,0.292,0.658,16.4,4.5,3.4,1.0,0.6,0.3,2005-02-01,POR @ LAL
2004-2005,38,Brandin Knight,23,1,1,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,,,3.0,0.0,0.0,1.0,0.0,0.0,2005-01-17, HOU @ MEM
2004-2005,39,Nenad Krstić,21,7,419,10547,1724,3493,2,14,760,1041,772,2261,346,162,286,497,1251,4210,0.494,0.143,0.73,25.2,10.0,5.4,0.8,0.4,0.7,2004-11-03,NJN vs. MIA
2004-2005,40,Ibo Kutluay,30,1,5,12,0,1,0,0,0,0,0,1,0,0,0,2,1,0,0.0,,,2.4,0.0,0.2,0.0,0.0,0.0,2004-12-22, SEA vs. DEN
2004-2005,41,Shaun Livingston,19,14,833,17188,2149,4419,13,73,920,1159,491,1989,2483,586,311,1034,1498,5231,0.486,0.178,0.794,20.6,6.3,2.4,3.0,0.7,0.4,2004-11-03,LAC vs. SEA
2004-2005,42,Kevin Martin,21,12,714,21559,3847,8797,1141,2969,3561,4091,401,2278,1352,643,78,1200,1361,12396,0.437,0.384,0.87,30.2,17.4,3.2,1.9,0.9,0.1,2004-11-02,SAC @ DAL
2004-2005,43,Jameer Nelson,22,14,878,24539,3790,8692,1153,3134,1207,1491,426,2595,4508,772,68,1831,2195,9940,0.436,0.368,0.81,27.9,11.3,3.0,5.1,0.9,0.1,2004-11-03,ORL vs. MIL
2004-2005,44,Andrés Nocioni,25,8,514,12013,1932,4478,587,1574,964,1206,354,2295,614,215,228,724,1394,5415,0.431,0.373,0.799,23.4,10.5,4.5,1.2,0.4,0.4,2004-11-05,CHI vs. NJN
2004-2005,45,Emeka Okafor,22,10,616,19055,3004,5867,0,2,1362,2325,1954,5967,520,414,1003,984,1696,7370,0.512,0.0,0.586,30.9,12.0,9.7,0.8,0.7,1.6,2004-11-04,CHA vs. WAS
2004-2005,46,Pavel Podkolzin,20,2,6,28,0,2,0,0,4,8,0,9,0,0,1,4,4,4,0.0,,0.5,4.7,0.7,1.5,0.0,0.0,0.2,2005-03-19, DAL vs. CHA
2004-2005,47,Peter John Ramos,19,1,6,20,5,10,0,0,1,2,1,4,0,0,1,3,4,11,0.5,,0.5,3.3,1.8,0.7,0.0,0.0,0.2,2004-11-03,WAS @ MEM
2004-2005,48,Justin Reed,23,3,136,1436,174,431,0,4,124,165,76,186,68,31,19,79,219,472,0.404,0.0,0.752,10.6,3.5,1.4,0.5,0.2,0.1,2004-11-23, BOS @ IND
2004-2005,49,Jared Reiner,22,2,46,376,25,73,0,0,4,14,34,109,14,8,13,23,80,54,0.342,,0.286,8.2,1.2,2.4,0.3,0.2,0.3,2004-11-05,CHI vs. NJN
2004-2005,50,Bernard Robinson,24,3,128,1909,212,508,5,31,147,187,86,315,126,109,16,110,215,576,0.417,0.161,0.786,14.9,4.5,2.5,1.0,0.9,0.1,2004-11-04,CHA vs. WAS
2004-2005,51,Quinton Ross,23,7,458,8458,764,1824,49,154,286,402,267,947,431,263,129,217,854,1863,0.419,0.318,0.711,18.5,4.1,2.1,0.9,0.6,0.3,2004-11-05,LAC @ POR
2004-2005,52,Ha Seung-Jin,19,2,46,316,28,54,0,0,14,28,20,67,3,4,13,26,62,70,0.519,,0.5,6.9,1.5,1.5,0.1,0.1,0.3,2005-01-07,POR vs. MIA
2004-2005,53,Donta Smith,21,2,61,560,59,140,8,26,39,60,22,66,48,31,5,29,70,165,0.421,0.308,0.65,9.2,2.7,1.1,0.8,0.5,0.1,2004-11-26, ATL vs. ORL
2004-2005,54,J.R. Smith,19,16,977,26275,4380,10465,1930,5178,1458,1990,494,3073,2077,974,204,1315,2191,12148,0.419,0.373,0.733,26.9,12.4,3.1,2.1,1.0,0.2,2004-11-03,NOH vs. DAL
2004-2005,55,Josh Smith,19,13,894,29000,5089,11247,450,1578,2368,3748,1717,6653,2789,1083,1713,2197,2461,12996,0.452,0.285,0.632,32.4,14.5,7.4,3.1,1.2,1.9,2004-11-03,ATL @ PHO
2004-2005,56,Kirk Snyder,21,4,211,3540,489,1116,92,281,263,376,152,491,241,86,69,206,328,1333,0.438,0.327,0.699,16.8,6.3,2.3,1.1,0.4,0.3,2004-11-03,UTA vs. LAL
2004-2005,57,Pape Sow,23,3,76,879,79,190,0,0,61,90,78,214,12,34,24,41,166,219,0.416,,0.678,11.6,2.9,2.8,0.2,0.4,0.3,2004-11-13, TOR @ POR
2004-2005,58,Awvee Storey,27,3,60,407,58,140,4,16,23,45,43,81,21,10,2,15,66,143,0.414,0.25,0.511,6.8,2.4,1.4,0.4,0.2,0.0,2004-11-13, NJN vs. DAL
2004-2005,59,Robert Swift,19,4,97,1500,172,340,0,0,72,118,122,376,20,26,86,71,224,416,0.506,,0.61,15.5,4.3,3.9,0.2,0.3,0.9,2004-11-03,SEA @ LAC
2004-2005,60,Yuta Tabuse,24,1,4,17,1,6,1,1,4,4,2,4,3,0,0,1,1,7,0.167,1.0,1.0,4.3,1.8,1.0,0.8,0.0,0.0,2004-11-03,PHO vs. ATL
2004-2005,61,Sebastian Telfair,19,10,564,12149,1542,3953,361,1133,738,950,151,898,1960,413,75,859,1196,4183,0.39,0.319,0.777,21.5,7.4,1.6,3.5,0.7,0.1,2004-11-05,POR vs. LAC
2004-2005,62,Billy Thomas,29,3,53,529,51,151,31,102,11,13,12,52,26,25,2,19,52,144,0.338,0.304,0.846,10.0,2.7,1.0,0.5,0.5,0.0,2005-01-21, NJN vs. BOS
2004-2005,63,James Thomas,24,2,33,267,22,39,0,0,10,20,29,76,5,4,7,14,48,54,0.564,,0.5,8.1,1.6,2.3,0.2,0.1,0.2,2005-01-09,POR @ NYK
2004-2005,64,Beno Udrih,22,13,831,18185,2740,5922,465,1334,1007,1209,308,1712,2858,576,71,1179,1275,6952,0.463,0.349,0.833,21.9,8.4,2.1,3.4,0.7,0.1,2004-11-03,SAS vs. SAC
2004-2005,65,Anderson Varejão,22,14,632,15087,1808,3550,1,43,957,1518,1511,4531,737,537,407,593,1633,4574,0.509,0.023,0.63,23.9,7.2,7.2,1.2,0.8,0.6,2004-11-04,CLE @ MIA
2004-2005,66,Jackson Vroman,23,2,87,1111,108,265,0,3,69,119,97,261,51,37,30,85,183,285,0.408,0.0,0.58,12.8,3.3,3.0,0.6,0.4,0.3,2004-11-03,PHO vs. ATL
2004-2005,67,Sasha Vujačić,20,10,581,8908,1075,2757,533,1451,411,479,205,1093,748,336,34,328,880,3094,0.39,0.367,0.858,15.3,5.3,1.9,1.3,0.6,0.1,2004-11-03,LAL @ UTA
2004-2005,68,Delonte West,21,8,432,11842,1601,3571,376,1012,620,751,213,1265,1540,465,179,702,828,4198,0.448,0.372,0.826,27.4,9.7,2.9,3.6,1.1,0.4,2004-11-26, BOS vs. CLE
2004-2005,69,Damien Wilkins,25,10,582,10991,1344,3157,205,627,711,908,441,1362,796,431,130,524,945,3604,0.426,0.327,0.783,18.9,6.2,2.3,1.4,0.7,0.2,2004-11-03,SEA @ LAC
2004-2005,70,Dorell Wright,19,11,549,12280,1657,3908,617,1691,666,826,375,2093,850,418,271,475,790,4597,0.424,0.365,0.806,22.4,8.4,3.8,1.5,0.8,0.5,2005-02-05,MIA vs. CHI
2005-2006,1,Alex Acker,23,2,30,234,34,92,8,25,5,10,9,29,16,6,4,11,13,81,0.37,0.32,0.5,7.8,2.7,1.0,0.5,0.2,0.1,2006-02-21, DET vs. ATL
2005-2006,2,Alan Anderson,23,8,330,6793,843,2084,331,963,404,495,151,714,371,182,31,290,602,2421,0.405,0.344,0.816,20.6,7.3,2.2,1.1,0.6,0.1,2005-11-12, CHA @ MIA
2005-2006,3,Martynas Andriuškevičius,19,1,6,9,0,1,0,0,0,0,1,4,0,2,0,0,1,0,0.0,,,1.5,0.0,0.7,0.0,0.3,0.0,2006-01-05,CLE vs. HOU
2005-2006,4,Earl Barron,24,8,140,1985,255,687,3,18,127,181,188,492,63,46,30,107,270,640,0.371,0.167,0.702,14.2,4.6,3.5,0.5,0.3,0.2,2005-11-02,MIA @ MEM
2005-2006,5,Eddie Basden,22,1,19,141,15,37,1,7,8,10,7,28,8,9,2,9,17,39,0.405,0.143,0.8,7.4,2.1,1.5,0.4,0.5,0.1,2005-11-07,CHI vs. SAS
2005-2006,6,Brandon Bass,20,12,758,16410,2558,5125,12,58,1447,1740,1139,3448,608,295,479,718,1375,6575,0.499,0.207,0.832,21.6,8.7,4.5,0.8,0.4,0.6,2005-11-01,NOK vs. SAC
2005-2006,7,Esteban Batista,22,2,70,576,42,96,0,1,37,60,68,174,11,18,11,42,124,121,0.438,0.0,0.617,8.2,1.7,2.5,0.2,0.3,0.2,2005-11-02,ATL @ GSW
2005-2006,8,Andray Blatche,19,9,564,12462,2327,4981,52,219,1000,1380,1043,3024,798,492,458,914,1382,5706,0.467,0.237,0.725,22.1,10.1,5.4,1.4,0.9,0.8,2005-11-11, WAS vs. SEA
2005-2006,9,Andrew Bogut,21,14,706,19862,2986,5585,3,25,833,1495,1754,6112,1546,442,1091,1204,2186,6808,0.535,0.12,0.557,28.1,9.6,8.7,2.2,0.6,1.5,2005-11-01,MIL @ PHI
2005-2006,10,Kevin Burleson,26,1,39,340,22,88,10,54,16,17,4,26,48,26,2,25,63,70,0.25,0.185,0.941,8.7,1.8,0.7,1.2,0.7,0.1,2005-11-11, CHA vs. DAL
2005-2006,11,Andrew Bynum,18,8,418,10690,1917,3446,1,9,987,1431,1007,3221,490,133,657,644,1028,4822,0.556,0.111,0.69,25.6,11.5,7.7,1.2,0.3,1.6,2005-11-02,LAL @ DEN
2005-2006,12,Will Bynum,23,8,360,6611,1117,2529,84,309,603,755,125,561,1185,256,29,578,670,2921,0.442,0.272,0.799,18.4,8.1,1.6,3.3,0.7,0.1,2006-03-19, GSW vs. PHI
2005-2006,13,José Calderón,24,14,895,23643,3038,6440,920,2260,925,1060,303,2148,5148,716,71,1339,1476,7921,0.472,0.407,0.873,26.4,8.9,2.4,5.8,0.8,0.1,2005-11-02,TOR vs. WAS
2005-2006,14,Travis Diener,23,5,179,2660,298,768,164,465,94,111,39,243,432,76,9,99,200,854,0.388,0.353,0.847,14.9,4.8,1.4,2.4,0.4,0.1,2005-12-02,ORL @ MEM
2005-2006,15,Ike Diogu,22,6,225,2795,488,958,1,2,371,472,275,689,69,36,65,200,425,1348,0.509,0.5,0.786,12.4,6.0,3.1,0.3,0.2,0.3,2005-11-23, GSW vs. SAS
2005-2006,16,Monta Ellis,20,12,833,29011,5723,12688,737,2349,2675,3463,520,2874,3856,1409,281,2246,1950,14858,0.451,0.314,0.772,34.8,17.8,3.5,4.6,1.7,0.3,2005-11-12, GSW @ PHO
2005-2006,17,Daniel Ewing,22,2,127,1683,162,416,36,122,71,91,32,158,174,69,10,107,148,431,0.389,0.295,0.78,13.3,3.4,1.2,1.4,0.5,0.1,2005-11-02,LAC @ SEA
2005-2006,18,Noel Felix,24,1,12,82,6,25,1,3,5,8,3,13,2,2,3,8,13,18,0.24,0.333,0.625,6.8,1.5,1.1,0.2,0.2,0.3,2006-03-05,SEA vs. UTA
2005-2006,19,Raymond Felton,21,14,971,28829,4105,9959,925,2813,1718,2175,552,2867,5096,1144,207,2008,1870,10853,0.412,0.329,0.79,29.7,11.2,3.0,5.2,1.2,0.2,2005-11-02,CHA @ CHI
2005-2006,20,Gerald Fitch,23,1,18,239,30,89,7,26,17,23,7,30,33,7,5,15,28,84,0.337,0.269,0.739,13.3,4.7,1.7,1.8,0.4,0.3,2005-11-23, MIA vs. POR
2005-2006,21,Sharrod Ford,24,1,3,13,2,3,0,0,0,0,1,3,0,0,1,2,7,4,0.667,,,4.3,1.3,1.0,0.0,0.0,0.3,2005-11-30, PHO vs. IND
2005-2006,22,Channing Frye,22,13,890,19772,2931,6655,1049,2706,875,1064,767,4002,864,457,540,787,2255,7786,0.44,0.388,0.822,22.2,8.7,4.5,1.0,0.5,0.6,2005-11-04,NYK vs. WAS
2005-2006,23,Deng Gai,23,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2.5,0.0,0.0,0.0,0.0,0.0,2005-11-02,PHI @ DET
2005-2006,24,Francisco García,24,10,549,11853,1564,3659,581,1627,614,768,278,1400,747,441,388,545,1229,4323,0.427,0.357,0.799,21.6,7.9,2.6,1.4,0.8,0.7,2005-11-01,SAC @ NOK
2005-2006,25,Ryan Gomes,23,8,487,13463,1891,4249,334,956,810,1014,617,2239,712,351,78,550,942,4926,0.445,0.349,0.799,27.6,10.1,4.6,1.5,0.7,0.2,2005-11-02,BOS vs. NYK
2005-2006,26,Joey Graham,23,6,377,6117,857,1776,54,180,471,578,272,1058,207,134,43,309,804,2239,0.483,0.3,0.815,16.2,5.9,2.8,0.5,0.4,0.1,2005-11-02,TOR vs. WAS
2005-2006,27,Stephen Graham,23,6,239,2915,378,848,53,172,157,205,77,424,117,57,19,155,352,966,0.446,0.308,0.766,12.2,4.0,1.8,0.5,0.2,0.1,2005-12-11, HOU @ POR
2005-2006,28,Danny Granger,22,10,586,18487,3332,7672,1006,2644,2185,2577,674,2888,1097,561,481,1098,1628,9855,0.434,0.38,0.848,31.5,16.8,4.9,1.9,1.0,0.8,2005-11-02,IND @ ORL
2005-2006,29,Devin Green,23,1,27,135,6,28,0,2,13,21,10,24,7,3,0,5,13,25,0.214,0.0,0.619,5.0,0.9,0.9,0.3,0.1,0.0,2005-11-03,LAL vs. PHO
2005-2006,30,Gerald Green,20,12,658,13026,2312,5546,962,2668,826,1010,318,1639,596,335,199,721,1228,6412,0.417,0.361,0.818,19.8,9.7,2.5,0.9,0.5,0.3,2006-02-03,BOS vs. LAC
2005-2006,31,Orien Greene,23,4,131,1555,127,328,11,52,61,95,49,195,155,98,15,144,228,326,0.387,0.212,0.642,11.9,2.5,1.5,1.2,0.7,0.1,2005-11-02,BOS vs. NYK
2005-2006,32,Anthony Grundy,26,1,12,108,19,38,5,15,9,14,1,17,9,7,0,9,14,52,0.5,0.333,0.643,9.0,4.3,1.4,0.8,0.6,0.0,2006-03-29, ATL vs. IND
