season,rank,player,age,yrs,g,mp,fg,fga,3p,3pa,ft,fta,orb,trb,ast,stl,blk,tov,pf,pts,fg%,3p%,ft%,mp_(per_game),pts_(per_game),trb_(per_game),ast_(per_game),stl_(per_game),blk_(per_game),debut_date,debut_match
1999-2000,29,Rick Hughes,26,1,21,224,35,72,0,1,12,26,24,49,9,3,1,14,30,82,0.486,0.0,0.462,10.7,3.9,2.3,0.4,0.1,0.0,1999-11-04,DAL @ SEA
1999-2000,30,Jermaine Jackson,23,5,135,1344,89,222,3,19,81,114,34,145,184,42,9,78,127,262,0.401,0.158,0.711,10.0,1.9,1.1,1.4,0.3,0.1,1999-11-13, DET vs. SEA
1999-2000,31,Tim James,23,3,43,261,26,79,1,3,15,23,23,46,11,2,9,13,33,68,0.329,0.333,0.652,6.1,1.6,1.1,0.3,0.0,0.2,2000-01-25, MIA vs. BOS
1999-2000,32,Harold Jamison,23,2,37,250,29,63,0,0,14,33,40,60,10,7,2,10,40,72,0.46,,0.424,6.8,1.9,1.6,0.3,0.2,0.1,1999-12-03,MIA @ BOS
1999-2000,33,DeMarco Johnson,24,1,5,37,3,9,0,0,0,0,3,7,0,1,0,3,5,6,0.333,,,7.4,1.2,1.4,0.0,0.2,0.0,1999-11-27, NYK vs. ORL
1999-2000,34,Jumaine Jones,20,8,471,9780,1294,3052,425,1218,312,443,552,1987,408,307,144,388,870,3325,0.424,0.349,0.704,20.8,7.1,4.2,0.9,0.7,0.3,1999-11-02,PHI @ SAS
1999-2000,35,Lari Ketner,22,2,25,139,13,32,0,0,8,12,12,34,2,4,3,12,20,34,0.406,,0.667,5.6,1.4,1.4,0.1,0.2,0.1,1999-11-17, CHI @ PHO
1999-2000,36,Trajan Langdon,23,3,119,1738,220,529,86,217,121,133,29,159,152,56,14,98,179,647,0.416,0.396,0.91,14.6,5.4,1.3,1.3,0.5,0.1,1999-11-02,CLE @ NYK
1999-2000,37,Quincy Lewis,22,4,159,1853,232,584,37,111,66,93,71,210,96,59,36,98,335,567,0.397,0.333,0.71,11.7,3.6,1.3,0.6,0.4,0.2,1999-11-02,UTA vs. LAL
1999-2000,38,Todd MacCulloch,24,4,223,3439,568,1049,0,0,233,363,340,888,121,61,177,154,478,1369,0.541,,0.642,15.4,6.1,4.0,0.5,0.3,0.8,1999-11-02,PHI @ SAS
1999-2000,39,Corey Maggette,20,14,827,23358,4065,8969,463,1431,4605,5599,915,4022,1696,590,139,1874,2338,13198,0.453,0.324,0.822,28.2,16.0,4.9,2.1,0.7,0.2,1999-11-02,ORL @ CHH
1999-2000,40,Shawn Marion,21,16,1163,40097,7289,15056,791,2390,2331,2877,2732,10101,2198,1759,1233,1750,2535,17700,0.484,0.331,0.81,34.5,15.2,8.7,1.9,1.5,1.1,1999-11-02,PHO @ DEN
1999-2000,41,Andre Miller,23,17,1304,40268,6035,13104,193,888,4015,4975,1373,4795,8524,1546,227,3121,2882,16278,0.461,0.217,0.807,30.9,12.5,3.7,6.5,1.2,0.2,1999-11-02,CLE @ NYK
1999-2000,42,Jason Miskiri,24,1,1,3,0,1,0,1,0,0,0,0,1,0,0,0,2,0,0.0,0.0,,3.0,0.0,0.0,1.0,0.0,0.0,1999-11-02,CHH vs. ORL
1999-2000,43,Lamar Odom,20,14,961,32131,4811,10393,664,2126,2495,3599,1821,8059,3554,848,892,2253,2916,12781,0.463,0.312,0.693,33.4,13.3,8.4,3.7,0.9,0.9,1999-11-02,LAC vs. SEA
1999-2000,44,Scott Padgett,23,8,448,5613,679,1658,240,644,276,375,402,1227,325,182,86,253,681,1874,0.41,0.373,0.736,12.5,4.2,2.7,0.7,0.4,0.2,1999-11-04,UTA vs. HOU
1999-2000,45,Milt Palacio,21,7,470,8421,863,2060,40,170,477,663,159,831,1194,302,58,596,685,2243,0.419,0.235,0.719,17.9,4.8,1.8,2.5,0.6,0.1,1999-11-02,VAN vs. POR
1999-2000,46,James Posey,23,12,864,23260,2495,6091,1035,2967,1394,1701,755,4061,1413,917,298,981,2330,7419,0.41,0.349,0.82,26.9,8.6,4.7,1.6,1.1,0.3,1999-11-02,DEN vs. PHO
1999-2000,47,Laron Profit,22,4,135,1537,173,413,21,89,74,104,52,209,166,70,25,116,138,441,0.419,0.236,0.712,11.4,3.3,1.5,1.2,0.5,0.2,1999-11-02,WAS vs. ATL
1999-2000,48,Aleksandar Radojević,23,2,15,152,8,26,0,0,10,16,11,36,7,2,3,20,37,26,0.308,,0.625,10.1,1.7,2.4,0.5,0.1,0.2,1999-11-02,TOR vs. BOS
1999-2000,49,Ryan Robertson,23,1,1,25,2,6,0,2,1,1,0,0,0,0,0,0,0,5,0.333,0.0,1.0,25.0,5.0,0.0,0.0,0.0,0.0,2000-04-19, SAC @ UTA
1999-2000,50,Eddie Robinson,23,5,278,5345,852,1681,8,32,226,306,241,764,252,216,91,215,345,1938,0.507,0.25,0.739,19.2,7.0,2.7,0.9,0.8,0.3,1999-11-02,CHH vs. ORL
1999-2000,51,Michael Ruffin,23,9,414,5966,258,634,0,3,200,436,729,1632,250,199,193,273,942,716,0.407,0.0,0.459,14.4,1.7,3.9,0.6,0.5,0.5,1999-11-03,CHI vs. NYK
1999-2000,52,Wally Szczerbiak,22,10,651,20052,3486,7193,590,1453,1633,1899,671,2602,1532,388,160,970,1380,9195,0.485,0.406,0.86,30.8,14.1,4.0,2.4,0.6,0.2,1999-11-05,MIN @ SAC
1999-2000,53,Jason Terry,22,19,1410,42034,6914,15585,2282,6010,2771,3278,502,3274,5415,1603,275,2415,2577,18881,0.444,0.38,0.845,29.8,13.4,2.3,3.8,1.1,0.2,1999-11-02,ATL @ WAS
1999-2000,54,Jamel Thomas,26,2,12,102,14,37,1,6,1,1,5,14,6,4,0,11,8,30,0.378,0.167,1.0,8.5,2.5,1.2,0.5,0.3,0.0,1999-12-14, BOS @ CLE
1999-2000,55,Kenny Thomas,22,11,632,17306,2309,4966,59,242,1199,1715,1447,4341,975,527,276,1054,1581,5876,0.465,0.244,0.699,27.4,9.3,6.9,1.5,0.8,0.4,1999-11-02,HOU vs. MIL
1999-2000,56,Mirsad Türkcan,23,1,17,90,14,38,0,6,5,8,13,33,5,3,1,8,14,33,0.368,0.0,0.625,5.3,1.9,1.9,0.3,0.2,0.1,1999-11-19, NYK @ PHO
1999-2000,57,Wayne Turner,23,1,3,41,1,6,0,0,2,6,1,3,5,0,0,3,4,4,0.167,,0.333,13.7,1.3,1.0,1.7,0.0,0.0,1999-11-02,BOS @ TOR
1999-2000,58,Dedric Willoughby,25,1,25,508,61,179,29,98,39,51,11,51,66,23,2,37,32,190,0.341,0.296,0.765,20.3,7.6,2.0,2.6,0.9,0.1,1999-11-05,CHI vs. MIA
1999-2000,59,Metta World Peace,20,17,991,31440,4666,11266,1154,3402,2572,3596,1159,4448,2631,1721,522,1791,2586,13058,0.414,0.339,0.715,31.7,13.2,4.5,2.7,1.7,0.5,1999-11-03,CHI vs. NYK
1999-2000,60,Tim Young,23,1,25,137,13,39,0,0,28,36,13,35,5,2,1,9,18,54,0.333,,0.778,5.5,2.2,1.4,0.2,0.1,0.0,1999-11-16, GSW vs. CHI
2000-2001,1,Courtney Alexander,23,3,187,4067,655,1552,41,121,339,417,124,409,227,111,18,203,377,1690,0.422,0.339,0.813,21.7,9.0,2.2,1.2,0.6,0.1,2000-11-04,DAL vs. UTA
2000-2001,2,Dalibor Bagarić,20,3,95,973,97,269,0,2,57,102,84,238,37,29,43,72,163,251,0.361,0.0,0.559,10.2,2.6,2.5,0.4,0.3,0.5,2000-11-22, CHI @ SAC
2000-2001,3,Erick Barkley,22,2,27,266,32,90,4,15,9,10,5,21,40,19,1,17,31,77,0.356,0.267,0.9,9.9,2.9,0.8,1.5,0.7,0.0,2000-11-02,POR @ PHO
2000-2001,4,Raja Bell,24,12,706,19813,2581,5949,956,2357,880,1101,408,1968,1208,484,130,695,1840,6998,0.434,0.406,0.799,28.1,9.9,2.8,1.7,0.7,0.2,2001-04-06,PHI vs. CLE
2000-2001,5,Mark Blount,25,9,605,13981,2020,4011,37,103,864,1195,895,2784,513,327,508,933,1554,4941,0.504,0.359,0.723,23.1,8.2,4.6,0.8,0.5,0.8,2000-11-01,BOS vs. DET
2000-2001,6,Brian Cardinal,23,12,456,6477,664,1628,243,653,537,624,286,1050,465,295,69,330,890,2108,0.408,0.372,0.861,14.2,4.6,2.3,1.0,0.6,0.2,2000-12-09,DET @ POR
2000-2001,7,Mateen Cleaves,23,6,167,1863,233,599,12,45,131,180,33,175,310,67,5,201,213,609,0.389,0.267,0.728,11.2,3.6,1.0,1.9,0.4,0.0,2000-10-31, DET @ TOR
2000-2001,8,Jason Collier,23,5,151,2178,338,743,7,20,158,214,175,443,51,36,32,120,295,841,0.455,0.35,0.738,14.4,5.6,2.9,0.3,0.2,0.2,2000-10-31, HOU vs. MIN
2000-2001,9,Sean Colson,25,1,13,44,6,24,1,5,2,4,2,6,10,1,0,2,6,15,0.25,0.2,0.5,3.4,1.2,0.5,0.8,0.1,0.0,2001-01-18, ATL @ IND
2000-2001,10,Jamal Crawford,20,20,1327,38994,6752,16467,2221,6379,3694,4286,466,2948,4541,1179,271,2476,2008,19419,0.41,0.348,0.862,29.4,14.6,2.2,3.4,0.9,0.2,2000-10-31, CHI vs. SAC
2000-2001,11,Keyon Dooling,20,13,728,14134,1810,4356,446,1277,1001,1253,132,964,1601,463,75,803,1221,5067,0.416,0.349,0.799,19.4,7.0,1.3,2.2,0.6,0.1,2000-10-31, LAC @ UTA
2000-2001,12,Khalid El-Amin,21,1,50,936,115,311,28,84,56,72,21,81,145,48,2,54,99,314,0.37,0.333,0.778,18.7,6.3,1.6,2.9,1.0,0.0,2000-10-31, CHI vs. SAC
2000-2001,13,Marcus Fizer,22,6,289,6032,1103,2536,21,110,555,803,375,1340,352,134,81,428,648,2782,0.435,0.191,0.691,20.9,9.6,4.6,1.2,0.5,0.3,2000-10-31, CHI vs. SAC
