team,player,pos,seasons,year_of_induction
Cleveland Cavaliers,Walt Frazier,G,1978-1980,1987
Cleveland Cavaliers,Nate Thurmond,C,1976-1977,1985
Detroit Pistons,Ben Wallace,C-F,"2001-2006, 2010-2012",2021
Detroit Pistons,Chris Webber,F,2007,2021
Detroit Pistons,Chuck Cooper,F,1956,2019
Detroit Pistons,Grant Hill,F,1994-2000,2018
Detroit Pistons,Tracy McGrady,G-F,2010-2011,2017
Detroit Pistons,Allen Iverson,G,2009,2016
Detroit Pistons,Nat Clifton,F,1952-1957,2014
Detroit Pistons,Dennis Rodman,F,1987-1993,2011
Detroit Pistons,Adrian Dantley,F,1987-1989,2008
Detroit Pistons,Joe Dumars,G,1986-1996,2006
Detroit Pistons,Bob McAdoo,C-F,1980-1981,2000
Detroit Pistons,Isiah Thomas,G,1982-1994,2000
Detroit Pistons,Bailey Howell,F,1961-1964,1997
Detroit Pistons,George Yardley,F,1954-1959,1996
Detroit Pistons,Dick McGuire,G,1959-1960,1993
Detroit Pistons,Walt Bellamy,C,1969-1970,1993
Detroit Pistons,Bob Lanier,C,1971-1980,1992
Detroit Pistons,Harry Gallatin,F,1958,1991
Detroit Pistons,Dave Bing,G,1967-1975,1990
Detroit Pistons,Bob Houbregs,F,1955-1958,1987
Detroit Pistons,Dave DeBusschere,F,1963-1969,1983
Detroit Pistons,Andy Phillip,G,1953-1956,1961
Indiana Pacers,Tim Hardaway,G,2003,2022
Indiana Pacers,George McGinnis,F,"1972-1975, 1980-1982",2017
Indiana Pacers,"Bobby ""Slick"" Leonard",Coach,1969-1980,2014
Indiana Pacers,Roger Brown,F,"1968-1974, 1976",2013
Indiana Pacers,Mel Daniels,C,1969-1974,2012
Indiana Pacers,Reggie Miller,G,1988-2005,2012
Indiana Pacers,Chris Mullin,F,1998-2000,2011
Indiana Pacers,Gus Johnson,F,1973,2010
Indiana Pacers,Adrian Dantley,F,1978,2008
Indiana Pacers,Alex English,F,1979-1980,1997
Milwaukee Bucks,Pau Gasol,F-C,2018-2019,2023
Milwaukee Bucks,Bob Dandridge,F,"1970-1977, 1982",2021
Milwaukee Bucks,Toni Kukoc,F,2003-2006,2021
Milwaukee Bucks,Jack Sikma,C,1987-1991,2019
Milwaukee Bucks,Sidney Moncrief,G,1980-1989,2019
Milwaukee Bucks,Ray Allen,G,1996-2003,2018
Milwaukee Bucks,Guy Rodgers,G,1969-1970,2014
Milwaukee Bucks,Gary Payton,G,2003,2013
Milwaukee Bucks,Adrian Dantley,F,1991,2008
Milwaukee Bucks,Moses Malone,C,1992-1993,2001
Milwaukee Bucks,Alex English,F,1977-1978,1997
Milwaukee Bucks,Kareem Abdul-Jabbar,C,1970-1975,1995
Milwaukee Bucks,Bob Lanier,C,1980-1984,1992
Milwaukee Bucks,Dave Cowens,C,1983,1991
Milwaukee Bucks,Tiny Archibald,G,1984,1991
Milwaukee Bucks,Oscar Robertson,G,1971-1974,1980
Atlanta Hawks,Lou Hudson,G-F,1967-1977,2022
Atlanta Hawks,Toni Kukoc,F,2001-2002,2021
Atlanta Hawks,Chuck Cooper,F,1955-1956,2019
Atlanta Hawks,Sidney Moncrief,G,1991,2019
Atlanta Hawks,Maurice Cheeks,G,1991-1992,2018
Atlanta Hawks,Tracy McGrady,G-F,2011-2012,2017
Atlanta Hawks,Zelmo Beaty,C,1963-1968,2016
Atlanta Hawks,Dikembe Mutombo,C,1997-2001,2015
Atlanta Hawks,Richie Guerin,G,1964-1970,2013
Atlanta Hawks,Dominique Wilkins,F,1983-1994,2006
Atlanta Hawks,Moses Malone,C,1989-1991,2001
Atlanta Hawks,Walt Bellamy,C,1970-1974,1993
Atlanta Hawks,Connie Hawkins,F,1976,1992
Atlanta Hawks,Lenny Wilkens,G,1961-1968,1989
Atlanta Hawks,Clyde Lovellette,C,1959-1962,1988
Atlanta Hawks,Bob Houbregs,F,1954,1987
Atlanta Hawks,Pete Maravich,G,1971-1974,1987
Atlanta Hawks,Slater Martin,G,1957-1960,1982
Atlanta Hawks,Cliff Hagan,F,1957-1966,1978
Atlanta Hawks,Bob Pettit,F,1955-1965,1971
Atlanta Hawks,Ed Macauley,C,1957-1959,1960
Charlotte Hornets,Tony Parker,G,2018-2019,2023
Charlotte Hornets,Vlade Divac,C,1997-1998,2019
Charlotte Hornets,Alonzo Mourning,C,1993-1995,2014
Charlotte Hornets,Robert Parish,C,1995-1996,2003
Miami Heat,Dwyane Wade,G,"2003-2016, 2017-2019",2023
Miami Heat,Tim Hardaway,G,1996-2001,2022
Miami Heat,Chris Bosh,F-C,2011-2017,2021
Miami Heat,Ray Allen,G,2012-2014,2018
Miami Heat,Shaquille O'Neal,C,2005-2008,2016
Miami Heat,Alonzo Mourning,C,"1996-2007, 2008",2014
Miami Heat,Gary Payton,G,2006-2007,2013
Orlando Magic,Ben Wallace,C-F,2000,2021
Orlando Magic,Grant Hill,F,2000-2007,2018
Orlando Magic,Tracy McGrady,G-F,2000-2004,2017
Orlando Magic,Shaquille O'Neal,C,1993-1996,2016
Orlando Magic,Patrick Ewing,C,2002,2008
Orlando Magic,Dominique Wilkins,F,1999,2006
Washington Wizards,Ben Wallace,C-F,1997-1999,2021
Washington Wizards,Bob Dandridge,F,1978-1981,2021
Washington Wizards,Chris Webber,F,1995-1998,2021
Washington Wizards,Paul Pierce,F,2015,2021
Washington Wizards,Spencer Haywood,F,1982-1983,2015
Washington Wizards,Mitch Richmond,G,1999-2001,2014
Washington Wizards,Bernard King,F,1988-1991,2013
Washington Wizards,Ralph Sampson,C,1992,2012
Washington Wizards,Gus Johnson,F,1964-1972,2010
Washington Wizards,Michael Jordan,G,2002-2003,2009
Washington Wizards,Moses Malone,C,1987-1988,2001
Washington Wizards,Bailey Howell,F,1965-1966,1997
Washington Wizards,Walt Bellamy,C,1962-1966,1993
Washington Wizards,Dave Bing,G,1976-1977,1990
Washington Wizards,Earl Monroe,G,1968-1972,1990
Washington Wizards,Elvin Hayes,F,1973-1981,1990
Washington Wizards,Wes Unseld,C,1969-1981,1988
Denver Nuggets,Tim Hardaway,G,2002,2022
Denver Nuggets,Bobby Jones,F,1975-1978,2019
Denver Nuggets,Charlie Scott,G,1979-1980,2018
Denver Nuggets,George McGinnis,F,1978-1980,2017
Denver Nuggets,Allen Iverson,G,2007-2009,2016
Denver Nuggets,Dikembe Mutombo,C,1992-1996,2015
Denver Nuggets,Spencer Haywood,F,1970,2015
Denver Nuggets,Sarunas Marciulionis,G,1997,2014
Denver Nuggets,Alex English,F,1980-1990,1997
Denver Nuggets,David Thompson,G,1976-1982,1996
Denver Nuggets,Dan Issel,C,1976-1985,1993
Minnesota Timberwolves,Kevin Garnett,F,"1996-2007, 2015-2016",2020
Oklahoma City Thunder,Jack Sikma,C,1978-1986,2019
Oklahoma City Thunder,Paul Westphal,G,1981,2019
Oklahoma City Thunder,Ray Allen,G,2002-2007,2018
Oklahoma City Thunder,Spencer Haywood,F,1971-1975,2015
Oklahoma City Thunder,Sarunas Marciulionis,G,1995,2014
Oklahoma City Thunder,Gary Payton,G,1991-2003,2013
Oklahoma City Thunder,Dennis Johnson,G,1977-1980,2010
Oklahoma City Thunder,Patrick Ewing,C,2001,2008
Oklahoma City Thunder,David Thompson,G,1983-1984,1996
Oklahoma City Thunder,Lenny Wilkens,G,1969-1972,1989
Portland Trail Blazers,Arvydas Sabonis,C,1996-2003,2011
Portland Trail Blazers,Scottie Pippen,F,2000-2003,2010
Portland Trail Blazers,Clyde Drexler,G,1984-1995,2004
Portland Trail Blazers,Drazen Petrovic,G,1990-1991,2002
Portland Trail Blazers,Bill Walton,C,1975-1978,1993
Portland Trail Blazers,Lenny Wilkens,G,1975,1989
Utah Jazz,Bernard King,F,1980,2013
Utah Jazz,Karl Malone,F,1986-2003,2010
Utah Jazz,John Stockton,G,1985-2003,2009
Utah Jazz,Adrian Dantley,F,1980-1986,2008
Utah Jazz,Gail Goodrich,G,1977-1979,1996
Utah Jazz,Walt Bellamy,C,1975,1993
Utah Jazz,Pete Maravich,G,1975-1980,1987
Golden State Warriors,Tim Hardaway,G,1990-1996,2022
Golden State Warriors,Chris Webber,F,"1994, 2008",2021
