Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Season
4,Boston Celtics,72,17430,41.1,89.3,.461,12.5,34.4,.364,28.6,54.8,.522,18.5,23.1,.801,10.6,35.3,45.9,22.9,8.2,5.6,13.8,21.5,113.3,2019-2020
5,Denver Nuggets,73,17745,42.7,90.4,.473,11.2,31.1,.359,31.6,59.2,.533,16.5,21.3,.777,10.9,33.9,44.9,27.2,8.2,4.7,14.0,20.7,113.1,2019-2020
6,Houston Rockets,72,17380,39.1,86.7,.451,15.0,43.4,.345,24.1,43.3,.557,19.8,25.0,.791,9.4,33.1,42.4,20.7,8.3,4.9,14.1,20.8,112.9,2019-2020
7,Miami Heat,73,17745,39.6,84.7,.468,13.5,35.5,.379,26.1,49.2,.532,19.8,25.3,.783,8.5,36.0,44.5,26.0,7.5,4.6,15.0,20.6,112.5,2019-2020
8,San Antonio Spurs,71,17215,41.6,88.1,.472,10.5,28.0,.376,31.0,60.1,.516,18.7,23.1,.810,8.9,35.1,44.0,24.3,7.2,5.4,12.4,19.1,112.4,2019-2020
9,Milwaukee Bucks,73,17595,41.0,86.1,.476,13.1,36.9,.355,27.9,49.3,.567,17.3,23.4,.742,9.0,40.0,49.0,24.5,6.8,5.6,14.3,18.6,112.4,2019-2020
10,Utah Jazz,72,17355,40.5,85.9,.471,13.5,35.6,.380,27.0,50.4,.535,17.9,23.0,.779,9.2,36.1,45.3,22.6,6.1,4.1,15.3,20.6,112.3,2019-2020
11,Los Angeles Lakers,71,17090,41.8,87.2,.480,10.9,31.2,.349,30.9,56.0,.552,17.5,24.0,.729,10.5,34.6,45.2,25.1,8.5,6.5,15.0,20.5,112.0,2019-2020
12,Phoenix Suns,73,17595,40.5,86.5,.468,11.2,31.2,.358,29.3,55.3,.529,19.5,23.4,.834,9.6,33.2,42.8,26.7,7.5,3.9,14.5,21.7,111.7,2019-2020
13,Philadelphia 76ers,73,17595,41.3,88.4,.468,11.7,31.8,.368,29.6,56.6,.524,17.0,22.6,.755,10.5,35.2,45.7,26.0,8.1,5.4,14.3,21.1,111.3,2019-2020
14,Toronto Raptors,72,17380,39.6,86.6,.458,13.6,36.4,.374,26.0,50.2,.519,18.2,22.9,.796,9.4,35.3,44.7,24.9,8.7,4.9,14.6,21.3,111.1,2019-2020
15,Washington Wizards,72,17355,40.3,88.1,.457,11.6,31.6,.368,28.6,56.6,.506,18.8,23.8,.788,9.9,30.9,40.8,24.3,7.7,4.2,13.7,22.0,110.9,2019-2020
16,Oklahoma City Thunder,72,17430,40.1,85.8,.468,10.7,30.3,.355,29.4,55.6,.529,19.8,24.9,.796,8.3,34.8,43.0,21.8,7.7,4.9,13.7,19.4,110.8,2019-2020
17,New Orleans Pelicans,72,17430,40.7,87.6,.465,13.0,35.3,.370,27.6,52.3,.528,16.3,22.4,.729,10.6,33.9,44.4,25.6,7.2,4.8,15.7,20.2,110.7,2019-2020
18,Sacramento Kings,72,17455,40.9,88.4,.462,12.7,34.9,.364,28.2,53.5,.527,15.7,20.3,.770,9.7,33.0,42.6,23.8,7.7,4.1,14.5,22.2,110.2,2019-2020
19,Indiana Pacers,73,17620,42.3,88.9,.476,10.2,28.2,.363,32.1,60.7,.529,15.1,19.2,.787,8.8,34.3,43.0,26.0,7.5,5.2,13.3,19.9,110.0,2019-2020
20,Memphis Grizzlies,73,17570,41.3,88.1,.468,10.6,30.5,.347,30.7,57.6,.532,16.1,21.1,.763,10.0,35.1,45.1,26.1,7.7,5.3,14.8,20.5,109.2,2019-2020
21,Detroit Pistons,66,15965,40.0,87.2,.459,12.2,33.2,.367,27.8,53.9,.515,16.9,22.7,.743,9.9,32.5,42.4,24.5,7.5,4.6,15.5,20.0,109.0,2019-2020
22,Brooklyn Nets,72,17480,39.4,88.0,.448,12.7,37.2,.343,26.6,50.8,.524,17.5,23.4,.745,10.4,36.3,46.7,23.8,6.3,4.4,14.9,20.4,108.9,2019-2020
23,Orlando Magic,73,17570,39.8,89.6,.444,11.2,32.6,.343,28.6,57.0,.502,17.8,22.9,.774,10.4,34.6,45.0,24.2,8.3,5.5,13.0,18.5,108.5,2019-2020
24,Minnesota Timberwolves,64,15560,38.6,87.5,.441,12.7,37.9,.336,25.9,49.6,.521,18.2,24.2,.753,10.1,32.7,42.8,22.7,8.3,5.4,14.6,20.4,108.1,2019-2020
25,Cleveland Cavaliers,65,15725,40.5,88.4,.458,11.2,32.0,.351,29.3,56.4,.519,15.2,20.0,.758,10.9,33.6,44.5,23.2,6.9,3.3,16.6,18.4,107.5,2019-2020
26,Atlanta Hawks,67,16280,39.0,86.8,.449,11.5,34.6,.333,27.4,52.2,.525,17.7,22.4,.790,9.5,32.0,41.5,23.0,7.5,4.9,15.5,22.2,107.2,2019-2020
