Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Season
16,Indiana Pacers,82,19880,41.9,90.4,.463,12.3,35.7,.344,29.6,54.7,.541,16.6,21.6,.768,11.4,32.9,44.3,25.6,7.2,5.6,14.6,20.6,112.6,2021-2022
17,Golden State Warriors,82,19730,41.1,87.6,.469,14.5,39.9,.364,26.5,47.6,.557,15.8,20.6,.769,9.9,36.2,46.1,27.5,8.9,4.6,15.1,21.3,112.5,2021-2022
18,San Antonio Spurs,82,19805,43.0,92.1,.467,11.2,31.8,.352,31.7,60.3,.527,15.3,20.3,.754,10.9,34.1,45.0,27.7,7.6,4.9,12.6,18.0,112.4,2021-2022
19,New Orleans Pelicans,82,19755,41.2,90.1,.457,10.9,32.8,.332,30.2,57.3,.528,18.8,23.8,.789,12.3,34.1,46.3,25.6,8.5,4.1,14.4,20.1,112.0,2021-2022
20,Cleveland Cavaliers,82,19730,41.2,87.8,.469,12.1,34.0,.355,29.1,53.8,.541,17.4,22.9,.760,10.6,35.3,45.9,26.1,7.3,4.3,14.9,18.1,111.9,2021-2022
21,Washington Wizards,82,19830,41.5,88.0,.472,10.7,31.3,.342,30.8,56.7,.543,17.4,22.2,.783,9.2,34.9,44.1,25.6,6.5,5.1,13.4,19.3,111.1,2021-2022
22,New York Knicks,82,19780,39.1,89.4,.437,13.7,38.3,.357,25.4,51.1,.497,18.6,25.0,.744,11.9,35.9,47.8,22.7,7.2,5.0,13.7,21.1,110.4,2021-2022
23,Los Angeles Lakers,82,19980,41.0,87.3,.469,11.8,33.9,.347,29.2,53.4,.546,16.6,22.6,.732,9.4,33.9,43.3,23.6,7.5,5.1,14.3,19.8,110.3,2021-2022
24,Los Angeles Clippers,82,19780,40.7,88.8,.458,13.0,34.7,.374,27.7,54.1,.512,15.8,19.9,.793,9.3,35.4,44.7,24.4,7.5,5.0,13.9,18.9,110.1,2021-2022
25,Sacramento Kings,82,19805,40.3,87.7,.460,11.4,33.1,.344,29.0,54.7,.530,17.8,23.2,.768,9.5,33.2,42.8,23.6,7.1,4.5,14.0,18.9,109.9,2021-2022
26,Houston Rockets,82,19755,38.9,85.3,.456,13.3,38.2,.349,25.6,47.1,.543,17.3,24.2,.713,9.5,32.0,41.5,23.3,7.2,4.6,16.3,20.4,108.4,2021-2022
27,Portland Trail Blazers,82,19730,39.1,88.4,.442,12.9,37.4,.346,26.2,51.1,.513,16.7,21.9,.760,10.6,32.9,43.5,23.3,8.1,4.5,14.7,21.4,107.8,2021-2022
28,Detroit Pistons,82,19780,38.6,89.6,.431,11.4,35.0,.326,27.2,54.6,.498,17.4,22.3,.782,11.1,32.4,43.5,23.7,7.8,4.8,14.3,22.2,106.0,2021-2022
29,Oklahoma City Thunder,82,19805,38.6,89.9,.430,12.2,37.7,.323,26.4,52.2,.507,15.2,20.1,.756,10.5,35.5,46.0,22.4,7.6,4.7,14.1,18.4,104.6,2021-2022
30,Orlando Magic,82,19780,38.4,88.5,.434,12.2,36.9,.331,26.2,51.6,.507,15.5,19.7,.787,9.1,35.3,44.4,23.8,6.8,4.5,14.5,19.7,104.5,2021-2022
1,Sacramento Kings,82,19830,43.1,87.3,.494,13.6,36.9,.369,29.5,50.3,.586,19.6,24.8,.790,9.4,32.6,42.0,27.0,6.9,3.3,13.3,19.5,119.4,2022-2023
2,Boston Celtics,82,19980,42.2,88.8,.475,16.0,42.6,.377,26.2,46.2,.567,17.5,21.6,.812,9.7,35.6,45.3,26.7,6.4,5.2,13.4,18.8,118.0,2022-2023
3,New York Knicks,82,19955,42.6,90.7,.470,12.8,36.3,.354,29.8,54.5,.547,19.7,25.8,.761,12.8,34.6,47.3,23.3,6.5,4.2,13.2,20.6,117.8,2022-2023
4,Philadelphia 76ers,82,19880,41.7,85.6,.487,12.9,33.3,.387,28.8,52.3,.551,21.4,25.6,.835,8.9,32.9,41.8,25.7,7.9,4.8,14.0,20.9,117.7,2022-2023
5,Denver Nuggets,82,19755,44.2,87.8,.504,12.0,31.7,.379,32.3,56.1,.575,17.1,22.7,.751,10.3,33.4,43.7,29.3,7.7,4.6,14.8,18.9,117.6,2022-2023
6,Dallas Mavericks,82,19930,40.9,86.2,.475,15.5,41.9,.371,25.4,44.2,.574,19.4,25.7,.755,7.8,31.9,39.7,23.4,6.4,3.8,12.5,21.2,116.8,2022-2023
7,Atlanta Hawks,82,19855,43.9,90.9,.483,10.6,30.1,.352,33.3,60.9,.548,18.2,22.2,.818,11.0,32.6,43.7,24.6,7.0,4.8,12.7,18.5,116.6,2022-2023
8,Cleveland Cavaliers,82,19880,43.0,88.1,.488,12.0,32.7,.367,31.0,55.4,.559,18.2,23.3,.780,10.0,32.5,42.5,25.8,7.4,4.8,13.8,19.7,116.1,2022-2023
9,Golden State Warriors,82,19830,42.1,88.0,.479,16.2,42.2,.385,25.9,45.9,.564,15.6,19.7,.794,10.3,33.3,43.6,29.1,7.0,3.8,15.9,20.9,116.1,2022-2023
10,Utah Jazz,82,19805,42.0,88.8,.473,13.2,37.4,.353,28.8,51.4,.560,18.5,23.6,.786,11.7,33.7,45.4,25.7,6.0,5.2,15.2,20.2,115.8,2022-2023
11,Toronto Raptors,82,19805,42.9,93.5,.459,11.0,32.8,.335,31.9,60.7,.525,18.8,24.0,.784,13.0,31.0,44.0,24.5,9.6,5.3,11.9,20.5,115.5,2022-2023
12,Milwaukee Bucks,82,19830,42.2,89.2,.473,14.7,39.8,.368,27.5,49.4,.557,16.4,22.1,.743,11.0,37.0,48.0,25.5,6.3,4.9,14.4,17.8,115.4,2022-2023
13,Oklahoma City Thunder,82,19855,42.3,90.8,.465,11.9,33.5,.356,30.4,57.3,.530,18.8,23.3,.809,11.2,31.6,42.8,23.9,8.1,4.1,12.8,20.6,115.2,2022-2023
14,Memphis Grizzlies,82,19780,43.0,90.6,.475,11.8,33.7,.351,31.2,56.9,.548,17.2,23.5,.733,11.9,34.0,45.9,25.6,8.2,5.7,13.4,19.7,115.1,2022-2023
15,Phoenix Suns,82,19780,42.7,91.3,.467,12.4,33.0,.374,30.3,58.2,.520,17.4,22.0,.793,12.0,32.8,44.8,27.6,7.2,5.3,13.7,21.5,115.1,2022-2023
16,Los Angeles Clippers,82,19830,41.6,87.2,.477,12.9,33.8,.381,28.8,53.4,.539,18.9,24.2,.781,9.9,33.9,43.8,24.2,7.2,4.5,14.4,19.7,115.0,2022-2023
17,Brooklyn Nets,82,19730,42.0,86.3,.487,13.0,34.3,.378,29.1,52.0,.559,17.9,22.4,.800,8.3,32.8,41.1,25.9,7.2,6.3,13.9,21.4,115.0,2022-2023
18,Portland Trail Blazers,82,19730,40.9,86.4,.474,13.0,35.7,.365,27.9,50.7,.550,19.9,24.9,.796,9.6,31.5,41.0,24.5,6.8,4.6,14.6,20.3,114.8,2022-2023
19,Indiana Pacers,82,19755,41.4,88.3,.469,13.4,36.4,.367,28.0,51.8,.540,18.4,23.4,.790,10.0,30.9,40.9,26.6,7.6,5.7,14.7,20.9,114.6,2022-2023
20,Los Angeles Lakers,82,19880,41.9,87.0,.482,10.5,30.5,.346,31.4,56.5,.555,20.2,26.0,.775,9.7,34.9,44.7,24.7,6.3,4.5,13.8,17.5,114.5,2022-2023
21,Washington Wizards,82,19755,42.6,87.9,.485,11.4,32.1,.356,31.2,55.8,.559,17.8,22.7,.785,9.5,34.6,44.1,25.7,6.9,5.2,14.3,19.0,114.4,2022-2023
22,New Orleans Pelicans,82,19855,42.1,87.6,.480,11.0,30.1,.364,31.1,57.5,.541,19.3,24.4,.793,10.6,33.2,43.7,25.9,8.3,4.1,14.6,20.5,114.4,2022-2023
23,Minnesota Timberwolves,82,19830,42.1,85.9,.490,11.9,32.7,.365,30.2,53.1,.568,17.6,23.3,.755,9.0,32.2,41.1,25.7,7.9,5.3,15.1,21.2,113.7,2022-2023
24,Chicago Bulls,82,19905,42.7,87.1,.490,10.4,29.0,.361,32.2,58.1,.555,17.7,21.9,.809,8.5,34.0,42.5,24.5,7.9,4.5,13.4,19.0,113.5,2022-2023
25,Miami Heat,82,19805,40.5,88.0,.460,12.3,35.9,.344,28.1,52.1,.540,19.7,23.7,.831,10.0,31.9,41.9,24.6,8.2,3.1,13.9,19.1,113.0,2022-2023
26,Orlando Magic,82,19780,40.6,86.4,.470,10.8,31.2,.346,29.8,55.3,.539,19.6,25.0,.784,10.2,33.1,43.3,23.3,7.4,4.7,15.1,20.2,111.6,2022-2023
27,Houston Rockets,82,19755,40.8,89.4,.457,10.5,32.1,.327,30.3,57.3,.530,19.2,25.5,.754,13.5,33.1,46.6,22.5,7.4,4.6,16.3,20.6,111.4,2022-2023
28,Detroit Pistons,82,19805,39.7,87.4,.454,11.4,32.5,.351,28.3,54.8,.516,19.9,25.8,.771,11.2,31.4,42.6,23.1,7.0,3.8,15.1,22.2,110.7,2022-2023
29,San Antonio Spurs,82,19855,42.0,90.3,.465,10.8,31.4,.345,31.2,58.9,.529,15.4,20.7,.743,11.5,31.1,42.6,26.5,6.8,3.8,14.9,19.4,110.2,2022-2023
30,Charlotte Hornets,82,19830,40.6,89.0,.457,10.6,32.0,.330,30.1,56.9,.528,17.4,23.2,.749,10.8,33.0,43.8,24.7,7.6,5.1,14.0,19.9,109.2,2022-2023
1,Boston Celtics,82,19830,44.9,92.1,.487,16.8,43.4,.388,28.0,48.8,.575,16.6,20.6,.807,10.9,36.4,47.3,27.5,6.9,6.7,12.2,16.5,123.2,2023-2024
2,Indiana Pacers,82,19705,46.1,91.0,.507,13.0,34.6,.374,33.2,56.4,.589,15.8,20.2,.782,9.9,30.9,40.8,30.2,7.6,5.8,12.7,21.0,121.0,2023-2024
3,Oklahoma City Thunder,82,19805,44.3,88.9,.499,13.2,34.0,.389,31.1,54.9,.567,17.6,21.4,.825,8.8,33.1,41.8,27.0,8.4,6.5,12.6,18.8,119.5,2023-2024
4,Los Angeles Clippers,82,19705,43.5,89.0,.489,13.0,34.1,.381,30.5,55.0,.555,18.8,22.8,.825,10.3,33.8,44.1,26.3,8.0,5.2,13.5,19.0,118.8,2023-2024
5,Denver Nuggets,82,19705,45.4,91.5,.496,12.0,32.2,.374,33.4,59.4,.562,15.6,20.5,.762,11.1,34.8,45.8,30.4,7.4,5.7,13.0,18.7,118.5,2023-2024
6,Milwaukee Bucks,82,19805,42.9,88.1,.487,14.1,37.9,.373,28.8,50.2,.574,18.4,23.8,.774,9.4,34.6,43.9,26.4,6.8,5.0,12.8,19.1,118.4,2023-2024
7,New York Knicks,82,19730,43.3,92.9,.465,13.8,37.5,.369,29.4,55.4,.531,17.8,22.9,.780,13.3,34.1,47.3,25.5,7.8,4.3,13.9,18.5,118.2,2023-2024
8,Golden State Warriors,82,19830,43.7,91.7,.477,14.8,38.9,.380,28.9,52.8,.548,15.6,20.1,.780,12.2,34.6,46.7,29.3,7.0,4.6,14.3,19.5,117.8,2023-2024
9,Dallas Mavericks,82,19705,43.0,89.5,.481,14.6,39.5,.369,28.5,50.0,.569,17.0,22.4,.758,9.7,33.2,42.9,25.6,6.9,4.9,12.5,18.3,117.6,2023-2024
10,Phoenix Suns,82,19780,43.0,87.2,.493,12.6,33.0,.382,30.4,54.2,.561,19.1,23.6,.808,10.3,34.3,44.6,27.4,7.5,6.1,15.1,18.2,117.6,2023-2024
11,New Orleans Pelicans,82,19705,43.3,89.1,.486,12.7,33.3,.383,30.6,55.9,.548,18.0,23.3,.771,10.6,34.2,44.8,27.5,8.5,4.7,13.3,18.8,117.4,2023-2024
12,Atlanta Hawks,82,19855,42.6,91.6,.465,13.6,37.3,.364,29.0,54.3,.535,18.4,23.0,.797,12.4,31.9,44.2,26.3,7.4,4.5,13.4,18.4,117.2,2023-2024
13,Sacramento Kings,82,19855,43.5,91.2,.477,14.4,39.4,.366,29.0,51.8,.561,15.6,20.9,.745,10.9,33.3,44.1,28.4,7.6,4.2,13.2,20.0,116.9,2023-2024
14,Philadelphia 76ers,82,19780,42.3,91.2,.464,12.3,34.0,.363,30.0,57.2,.525,19.9,24.1,.826,11.3,32.5,43.8,25.4,8.6,6.1,12.2,20.7,116.9,2023-2024
15,Los Angeles Lakers,82,19855,42.9,86.0,.499,11.6,30.8,.377,31.3,55.2,.567,18.6,23.8,.782,8.1,34.2,42.3,28.0,7.2,5.4,13.7,15.4,115.9,2023-2024
16,Minnesota Timberwolves,82,19805,42.2,87.0,.485,12.9,33.5,.387,29.3,53.6,.546,18.2,23.5,.777,9.6,35.0,44.6,27.3,8.1,6.2,14.5,19.3,115.6,2023-2024
17,Utah Jazz,82,19805,41.9,89.8,.467,12.9,36.5,.354,29.0,53.3,.544,18.7,22.6,.830,12.2,33.2,45.4,27.2,6.5,5.6,15.7,18.6,115.5,2023-2024
18,Cleveland Cavaliers,82,19805,42.7,89.2,.479,13.8,37.6,.367,28.9,51.5,.561,15.9,20.8,.765,10.1,34.2,44.3,28.7,7.5,4.7,13.9,17.9,115.2,2023-2024
19,Chicago Bulls,82,19980,43.0,91.6,.470,11.7,32.8,.358,31.3,58.7,.532,17.1,21.6,.791,11.4,33.4,44.8,25.6,8.0,4.9,12.5,19.2,114.9,2023-2024
20,Houston Rockets,82,19855,41.8,91.1,.459,12.7,36.2,.352,29.1,54.9,.530,18.1,23.4,.773,11.5,34.0,45.5,24.9,7.8,4.6,12.8,20.8,114.5,2023-2024
21,Miami Heat,82,19755,41.2,88.7,.465,12.9,34.9,.370,28.3,53.8,.527,18.7,22.8,.818,9.7,34.1,43.8,26.7,7.8,3.5,13.1,17.9,114.0,2023-2024
22,Orlando Magic,82,19780,41.5,87.2,.476,11.3,32.1,.352,30.2,55.0,.549,19.0,25.1,.759,10.8,32.6,43.4,25.3,8.4,5.3,15.1,20.3,113.4,2023-2024
23,Brooklyn Nets,82,19805,41.7,91.4,.456,13.6,37.6,.362,28.1,53.7,.522,16.2,21.4,.756,11.7,33.4,45.2,26.3,7.0,5.3,13.5,19.0,113.2,2023-2024
24,Toronto Raptors,82,19805,42.3,89.7,.471,11.5,33.1,.347,30.8,56.6,.543,16.3,21.6,.756,10.9,31.8,42.6,28.5,7.7,4.7,14.0,18.4,112.3,2023-2024
25,Washington Wizards,82,19730,41.7,88.8,.470,12.0,34.5,.348,29.7,54.2,.548,15.0,19.6,.764,8.9,31.0,39.9,27.1,7.4,4.9,13.6,19.4,110.5,2023-2024
26,San Antonio Spurs,82,19830,41.2,89.0,.462,12.4,35.7,.347,28.8,53.3,.539,15.3,19.6,.782,10.2,33.3,43.4,29.3,7.0,6.2,14.9,16.9,110.0,2023-2024
27,Detroit Pistons,82,19755,40.8,88.1,.463,11.0,31.7,.348,29.8,56.4,.528,17.0,21.7,.785,10.5,32.8,43.3,25.4,6.5,4.7,15.2,20.6,109.7,2023-2024
28,Charlotte Hornets,82,19730,41.0,89.2,.460,12.4,34.9,.355,28.7,54.3,.528,14.9,18.9,.786,9.6,31.7,41.3,25.4,7.0,4.6,14.1,18.4,109.3,2023-2024
29,Portland Trail Blazers,82,19880,40.1,91.3,.439,11.7,33.8,.345,28.4,57.5,.494,16.5,20.9,.791,12.9,30.7,43.5,23.5,7.8,4.4,15.5,20.5,108.3,2023-2024
30,Memphis Grizzlies,82,19780,38.9,89.3,.435,13.2,38.3,.346,25.6,51.1,.502,16.3,21.3,.764,11.1,32.1,43.2,25.0,8.3,6.2,15.3,19.3,107.2,2023-2024
