Eastern Conference,W,L,W/L%,GB,PS/G,PA/G,SRS,Year
Milwaukee Bucks,56,17,0.767,0.0,118.7,108.6,9.41,2020
Toronto Raptors,53,19,0.736,2.5,112.8,106.5,5.97,2020
Boston Celtics,48,24,0.667,7.5,113.7,107.3,5.83,2020
Indiana Pacers,45,28,0.616,11.0,109.4,107.5,1.63,2020
Miami Heat,44,29,0.603,12.0,112.0,109.1,2.59,2020
Philadelphia 76ers,43,30,0.589,13.0,110.7,108.4,2.25,2020
Brooklyn Nets,35,37,0.486,20.5,111.8,112.3,-1.01,2020
Orlando Magic,33,40,0.452,23.0,107.3,108.3,-0.93,2020
Charlotte Hornets,23,42,0.354,29.0,102.9,109.6,-7.03,2020
Washington Wizards,25,47,0.347,30.5,114.4,119.1,-5.24,2020
Chicago Bulls,22,43,0.338,30.0,106.8,109.9,-4.0,2020
New York Knicks,21,45,0.318,31.5,105.8,112.3,-6.72,2020
Detroit Pistons,20,46,0.303,32.5,107.2,110.8,-4.38,2020
Atlanta Hawks,20,47,0.299,33.0,111.8,119.7,-7.71,2020
Cleveland Cavaliers,19,46,0.292,33.0,106.9,114.8,-7.77,2020
Philadelphia 76ers,49,23,0.681,0.0,113.6,108.1,5.28,2021
Brooklyn Nets,48,24,0.667,1.0,118.6,114.1,4.24,2021
Milwaukee Bucks,46,26,0.639,3.0,120.1,114.2,5.57,2021
New York Knicks,41,31,0.569,8.0,107.0,104.7,2.13,2021
Atlanta Hawks,41,31,0.569,8.0,113.7,111.4,2.14,2021
Miami Heat,40,32,0.556,9.0,108.1,108.0,-0.06,2021
Boston Celtics,36,36,0.5,13.0,112.6,111.2,1.32,2021
Washington Wizards,34,38,0.472,15.0,116.6,118.5,-1.85,2021
Indiana Pacers,34,38,0.472,15.0,115.3,115.3,-0.13,2021
Charlotte Hornets,33,39,0.458,16.0,109.5,111.4,-1.94,2021
Chicago Bulls,31,41,0.431,18.0,110.7,111.6,-0.94,2021
Toronto Raptors,27,45,0.375,22.0,111.3,111.7,-0.54,2021
Cleveland Cavaliers,22,50,0.306,27.0,103.8,112.3,-8.19,2021
Orlando Magic,21,51,0.292,28.0,104.0,113.3,-9.02,2021
Detroit Pistons,20,52,0.278,29.0,106.6,111.1,-4.38,2021
Miami Heat,53,29,0.646,0.0,110.0,105.6,4.23,2022
Boston Celtics,51,31,0.622,2.0,111.8,104.5,7.02,2022
Milwaukee Bucks,51,31,0.622,2.0,115.5,112.1,3.22,2022
Philadelphia 76ers,51,31,0.622,2.0,109.9,107.3,2.57,2022
Toronto Raptors,48,34,0.585,5.0,109.4,107.1,2.38,2022
Chicago Bulls,46,36,0.561,7.0,111.6,112.0,-0.38,2022
Brooklyn Nets,44,38,0.537,9.0,112.9,112.1,0.82,2022
Cleveland Cavaliers,44,38,0.537,9.0,107.8,105.7,2.04,2022
Atlanta Hawks,43,39,0.524,10.0,113.9,112.4,1.55,2022
Charlotte Hornets,43,39,0.524,10.0,115.3,114.9,0.53,2022
New York Knicks,37,45,0.451,16.0,106.5,106.6,-0.01,2022
Washington Wizards,35,47,0.427,18.0,108.6,112.0,-3.23,2022
Indiana Pacers,25,57,0.305,28.0,111.5,114.9,-3.26,2022
Detroit Pistons,23,59,0.28,30.0,104.8,112.5,-7.36,2022
Orlando Magic,22,60,0.268,31.0,104.2,112.2,-7.67,2022
Milwaukee Bucks,58,24,0.707,0.0,116.9,113.3,3.61,2023
Boston Celtics,57,25,0.695,1.0,117.9,111.4,6.38,2023
Philadelphia 76ers,54,28,0.659,4.0,115.2,110.9,4.37,2023
Cleveland Cavaliers,51,31,0.622,7.0,112.3,106.9,5.23,2023
New York Knicks,47,35,0.573,11.0,116.0,113.1,2.99,2023
Brooklyn Nets,45,37,0.549,13.0,113.4,112.5,1.03,2023
Miami Heat,44,38,0.537,14.0,109.5,109.8,-0.13,2023
Atlanta Hawks,41,41,0.5,17.0,118.4,118.1,0.32,2023
Toronto Raptors,41,41,0.5,17.0,112.9,111.4,1.59,2023
Chicago Bulls,40,42,0.488,18.0,113.1,111.8,1.37,2023
Indiana Pacers,35,47,0.427,23.0,116.3,119.5,-2.91,2023
Washington Wizards,35,47,0.427,23.0,113.2,114.4,-1.06,2023
Orlando Magic,34,48,0.415,24.0,111.4,114.0,-2.39,2023
Charlotte Hornets,27,55,0.329,31.0,111.0,117.2,-5.89,2023
Detroit Pistons,17,65,0.207,41.0,110.3,118.5,-7.73,2023
Boston Celtics,64,18,0.78,0.0,120.6,109.2,10.75,2024
New York Knicks,50,32,0.61,14.0,112.8,108.2,4.36,2024
Milwaukee Bucks,49,33,0.598,15.0,119.0,116.4,2.44,2024
Cleveland Cavaliers,48,34,0.585,16.0,112.6,110.2,1.98,2024
Orlando Magic,47,35,0.573,17.0,110.5,108.4,1.48,2024
Indiana Pacers,47,35,0.573,17.0,123.3,120.2,2.75,2024
Philadelphia 76ers,47,35,0.573,17.0,114.6,111.5,2.51,2024
Miami Heat,46,36,0.561,18.0,110.1,108.4,1.1,2024
Chicago Bulls,39,43,0.476,25.0,112.3,113.7,-1.77,2024
Atlanta Hawks,36,46,0.439,28.0,118.3,120.5,-2.38,2024
Brooklyn Nets,32,50,0.39,32.0,110.4,113.3,-3.02,2024
Toronto Raptors,25,57,0.305,39.0,112.4,118.8,-6.45,2024
Charlotte Hornets,21,61,0.256,43.0,106.6,116.8,-10.12,2024
Washington Wizards,15,67,0.183,49.0,113.7,123.0,-9.29,2024
Detroit Pistons,14,68,0.171,50.0,109.9,119.0,-9.06,2024
