Western Conference,W,L,W/L%,GB,PS/G,PA/G,SRS,Year
Utah Jazz,53,29,0.646,5.0,97.1,92.4,5.0,2001
Dallas Mavericks,53,29,0.646,5.0,100.5,96.2,4.61,2001
Minnesota Timberwolves,47,35,0.573,11.0,97.3,96.0,1.81,2001
Houston Rockets,45,37,0.549,13.0,97.2,94.9,2.71,2001
Denver Nuggets,40,42,0.488,18.0,96.6,99.0,-1.83,2001
Vancouver Grizzlies,23,59,0.28,35.0,91.7,97.5,-4.94,2001
Los Angeles Lakers,56,26,0.683,0.0,100.6,97.2,3.74,2001
Sacramento Kings,55,27,0.671,1.0,101.7,95.9,6.07,2001
Phoenix Suns,51,31,0.622,5.0,94.0,91.8,2.63,2001
Portland Trail Blazers,50,32,0.61,6.0,95.4,91.2,4.52,2001
Seattle SuperSonics,44,38,0.537,12.0,97.3,97.3,0.55,2001
Los Angeles Clippers,31,51,0.378,25.0,92.5,95.3,-2.23,2001
Golden State Warriors,17,65,0.207,39.0,92.5,101.5,-8.11,2001
San Antonio Spurs,58,24,0.707,0.0,96.7,90.5,6.28,2002
Dallas Mavericks,57,25,0.695,1.0,105.2,101.0,4.41,2002
Minnesota Timberwolves,50,32,0.61,8.0,99.3,96.0,3.58,2002
Utah Jazz,44,38,0.537,14.0,96.0,95.1,1.21,2002
Houston Rockets,28,54,0.341,30.0,92.3,97.2,-4.31,2002
Denver Nuggets,27,55,0.329,31.0,92.2,98.0,-5.19,2002
Memphis Grizzlies,23,59,0.28,35.0,89.9,97.3,-6.74,2002
Sacramento Kings,61,21,0.744,0.0,104.6,97.0,7.61,2002
Los Angeles Lakers,58,24,0.707,3.0,101.3,94.1,7.15,2002
Portland Trail Blazers,49,33,0.598,12.0,96.6,93.7,3.21,2002
Seattle SuperSonics,45,37,0.549,16.0,97.7,94.7,3.24,2002
Los Angeles Clippers,39,43,0.476,22.0,95.7,96.1,-0.09,2002
Phoenix Suns,36,46,0.439,25.0,95.1,95.8,-0.3,2002
Golden State Warriors,21,61,0.256,40.0,97.7,103.1,-4.8,2002
San Antonio Spurs,60,22,0.732,0.0,95.8,90.4,5.65,2003
Dallas Mavericks,60,22,0.732,0.0,103.0,95.2,7.9,2003
Minnesota Timberwolves,51,31,0.622,9.0,98.1,96.0,2.46,2003
Utah Jazz,47,35,0.573,13.0,94.7,92.3,2.76,2003
Houston Rockets,43,39,0.524,17.0,93.8,92.3,1.89,2003
Memphis Grizzlies,28,54,0.341,32.0,97.5,100.7,-2.6,2003
Denver Nuggets,17,65,0.207,43.0,84.2,92.4,-7.41,2003
Sacramento Kings,59,23,0.72,0.0,101.7,95.2,6.68,2003
Los Angeles Lakers,50,32,0.61,9.0,100.4,98.0,2.71,2003
Portland Trail Blazers,50,32,0.61,9.0,95.2,92.5,2.97,2003
Phoenix Suns,44,38,0.537,15.0,95.5,94.4,1.57,2003
Seattle SuperSonics,40,42,0.488,19.0,92.1,92.3,0.37,2003
Golden State Warriors,38,44,0.463,21.0,102.4,103.6,-0.6,2003
Los Angeles Clippers,27,55,0.329,32.0,93.8,97.9,-3.45,2003
Minnesota Timberwolves,58,24,0.707,0.0,94.5,89.1,5.86,2004
San Antonio Spurs,57,25,0.695,1.0,91.5,84.3,7.51,2004
Dallas Mavericks,52,30,0.634,6.0,105.2,100.8,4.86,2004
Memphis Grizzlies,50,32,0.61,8.0,96.7,94.3,2.95,2004
Houston Rockets,45,37,0.549,13.0,89.8,88.0,2.28,2004
Denver Nuggets,43,39,0.524,15.0,97.2,96.1,1.65,2004
Utah Jazz,42,40,0.512,16.0,88.7,89.9,-0.53,2004
Los Angeles Lakers,56,26,0.683,0.0,98.2,94.3,4.35,2004
Sacramento Kings,55,27,0.671,1.0,102.8,97.8,5.41,2004
Portland Trail Blazers,41,41,0.5,15.0,90.7,92.0,-0.58,2004
Golden State Warriors,37,45,0.451,19.0,93.3,94.0,-0.07,2004
Seattle SuperSonics,37,45,0.451,19.0,97.1,97.8,0.02,2004
Phoenix Suns,29,53,0.354,27.0,94.2,97.9,-2.94,2004
Los Angeles Clippers,28,54,0.341,28.0,94.8,99.4,-3.74,2004
Seattle SuperSonics,52,30,0.634,0.0,98.9,96.6,2.59,2005
