Western Conference,W,L,W/L%,GB,PS/G,PA/G,SRS,Year
Oklahoma City Thunder,44,28,0.611,8.5,110.4,108.4,2.33,2020
Utah Jazz,44,28,0.611,8.5,111.3,108.8,2.52,2020
Dallas Mavericks,43,32,0.573,11.0,117.0,112.1,4.87,2020
Portland Trail Blazers,35,39,0.473,18.5,115.0,116.1,-0.61,2020
Memphis Grizzlies,34,39,0.466,19.0,112.6,113.7,-0.91,2020
Phoenix Suns,34,39,0.466,19.0,113.6,113.4,0.56,2020
San Antonio Spurs,32,39,0.451,20.0,114.1,115.2,-0.65,2020
Sacramento Kings,31,41,0.431,21.5,110.1,112.1,-1.59,2020
New Orleans Pelicans,30,42,0.417,22.5,115.8,117.1,-0.55,2020
Minnesota Timberwolves,19,45,0.297,29.5,113.3,117.5,-4.02,2020
Golden State Warriors,15,50,0.231,34.0,106.3,115.0,-8.12,2020
Utah Jazz,52,20,0.722,0.0,116.4,107.2,8.97,2021
Phoenix Suns,51,21,0.708,1.0,115.3,109.5,5.67,2021
Denver Nuggets,47,25,0.653,5.0,115.1,110.1,4.82,2021
Los Angeles Clippers,47,25,0.653,5.0,114.0,107.8,6.02,2021
Dallas Mavericks,42,30,0.583,10.0,112.4,110.2,2.26,2021
Portland Trail Blazers,42,30,0.583,10.0,116.1,114.3,1.81,2021
Los Angeles Lakers,42,30,0.583,10.0,109.5,106.8,2.77,2021
Golden State Warriors,39,33,0.542,13.0,113.7,112.7,1.1,2021
Memphis Grizzlies,38,34,0.528,14.0,113.3,112.3,1.07,2021
San Antonio Spurs,33,39,0.458,19.0,111.1,112.8,-1.58,2021
New Orleans Pelicans,31,41,0.431,21.0,114.6,114.9,-0.2,2021
Sacramento Kings,31,41,0.431,21.0,113.7,117.4,-3.45,2021
Minnesota Timberwolves,23,49,0.319,29.0,112.1,117.7,-5.25,2021
Oklahoma City Thunder,22,50,0.306,30.0,105.0,115.6,-10.13,2021
Houston Rockets,17,55,0.236,35.0,108.8,116.7,-7.5,2021
Phoenix Suns,64,18,0.78,0.0,114.8,107.3,6.94,2022
Memphis Grizzlies,56,26,0.683,8.0,115.6,109.9,5.37,2022
Golden State Warriors,53,29,0.646,11.0,111.0,105.5,5.52,2022
Dallas Mavericks,52,30,0.634,12.0,108.0,104.7,3.12,2022
Utah Jazz,49,33,0.598,15.0,113.6,107.6,5.67,2022
Denver Nuggets,48,34,0.585,16.0,112.7,110.4,2.16,2022
Minnesota Timberwolves,46,36,0.561,18.0,115.9,113.3,2.53,2022
Los Angeles Clippers,42,40,0.512,22.0,108.4,108.4,0.09,2022
New Orleans Pelicans,36,46,0.439,28.0,109.3,110.3,-0.84,2022
San Antonio Spurs,34,48,0.415,30.0,113.2,113.0,0.02,2022
Los Angeles Lakers,33,49,0.402,31.0,112.1,115.1,-3.08,2022
Sacramento Kings,30,52,0.366,34.0,110.3,115.8,-5.26,2022
Portland Trail Blazers,27,55,0.329,37.0,106.2,115.1,-8.55,2022
Oklahoma City Thunder,24,58,0.293,40.0,103.7,111.8,-7.9,2022
Houston Rockets,20,62,0.244,44.0,109.7,118.2,-8.26,2022
Denver Nuggets,53,29,0.646,0.0,115.8,112.5,3.04,2023
Memphis Grizzlies,51,31,0.622,2.0,116.9,113.0,3.6,2023
Sacramento Kings,48,34,0.585,5.0,120.7,118.1,2.3,2023
Phoenix Suns,45,37,0.549,8.0,113.6,111.6,2.08,2023
Los Angeles Clippers,44,38,0.537,9.0,113.6,113.1,0.31,2023
Golden State Warriors,44,38,0.537,9.0,118.9,117.1,1.66,2023
Los Angeles Lakers,43,39,0.524,10.0,117.2,116.6,0.43,2023
Minnesota Timberwolves,42,40,0.512,11.0,115.8,115.8,-0.22,2023
New Orleans Pelicans,42,40,0.512,11.0,114.4,112.5,1.63,2023
Oklahoma City Thunder,40,42,0.488,13.0,117.5,116.4,0.96,2023
Dallas Mavericks,38,44,0.463,15.0,114.2,114.1,-0.14,2023
Utah Jazz,37,45,0.451,16.0,117.1,118.0,-1.03,2023
Portland Trail Blazers,33,49,0.402,20.0,113.4,117.4,-3.96,2023
Houston Rockets,22,60,0.268,31.0,110.7,118.6,-7.62,2023
San Antonio Spurs,22,60,0.268,31.0,113.0,123.1,-9.82,2023
Oklahoma City Thunder,57,25,0.695,0.0,120.1,112.7,7.36,2024
Denver Nuggets,57,25,0.695,0.0,114.9,109.6,5.23,2024
Minnesota Timberwolves,56,26,0.683,1.0,113.0,106.5,6.39,2024
Los Angeles Clippers,51,31,0.622,6.0,115.6,112.3,3.41,2024
Dallas Mavericks,50,32,0.61,7.0,117.9,115.6,2.3,2024
Phoenix Suns,49,33,0.598,8.0,116.2,113.2,3.08,2024
New Orleans Pelicans,49,33,0.598,8.0,115.1,110.7,4.46,2024
Los Angeles Lakers,47,35,0.573,10.0,118.0,117.4,1.07,2024
Sacramento Kings,46,36,0.561,11.0,116.6,114.8,2.29,2024
Golden State Warriors,46,36,0.561,11.0,117.8,115.2,2.77,2024
Houston Rockets,41,41,0.5,16.0,114.3,113.2,1.24,2024
Utah Jazz,31,51,0.378,26.0,115.7,120.5,-4.22,2024
Memphis Grizzlies,27,55,0.329,30.0,105.8,112.8,-6.57,2024
San Antonio Spurs,22,60,0.268,35.0,112.1,118.6,-5.8,2024
Portland Trail Blazers,21,61,0.256,36.0,106.4,115.4,-8.29,2024
