Season,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Name
2016-17,23,2TM,NBA,SF,75,10,1228,186,439,.424,58,194,.299,128,245,.522,.490,102,129,.791,69,176,245,66,41,23,66,109,Justin Anderson
2016-17,23,DAL,NBA,SF,51,2,710,111,277,.401,37,122,.303,74,155,.477,.468,70,88,.795,39,110,149,32,28,16,40,64,Justin Anderson
2016-17,23,PHI,NBA,SF,24,8,518,75,162,.463,21,72,.292,54,90,.600,.528,32,41,.780,30,66,96,34,13,7,26,45,Justin Anderson
2017-18,24,PHI,NBA,SF,38,0,519,87,202,.431,34,103,.330,53,99,.535,.515,28,38,.737,25,68,93,25,15,7,16,54,Justin Anderson
2018-19,25,ATL,NBA,SF,48,4,463,64,157,.408,24,77,.312,40,80,.500,.484,26,35,.743,24,60,84,23,22,13,23,48,Justin Anderson
2019-20,26,BRK,NBA,SG,10,1,107,10,38,.263,6,29,.207,4,9,.444,.342,2,4,.500,1,20,21,8,0,6,4,13,Justin Anderson
2021-22,28,2TM,NBA,SF,16,6,316,36,95,.379,15,59,.254,21,36,.583,.458,15,19,.789,4,42,46,33,8,6,8,22,Justin Anderson
2021-22,28,CLE,NBA,SF,3,0,47,4,8,.500,2,6,.333,2,2,1.000,.625,3,4,.750,0,6,6,6,1,0,2,4,Justin Anderson
2021-22,28,IND,NBA,SF,13,6,269,32,87,.368,13,53,.245,19,34,.559,.443,12,15,.800,4,36,40,27,7,6,6,18,Justin Anderson
2014-15,21,SAS,NBA,SF,33,8,358,31,89,.348,3,11,.273,28,78,.359,.365,9,14,.643,5,67,72,28,15,7,10,28,Kyle Anderson
2015-16,22,SAS,NBA,SF,78,11,1245,138,295,.468,12,37,.324,126,258,.488,.488,62,83,.747,25,219,244,123,60,29,59,97,Kyle Anderson
2016-17,23,SAS,NBA,SF,72,14,1020,93,209,.445,15,40,.375,78,169,.462,.481,45,57,.789,33,175,208,91,51,26,39,63,Kyle Anderson
2017-18,24,SAS,NBA,SF,74,67,1978,231,438,.527,19,57,.333,212,381,.556,.549,104,146,.712,84,312,396,202,115,60,94,114,Kyle Anderson
2018-19,25,MEM,NBA,SF,43,40,1281,150,276,.543,9,34,.265,141,242,.583,.560,37,64,.578,48,203,251,128,54,37,58,112,Kyle Anderson
2019-20,26,MEM,NBA,SF,67,28,1330,157,331,.474,24,85,.282,133,246,.541,.511,52,78,.667,58,227,285,162,54,37,66,111,Kyle Anderson
2020-21,27,MEM,NBA,PF,69,69,1887,308,658,.468,94,261,.360,214,397,.539,.540,144,184,.783,52,344,396,250,84,57,86,120,Kyle Anderson
2021-22,28,MEM,NBA,PF,69,11,1484,209,469,.446,36,109,.330,173,360,.481,.484,67,105,.638,69,299,368,183,77,45,71,108,Kyle Anderson
2022-23,29,MIN,NBA,PF,69,46,1957,252,495,.509,43,105,.410,209,390,.536,.553,100,136,.735,66,302,368,335,78,63,103,146,Kyle Anderson
2023-24,30,MIN,NBA,PF,79,10,1782,199,433,.460,11,48,.229,188,385,.488,.472,97,137,.708,60,213,273,331,71,47,91,128,Kyle Anderson
2024-25,31,GSW,NBA,PF,26,2,378,51,123,.415,15,42,.357,36,81,.444,.476,13,20,.650,16,62,78,58,20,12,13,28,Kyle Anderson
2013-14,19,MIL,NBA,SF,77,23,1897,173,418,.414,41,118,.347,132,300,.440,.463,138,202,.683,78,261,339,150,60,61,122,173,Giannis Antetokounmpo
2014-15,20,MIL,NBA,SG,81,71,2541,383,780,.491,7,44,.159,376,736,.511,.496,257,347,.741,100,442,542,207,73,85,173,254,Giannis Antetokounmpo
2015-16,21,MIL,NBA,PG,80,79,2823,513,1013,.506,28,109,.257,485,904,.537,.520,296,409,.724,113,499,612,345,94,113,208,258,Giannis Antetokounmpo
2016-17,22,MIL,NBA,SF,80,80,2845,656,1259,.521,49,180,.272,607,1079,.563,.541,471,612,.770,142,558,700,434,131,151,234,246,Giannis Antetokounmpo
2017-18,23,MIL,NBA,PF,75,75,2756,742,1402,.529,43,140,.307,699,1262,.554,.545,487,641,.760,156,597,753,361,109,106,223,231,Giannis Antetokounmpo
2018-19,24,MIL,NBA,PF,72,72,2358,721,1247,.578,52,203,.256,669,1044,.641,.599,500,686,.729,159,739,898,424,92,110,268,232,Giannis Antetokounmpo
2019-20,25,MIL,NBA,PF,63,63,1917,685,1238,.553,89,293,.304,596,945,.631,.589,398,629,.633,140,716,856,354,61,66,230,195,Giannis Antetokounmpo
2020-21,26,MIL,NBA,PF,61,61,2013,626,1100,.569,67,221,.303,559,879,.636,.600,398,581,.685,97,574,671,357,72,73,207,168,Giannis Antetokounmpo
2021-22,27,MIL,NBA,PF,67,67,2204,689,1245,.553,71,242,.293,618,1003,.616,.582,553,766,.722,134,644,778,388,72,91,219,212,Giannis Antetokounmpo
2022-23,28,MIL,NBA,PF,63,63,2024,707,1278,.553,47,171,.275,660,1107,.596,.572,498,772,.645,137,605,742,359,52,51,246,197,Giannis Antetokounmpo
2023-24,29,MIL,NBA,PF,73,73,2567,837,1369,.611,34,124,.274,803,1245,.645,.624,514,782,.657,196,645,841,476,87,79,250,210,Giannis Antetokounmpo
2024-25,30,MIL,NBA,PF,24,24,840,307,501,.613,4,18,.222,303,483,.627,.617,167,272,.614,48,230,278,144,17,36,82,56,Giannis Antetokounmpo
2018-19,21,DAL,NBA,PF,2,0,11,0,3,.000,0,0,0,3,.000,.000,2,4,.500,0,1,1,0,2,0,1,0,2,Kostas Antetokounmpo
2019-20,22,LAL,NBA,PF,5,0,20,3,3,1.000,0,0,3,3,1.000,1.000,1,2,.500,2,1,3,2,0,0,1,2,7,Kostas Antetokounmpo
2020-21,23,LAL,NBA,PF,15,0,56,3,10,.300,0,0,3,10,.300,.300,6,13,.462,4,15,19,1,2,4,11,8,12,Kostas Antetokounmpo
2015-16,23,NYK,NBA,SF,2,0,6,3,4,.750,0,1,.000,3,3,1.000,.750,0,0,,0,1,1,0,0,0,0,2,Thanasis Antetokounmpo
2019-20,27,MIL,NBA,SF,20,2,129,24,48,.500,0,10,.000,24,38,.632,.500,7,17,.412,12,12,24,15,7,2,12,18,Thanasis Antetokounmpo
2020-21,28,MIL,NBA,SF,57,3,551,67,137,.489,7,29,.241,60,108,.556,.515,25,49,.510,54,70,124,46,22,10,43,74,Thanasis Antetokounmpo
2021-22,29,MIL,NBA,SF,48,6,473,70,128,.547,2,14,.143,68,114,.596,.555,29,46,.630,40,61,101,22,16,12,26,68,Thanasis Antetokounmpo
2022-23,30,MIL,NBA,PF,37,0,206,20,46,.435,0,8,.000,20,38,.526,.435,11,22,.500,15,29,44,15,3,3,12,22,Thanasis Antetokounmpo
2023-24,31,MIL,NBA,PF,34,0,155,16,30,.533,0,1,.000,16,29,.552,.533,0,2,.000,7,6,13,17,7,4,14,24,Thanasis Antetokounmpo
2020-21,20,ORL,NBA,PG,47,34,1273,219,552,.397,58,172,.337,161,380,.424,.449,109,131,.832,38,183,221,192,30,18,106,98,Cole Anthony
2021-22,21,ORL,NBA,PG,65,65,2059,357,912,.391,132,391,.338,225,521,.432,.464,216,253,.854,32,316,348,369,46,17,170,171,Cole Anthony
2022-23,22,ORL,NBA,PG,60,4,1552,277,610,.454,75,206,.364,202,404,.500,.516,152,170,.894,47,241,288,235,37,31,91,158,Cole Anthony
2023-24,23,ORL,NBA,PG,81,0,1817,332,763,.435,93,275,.338,239,488,.490,.496,180,218,.826,64,247,311,236,64,37,126,175,Cole Anthony
2024-25,24,ORL,NBA,PG,30,0,350,65,164,.396,20,67,.299,45,97,.464,.457,32,41,.780,11,55,66,67,11,5,45,47,Cole Anthony
2017-18,20,TOR,NBA,SF,74,62,1481,163,346,.471,73,197,.371,90,149,.604,.577,39,62,.629,44,140,184,55,52,14,45,130,OG Anunoby
2018-19,21,TOR,NBA,SF,67,6,1352,183,404,.453,67,202,.332,116,202,.574,.536,36,62,.581,58,139,197,47,46,22,55,140,OG Anunoby
2019-20,22,TOR,NBA,SF,69,68,2066,286,566,.505,89,228,.390,197,338,.583,.584,72,102,.706,80,284,364,108,96,45,79,167,OG Anunoby
2020-21,23,TOR,NBA,SF,43,43,1433,249,519,.480,104,261,.398,145,258,.562,.580,80,102,.784,54,183,237,94,66,32,75,114,OG Anunoby
2021-22,24,TOR,NBA,SF,48,48,1728,309,697,.443,115,317,.363,194,380,.511,.526,89,118,.754,74,190,264,125,71,25,80,131,OG Anunoby
2022-23,25,TOR,NBA,SF,67,67,2386,421,885,.476,142,367,.387,279,518,.539,.556,140,167,.838,95,237,332,131,128,50,132,200,OG Anunoby
2023-24,26,2TM,NBA,SF,50,50,1702,282,577,.489,102,267,.382,180,310,.581,.577,67,89,.753,47,161,208,107,68,36,81,119,OG Anunoby
2023-24,26,TOR,NBA,SF,27,27,900,157,321,.489,61,163,.374,96,158,.608,.584,33,46,.717,24,82,106,72,28,13,43,62,OG Anunoby
2023-24,26,NYK,NBA,SF,23,23,802,125,256,.488,41,104,.394,84,152,.553,.568,34,43,.791,23,79,102,35,40,23,38,57,OG Anunoby
2024-25,27,NYK,NBA,PF,31,31,1122,195,407,.479,65,183,.355,130,224,.580,.559,58,73,.795,37,119,156,63,47,31,42,78,OG Anunoby
2017-18,23,CHI,NBA,PG,24,0,304,17,41,.415,9,31,.290,8,10,.800,.524,5,6,.833,1,24,25,35,13,0,13,18,Ryan Arcidiacono
2018-19,24,CHI,NBA,PG,81,32,1961,187,418,.447,81,217,.373,106,201,.527,.544,89,102,.873,27,192,219,269,65,4,63,171,Ryan Arcidiacono
2019-20,25,CHI,NBA,PG,58,4,930,90,220,.409,54,138,.391,36,82,.439,.532,27,38,.711,20,90,110,96,27,3,37,96,Ryan Arcidiacono
2020-21,26,CHI,NBA,PG,44,0,450,49,117,.419,25,67,.373,24,50,.480,.526,13,20,.650,5,62,67,56,9,0,10,47,Ryan Arcidiacono
2021-22,27,NYK,NBA,PG,10,0,76,6,12,.500,4,9,.444,2,3,.667,.667,0,0,,0,8,8,4,1,0,3,5,Ryan Arcidiacono
2022-23,28,2TM,NBA,PG,20,4,172,9,37,.243,8,23,.348,1,14,.071,.351,0,0,,0,15,15,23,5,0,7,17,Ryan Arcidiacono
2022-23,28,NYK,NBA,PG,11,0,26,1,5,.200,1,3,.333,0,2,.000,.300,0,0,,0,4,4,2,2,0,1,3,Ryan Arcidiacono
2022-23,28,POR,NBA,PG,9,4,146,8,32,.250,7,20,.350,1,12,.083,.359,0,0,,0,11,11,21,3,0,6,14,Ryan Arcidiacono
2023-24,29,NYK,NBA,PG,20,0,45,0,6,.000,0,6,.000,0,0,,.000,0,0,,0,8,8,4,2,0,2,5,Ryan Arcidiacono
2020-21,20,WAS,NBA,SF,54,32,1257,130,312,.417,53,168,.315,77,144,.535,.502,29,45,.644,22,240,262,63,32,15,33,140,Deni Avdija
2021-22,21,WAS,NBA,SF,82,8,1984,250,579,.432,82,259,.317,168,320,.525,.503,103,136,.757,52,373,425,167,59,44,87,190,Deni Avdija
2022-23,22,WAS,NBA,SF,76,40,2020,253,579,.437,69,232,.297,184,347,.530,.497,122,165,.739,74,413,487,211,65,29,123,209,Deni Avdija
2023-24,23,WAS,NBA,SF,75,75,2257,406,803,.506,88,235,.374,318,568,.560,.560,202,273,.740,84,456,540,286,60,36,160,185,Deni Avdija
2024-25,24,POR,NBA,SF,30,12,794,128,287,.446,44,121,.364,84,166,.506,.523,91,117,.778,39,135,174,95,28,22,62,65,Deni Avdija
2021-22,21,WAS,NBA,SG,7,0,20,1,6,.167,0,1,.000,1,5,.200,.167,0,0,1,2,3,4,0,0,0,0,2,Joel Ayayi
2018-19,20,PHO,NBA,C,71,70,2183,509,870,.585,0,4,.000,509,866,.588,.585,141,189,.746,223,506,729,125,61,67,126,209,Deandre Ayton
2019-20,21,PHO,NBA,C,38,32,1236,310,568,.546,3,13,.231,307,555,.553,.548,67,89,.753,147,289,436,72,26,58,80,117,Deandre Ayton
2020-21,22,PHO,NBA,C,69,69,2115,430,687,.626,4,20,.200,426,667,.639,.629,133,173,.769,228,499,727,99,41,81,103,196,Deandre Ayton
2021-22,23,PHO,NBA,C,58,58,1713,442,697,.634,7,19,.368,435,678,.642,.639,106,142,.746,149,444,593,84,40,40,91,142,Deandre Ayton
2022-23,24,PHO,NBA,C,67,67,2035,522,887,.589,7,24,.292,515,863,.597,.592,152,200,.760,172,495,667,115,37,53,120,190,Deandre Ayton
2023-24,25,POR,NBA,C,55,55,1784,427,749,.570,1,10,.100,426,739,.576,.571,65,79,.823,176,433,609,90,56,42,99,109,Deandre Ayton
2024-25,26,POR,NBA,C,21,21,637,142,254,.559,6,23,.261,136,231,.589,.571,15,24,.625,62,150,212,29,19,19,34,49,Deandre Ayton
2020-21,21,UTA,NBA,C,15,0,57,4,9,.444,0,0,4,9,.444,.444,8,10,.800,4,9,13,0,1,4,3,9,16,Udoka Azubuike
2021-22,22,UTA,NBA,C,17,6,195,37,49,.755,0,0,37,49,.755,.755,6,11,.545,18,53,71,0,1,11,12,25,80,Udoka Azubuike
2022-23,23,UTA,NBA,C,36,4,359,59,72,.819,0,0,59,72,.819,.819,7,20,.350,31,88,119,11,6,15,18,34,125,Udoka Azubuike
2023-24,24,PHO,NBA,C,16,0,113,16,23,.696,0,0,16,23,.696,.696,3,13,.231,11,21,32,3,1,6,4,17,35,Udoka Azubuike
2023-24,21,POR,NBA,C,22,1,226,14,22,.636,0,0,14,22,.636,.636,6,12,.500,20,31,51,13,3,20,15,46,34,Ibou Badji
2018-19,19,SAC,NBA,PF,62,4,1567,356,706,.504,30,96,.313,326,610,.534,.525,181,262,.691,162,309,471,62,33,59,98,120,Marvin Bagley III
2019-20,20,SAC,NBA,C,13,6,334,78,167,.467,4,22,.182,74,145,.510,.479,25,31,.806,29,68,97,10,6,12,18,43,Marvin Bagley III
2020-21,21,SAC,NBA,PF,43,42,1112,247,490,.504,37,108,.343,210,382,.550,.542,77,134,.575,106,212,318,43,21,21,59,100,Marvin Bagley III
2021-22,22,2TM,NBA,PF,48,25,1153,225,446,.504,23,97,.237,202,349,.579,.530,67,101,.663,105,233,338,36,22,18,39,93,Marvin Bagley III
2021-22,22,SAC,NBA,PF,30,17,663,114,246,.463,15,62,.242,99,184,.538,.494,35,47,.745,67,148,215,17,9,11,21,50,Marvin Bagley III
2021-22,22,DET,NBA,PF,18,8,490,111,200,.555,8,35,.229,103,165,.624,.575,32,54,.593,38,85,123,19,13,7,18,43,Marvin Bagley III
2022-23,23,DET,NBA,C,42,25,990,202,382,.529,19,66,.288,183,316,.579,.554,81,108,.750,94,175,269,36,19,30,46,81,Marvin Bagley III
2023-24,24,2TM,NBA,C,50,25,1053,239,408,.586,9,23,.391,230,385,.597,.597,96,126,.762,130,182,312,55,20,33,59,81,Marvin Bagley III
2023-24,24,DET,NBA,C,26,10,478,107,181,.591,1,6,.167,106,175,.606,.594,50,61,.820,46,72,118,27,5,14,29,40,Marvin Bagley III
2023-24,24,WAS,NBA,C,24,15,575,132,227,.581,8,17,.471,124,210,.590,.599,46,65,.708,84,110,194,28,15,19,30,41,Marvin Bagley III
2024-25,25,WAS,NBA,C,19,1,166,38,71,.535,2,10,.200,36,61,.590,.549,15,23,.652,27,29,56,7,7,5,11,12,Marvin Bagley III
2023-24,19,CHO,NBA,PG,10,0,65,8,24,.333,1,8,.125,7,16,.438,.354,6,7,.857,6,3,9,7,3,0,4,2,Amari Bailey
2022-23,20,GSW,NBA,SF,31,0,226,43,109,.394,32,84,.381,11,25,.440,.541,4,6,.667,1,39,40,11,6,4,11,14,Patrick Baldwin Jr.
2023-24,21,WAS,NBA,SF,38,7,493,59,155,.381,31,97,.320,28,58,.483,.481,19,28,.679,17,106,123,29,18,15,19,56,Patrick Baldwin Jr.
2024-25,22,WAS,NBA,SF,13,0,59,10,20,.500,5,11,.455,5,9,.556,.625,2,4,.500,3,9,12,1,2,2,2,4,Patrick Baldwin Jr.
2020-21,19,CHO,NBA,PG,51,31,1469,293,672,.436,92,261,.352,201,411,.489,.504,125,165,.758,63,239,302,313,81,18,145,136,LaMelo Ball
2021-22,20,CHO,NBA,PG,75,75,2422,538,1254,.429,220,565,.389,318,689,.462,.517,212,243,.872,108,393,501,571,119,30,245,237,LaMelo Ball
2022-23,21,CHO,NBA,PG,36,36,1268,296,721,.411,144,383,.376,152,338,.450,.510,102,122,.836,42,189,231,304,46,11,129,118,LaMelo Ball
2023-24,22,CHO,NBA,PG,22,22,711,183,423,.433,70,197,.355,113,226,.500,.515,90,104,.865,29,84,113,176,40,4,83,79,LaMelo Ball
2024-25,23,CHO,NBA,PG,22,22,742,230,541,.425,99,286,.346,131,255,.514,.517,103,122,.844,19,98,117,163,29,5,90,82,LaMelo Ball
2017-18,20,LAL,NBA,PG,52,50,1780,203,564,.360,90,295,.305,113,269,.420,.440,32,71,.451,69,291,360,376,88,43,136,117,Lonzo Ball
2018-19,21,LAL,NBA,PG,47,45,1423,185,456,.406,75,228,.329,110,228,.482,.488,20,48,.417,54,197,251,255,69,19,103,114,Lonzo Ball
2019-20,22,NOP,NBA,PG,63,54,2025,277,687,.403,148,395,.375,129,292,.442,.511,43,76,.566,71,312,383,438,88,38,193,128,Lonzo Ball
2020-21,23,NOP,NBA,PG,55,55,1747,290,700,.414,172,455,.378,118,245,.482,.537,50,64,.781,33,230,263,316,82,31,123,103,Lonzo Ball
2021-22,24,CHI,NBA,PG,35,35,1212,162,383,.423,110,260,.423,52,123,.423,.567,21,28,.750,35,155,190,178,64,31,82,85,Lonzo Ball
2024-25,27,CHI,NBA,PG,12,0,210,20,64,.313,15,53,.283,5,11,.455,.430,7,7,1.000,4,33,37,43,13,7,12,14,Lonzo Ball
2018-19,20,ORL,NBA,C,47,1,766,117,243,.481,21,70,.300,96,173,.555,.525,37,63,.587,64,169,233,39,13,64,43,102,Mo Bamba
2019-20,21,ORL,NBA,C,62,0,878,132,286,.462,37,107,.346,95,179,.531,.526,31,46,.674,100,202,302,42,23,86,42,116,Mo Bamba
2020-21,22,ORL,NBA,C,46,5,725,142,301,.472,38,118,.322,104,183,.568,.535,45,66,.682,76,189,265,35,14,58,36,87,Mo Bamba
2021-22,23,ORL,NBA,C,71,69,1824,296,617,.480,107,281,.381,189,336,.563,.566,57,73,.781,148,424,572,85,38,118,77,182,Mo Bamba
2022-23,24,2TM,NBA,C,49,7,769,117,241,.485,48,124,.387,69,117,.590,.585,41,62,.661,58,167,225,46,13,43,30,105,Mo Bamba
2022-23,24,ORL,NBA,C,40,6,681,106,214,.495,43,108,.398,63,106,.594,.596,35,51,.686,47,137,184,42,12,38,22,86,Mo Bamba
2022-23,24,LAL,NBA,C,9,1,88,11,27,.407,5,16,.313,6,11,.545,.500,6,11,.545,11,30,41,4,1,5,8,19,Mo Bamba
2023-24,25,PHI,NBA,C,57,17,740,97,198,.490,25,64,.391,72,134,.537,.553,34,50,.680,77,161,238,41,22,60,39,101,Mo Bamba
2024-25,26,LAC,NBA,C,16,0,205,23,58,.397,6,27,.222,17,31,.548,.448,9,13,.692,11,49,60,11,8,19,10,33,Mo Bamba
2022-23,20,ORL,NBA,PF,72,72,2430,479,1122,.427,85,285,.298,394,837,.471,.465,394,534,.738,84,413,497,269,60,39,200,160,Paolo Banchero
2023-24,21,ORL,NBA,PF,80,80,2799,640,1407,.455,119,351,.339,521,1056,.493,.497,405,559,.725,82,472,554,431,71,47,247,153,Paolo Banchero
2024-25,22,ORL,NBA,PF,5,5,182,48,97,.495,11,32,.344,37,65,.569,.552,38,59,.644,12,32,44,28,3,4,11,13,Paolo Banchero
2020-21,22,MEM,NBA,SG,68,17,1519,234,499,.469,117,271,.432,117,228,.513,.586,40,49,.816,31,179,210,118,41,16,59,125,Desmond Bane
2021-22,23,MEM,NBA,SG,76,76,2266,508,1101,.461,228,523,.436,280,578,.484,.565,140,155,.903,46,288,334,208,92,29,111,196,Desmond Bane
2022-23,24,MEM,NBA,SG,58,58,1841,450,939,.479,166,407,.408,284,532,.534,.568,181,205,.883,43,248,291,254,56,22,126,150,Desmond Bane
2023-24,25,MEM,NBA,SG,42,42,1443,360,776,.464,137,360,.381,223,416,.536,.552,140,161,.870,36,149,185,230,43,22,112,120,Desmond Bane
2024-25,26,MEM,NBA,SG,24,23,676,137,296,.463,48,136,.353,89,160,.556,.544,48,56,.857,20,120,140,116,29,11,53,63,Desmond Bane
2021-22,22,TOR,NBA,PG,64,1,696,83,202,.411,13,51,.255,70,151,.464,.443,26,44,.591,38,86,124,99,28,10,53,68,Dalano Banton
2022-23,23,TOR,NBA,PG,31,2,279,55,130,.423,15,51,.294,40,79,.506,.481,17,24,.708,11,34,45,36,13,13,18,34,Dalano Banton
2023-24,24,2TM,NBA,PG,54,9,1047,202,500,.404,59,199,.296,143,301,.475,.463,94,120,.783,41,137,178,127,33,20,77,64,Dalano Banton
2023-24,24,BOS,NBA,PG,24,1,171,19,51,.373,2,16,.125,17,35,.486,.392,16,20,.800,12,23,35,19,5,3,10,20,Dalano Banton
2023-24,24,POR,NBA,PG,30,8,876,183,449,.408,57,183,.311,126,266,.474,.471,78,100,.780,29,114,143,108,28,17,67,44,Dalano Banton
2024-25,25,POR,NBA,PG,25,0,413,85,202,.421,31,87,.356,54,115,.470,.498,37,56,.661,9,47,56,66,22,13,43,27,Dalano Banton
2021-22,27,ATL,NBA,PG,3,0,13,0,4,.000,0,0,0,4,.000,.000,0,4,.000,1,2,3,3,0,0,1,1,0,Cat Barber
2022-23,19,SAS,NBA,PF,28,0,408,46,86,.535,0,4,.000,46,82,.561,.535,18,25,.720,46,56,102,24,10,19,15,56,Dominick Barlow
2023-24,20,SAS,NBA,PF,33,1,420,56,113,.496,3,9,.333,53,104,.510,.509,29,42,.690,45,68,113,36,12,14,9,47,Dominick Barlow
2024-25,21,ATL,NBA,SF,3,0,16,1,2,.500,1,1,1.000,0,1,.000,.750,1,2,.500,0,1,1,0,1,0,0,2,Dominick Barlow
2012-13,20,GSW,NBA,SF,81,81,2058,276,628,.439,52,145,.359,224,483,.464,.481,144,190,.758,53,280,333,98,52,14,101,140,Harrison Barnes
2013-14,21,GSW,NBA,SF,78,24,2204,271,679,.399,66,190,.347,205,489,.419,.448,130,181,.718,66,245,311,116,65,20,84,158,Harrison Barnes
2014-15,22,GSW,NBA,SF,82,82,2318,316,656,.482,87,215,.405,229,441,.519,.548,108,150,.720,117,336,453,116,61,19,71,146,Harrison Barnes
2015-16,23,GSW,NBA,SF,66,59,2042,295,633,.466,82,214,.383,213,419,.508,.531,102,134,.761,77,248,325,117,41,10,57,136,Harrison Barnes
2016-17,24,DAL,NBA,PF,79,79,2803,599,1280,.468,78,222,.351,521,1058,.492,.498,242,281,.861,93,301,394,116,65,15,102,128,Harrison Barnes
2017-18,25,DAL,NBA,PF,77,77,2634,537,1208,.445,119,333,.357,418,875,.478,.494,259,313,.827,77,391,468,152,49,14,118,94,Harrison Barnes
2018-19,26,2TM,NBA,PF,77,77,2533,431,1027,.420,174,441,.395,257,586,.439,.504,229,278,.824,57,304,361,115,50,13,98,122,Harrison Barnes
2018-19,26,DAL,NBA,PF,49,49,1584,290,717,.404,121,311,.389,169,406,.416,.489,165,198,.833,36,171,207,62,33,11,68,79,Harrison Barnes
2018-19,26,SAC,NBA,SF,28,28,949,141,310,.455,53,130,.408,88,180,.489,.540,64,80,.800,21,133,154,53,17,2,30,43,Harrison Barnes
2019-20,27,SAC,NBA,PF,72,72,2482,365,793,.460,102,268,.381,263,525,.501,.525,214,267,.801,77,278,355,159,43,12,88,93,Harrison Barnes
2020-21,28,SAC,NBA,PF,58,58,2102,319,642,.497,100,256,.391,219,386,.567,.575,195,235,.830,64,321,385,201,43,11,93,75,Harrison Barnes
2021-22,29,SAC,NBA,PF,77,77,2580,391,834,.469,142,360,.394,249,474,.525,.554,341,413,.826,82,350,432,186,53,14,118,94,Harrison Barnes
2022-23,30,SAC,NBA,PF,82,82,2662,374,791,.473,132,353,.374,242,438,.553,.556,350,413,.847,87,279,366,128,57,10,86,103,Harrison Barnes
2023-24,31,SAC,NBA,PF,82,82,2381,347,732,.474,149,385,.387,198,347,.571,.576,157,196,.801,67,182,249,99,54,12,58,98,Harrison Barnes
2024-25,32,SAS,NBA,PF,31,31,853,105,225,.467,42,105,.400,63,120,.525,.560,66,84,.786,47,71,118,47,9,6,22,25,Harrison Barnes
2021-22,20,TOR,NBA,PF,74,74,2617,459,932,.492,58,193,.301,401,739,.543,.524,158,215,.735,195,362,557,256,80,55,136,192,Scottie Barnes
2022-23,21,TOR,NBA,SF,77,76,2678,463,1016,.456,63,224,.281,400,792,.505,.487,190,246,.772,179,333,512,371,83,61,154,170,Scottie Barnes
2023-24,22,TOR,NBA,SG,60,60,2094,447,942,.475,101,296,.341,346,646,.536,.528,196,251,.781,141,353,494,363,75,88,165,118,Scottie Barnes
2024-25,23,TOR,NBA,PF,18,18,612,133,296,.449,30,106,.283,103,190,.542,.500,64,88,.727,33,107,140,130,23,12,63,43,Scottie Barnes
2019-20,19,NYK,NBA,SG,56,55,1704,292,727,.402,63,197,.320,229,530,.432,.445,156,254,.614,50,229,279,143,55,17,124,122,RJ Barrett
2020-21,20,NYK,NBA,SG,72,72,2511,467,1060,.441,124,309,.401,343,751,.457,.499,206,276,.746,68,346,414,217,53,20,139,188,RJ Barrett
2021-22,21,NYK,NBA,SF,70,70,2417,487,1194,.408,138,404,.342,349,790,.442,.466,290,406,.714,66,342,408,208,43,16,151,142,RJ Barrett
2022-23,22,NYK,NBA,SG,73,73,2475,510,1176,.434,121,390,.310,389,786,.495,.485,290,392,.740,60,308,368,201,31,15,164,179,RJ Barrett
2023-24,23,2TM,NBA,SG,58,58,1838,436,880,.495,90,250,.360,346,630,.549,.547,208,291,.715,53,262,315,193,31,22,126,129,RJ Barrett
2023-24,23,NYK,NBA,SG,26,26,766,164,388,.423,43,130,.331,121,258,.469,.478,103,124,.831,19,92,111,63,12,9,47,45,RJ Barrett
2023-24,23,TOR,NBA,SG,32,32,1072,272,492,.553,47,120,.392,225,372,.605,.601,105,167,.629,34,170,204,130,19,13,79,84,RJ Barrett
2024-25,24,TOR,NBA,SG,26,26,891,224,486,.461,51,146,.349,173,340,.509,.513,116,160,.725,25,152,177,163,18,11,88,65,RJ Barrett
2021-22,26,PHO,NBA,SF,2,0,7,2,6,.333,0,2,.000,2,4,.500,.333,2,2,1.000,2,2,4,0,1,0,2,2,Paris Bass
2021-22,21,PHI,NBA,C,23,0,168,30,47,.638,0,4,.000,30,43,.698,.638,9,12,.750,22,40,62,7,5,17,8,32,Charles Bassey
2022-23,22,SAS,NBA,C,35,2,508,87,135,.644,3,8,.375,84,127,.661,.656,22,37,.595,75,118,193,48,16,33,41,74,Charles Bassey
2023-24,23,SAS,NBA,C,19,0,205,29,40,.725,0,1,.000,29,39,.744,.725,5,6,.833,23,53,76,21,8,17,15,31,Charles Bassey
2024-25,24,SAS,NBA,C,20,0,219,43,75,.573,0,0,,43,75,.573,.573,13,23,.565,32,56,88,9,7,22,15,27,Charles Bassey
2023-24,20,CLE,NBA,SF,15,0,133,15,49,.306,10,33,.303,5,16,.313,.408,1,4,.250,1,13,14,10,1,2,8,5,Emoni Bates
2018-19,23,MIN,NBA,SF,30,3,503,60,142,.423,13,52,.250,47,90,.522,.468,18,28,.643,16,67,83,17,18,14,14,29,Keita Bates-Diop
2019-20,24,2TM,NBA,SF,44,0,744,100,234,.427,34,103,.330,66,131,.504,.500,54,75,.720,25,102,127,30,19,24,17,43,Keita Bates-Diop
