Season,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Name
2014-15,25,PHO,NBA,PG,46,1,1181,218,512,.426,81,207,.391,137,305,.449,.505,184,211,.872,26,83,109,171,45,5,89,105,Isaiah Thomas
2014-15,25,BOS,NBA,PG,21,0,545,117,285,.411,48,139,.345,69,146,.473,.495,118,137,.861,7,37,44,113,12,0,54,45,Isaiah Thomas
2015-16,26,BOS,NBA,PG,82,79,2644,591,1382,.428,167,465,.359,424,917,.462,.488,474,544,.871,46,197,243,509,91,9,220,167,Isaiah Thomas
2016-17,27,BOS,NBA,PG,76,76,2569,682,1473,.463,245,646,.379,437,827,.528,.546,590,649,.909,43,162,205,448,70,13,210,167,Isaiah Thomas
2017-18,28,2TM,NBA,PG,32,15,862,157,421,.373,55,188,.293,102,233,.438,.438,117,131,.893,17,50,67,153,15,3,95,58,Isaiah Thomas
2017-18,28,CLE,NBA,PG,15,14,406,70,194,.361,22,87,.253,48,107,.449,.418,59,68,.868,7,24,31,68,9,2,41,25,Isaiah Thomas
2017-18,28,LAL,NBA,PG,17,1,456,87,227,.383,33,101,.327,54,126,.429,.456,58,63,.921,10,26,36,85,6,1,54,33,Isaiah Thomas
2018-19,29,DEN,NBA,SG,12,0,181,34,99,.343,12,43,.279,22,56,.393,.404,17,27,.630,5,8,13,23,5,1,18,17,Isaiah Thomas
2019-20,30,WAS,NBA,PG,40,37,925,174,426,.408,78,189,.413,96,237,.405,.500,62,76,.816,11,57,68,146,13,6,77,77,Isaiah Thomas
2020-21,31,NOP,NBA,PG,3,0,48,9,27,.333,3,12,.250,6,15,.400,.389,2,2,1.000,1,3,4,5,1,0,6,3,Isaiah Thomas
2021-22,32,3TM,NBA,PG,22,1,333,67,167,.401,28,83,.337,39,84,.464,.485,22,26,.846,4,25,29,34,7,5,15,34,Isaiah Thomas
2021-22,32,LAL,NBA,PG,4,1,101,12,39,.308,5,22,.227,7,17,.412,.372,8,11,.727,1,7,8,6,0,2,5,12,Isaiah Thomas
2021-22,32,DAL,NBA,PG,1,0,13,3,8,.375,0,3,.000,3,5,.600,.375,0,0,,0,0,0,4,0,0,0,0,Isaiah Thomas
2021-22,32,CHO,NBA,PG,17,0,219,52,120,.433,23,58,.397,29,62,.468,.529,14,15,.933,3,18,21,24,7,3,10,22,Isaiah Thomas
2023-24,34,PHO,NBA,PG,6,0,19,3,10,.300,2,4,.500,1,6,.167,.400,0,0,,0,0,0,3,0,0,0,0,Isaiah Thomas
2018-19,22,DET,NBA,SG,26,0,195,22,69,.319,10,35,.286,12,34,.353,.391,7,11,.636,4,16,20,8,7,5,4,22,Khyri Thomas
2019-20,23,DET,NBA,SG,8,0,61,5,17,.294,5,14,.357,0,3,.000,.441,2,4,.500,1,0,1,3,3,0,3,9,Khyri Thomas
