Team Name,Record Type,Player,Player Link,Stat Value
WASHINGTON WIZARDS,Total Points,Elvin Hayes,https://www.nba.com/player/76979/,15551
WASHINGTON WIZARDS,Total Assists,John Wall,https://www.nba.com/player/202322/,5282
WASHINGTON WIZARDS,Total Rebounds,Wes Unseld,https://www.nba.com/player/78392/,13769
WASHINGTON WIZARDS,Total Blocks,Elvin Hayes,https://www.nba.com/player/76979/,1558
WASHINGTON WIZARDS,Total Steals,John Wall,https://www.nba.com/player/202322/,976
DENVER NUGGETS,Total Points,Alex English,https://www.nba.com/player/76673/,21645
DENVER NUGGETS,Total Assists,Nikola Jokić,https://www.nba.com/player/203999/,4784
DENVER NUGGETS,Total Rebounds,Nikola Jokić,https://www.nba.com/player/203999/,7386
DENVER NUGGETS,Total Blocks,Dikembe Mutombo,https://www.nba.com/player/87/,1486
DENVER NUGGETS,Total Steals,Lafayette Lever,https://www.nba.com/player/77376/,1167
MINNESOTA TIMBERWOLVES,Total Points,Kevin Garnett,https://www.nba.com/player/708/,19201
MINNESOTA TIMBERWOLVES,Total Assists,Kevin Garnett,https://www.nba.com/player/708/,4216
MINNESOTA TIMBERWOLVES,Total Rebounds,Kevin Garnett,https://www.nba.com/player/708/,10718
MINNESOTA TIMBERWOLVES,Total Blocks,Kevin Garnett,https://www.nba.com/player/708/,1590
MINNESOTA TIMBERWOLVES,Total Steals,Kevin Garnett,https://www.nba.com/player/708/,1315
OKLAHOMA CITY THUNDER,Total Points,Russell Westbrook,https://www.nba.com/player/201566/,18859
OKLAHOMA CITY THUNDER,Total Assists,Gary Payton,https://www.nba.com/player/56/,7384
OKLAHOMA CITY THUNDER,Total Rebounds,Jack Sikma,https://www.nba.com/player/78149/,7729
OKLAHOMA CITY THUNDER,Total Blocks,Serge Ibaka,https://www.nba.com/player/201586/,1300
OKLAHOMA CITY THUNDER,Total Steals,Gary Payton,https://www.nba.com/player/56/,2107
PORTLAND TRAIL BLAZERS,Total Points,Damian Lillard,https://www.nba.com/player/203081/,19376
