#,PLAYER,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
121,Tim Hardaway Jr.,DET,14,28.0,11.0,3.5,8.4,41.9,2.3,5.9,39.0,1.7,1.9,88.9,0.1,1.4,1.6,2.0,0.4,0.0,0.6,9.3
123,Amen Thompson,HOU,16,24.8,10.9,3.9,7.1,55.8,0.3,1.0,25.0,2.8,3.9,72.6,1.8,4.6,6.4,2.1,0.9,0.8,1.7,15.3
123,Ayo Dosunmu,CHI,16,28.4,10.9,4.2,9.6,43.8,1.0,4.0,25.0,1.6,1.8,86.2,0.6,3.4,4.1,4.0,0.3,0.5,1.3,12.9
125,Jaden McDaniels,MIN,15,30.5,10.9,4.3,9.1,47.4,1.2,3.8,31.6,1.1,1.6,66.7,1.3,2.5,3.7,1.8,1.4,0.9,1.2,12.3
126,Onyeka Okongwu,ATL,14,23.6,10.9,4.1,7.6,54.2,0.4,1.9,22.2,2.2,2.8,79.5,2.1,4.4,6.5,1.6,0.8,0.8,1.0,15.5
127,Harrison Barnes,SAS,16,29.0,10.9,3.6,7.3,49.6,1.4,3.4,42.6,2.2,2.8,79.5,1.8,2.8,4.5,1.5,0.3,0.2,0.8,12.4
128,Chris Paul,SAS,16,28.6,10.8,3.8,8.1,46.5,2.0,5.3,38.1,1.3,1.3,100,0.4,3.5,3.9,8.6,1.4,0.1,2.1,18.4
129,Russell Westbrook,DEN,13,24.8,10.8,3.5,9.7,35.7,1.1,3.3,32.6,2.8,4.1,67.9,0.9,3.5,4.5,6.0,1.4,0.6,2.6,13.1
130,Miles McBride,NYK,11,26.4,10.7,4.0,9.1,44.0,2.0,5.3,37.9,0.7,0.9,80.0,0.4,1.9,2.3,2.5,1.1,0.3,1.1,10.5
131,Grant Williams,CHA,15,29.8,10.5,3.5,7.8,44.4,1.7,4.7,35.2,1.9,2.3,82.9,1.2,3.8,5.0,2.3,1.1,0.8,1.8,13.3
132,Carlton Carrington,WAS,13,30.3,10.4,3.8,8.6,43.8,1.6,4.2,38.9,1.2,1.5,80.0,0.2,4.2,4.4,5.0,1.2,0.3,1.8,14.3
132,Dalano Banton,POR,13,14.8,10.4,3.6,7.9,45.6,1.3,3.1,42.5,1.8,2.7,68.6,0.3,1.7,2.0,2.4,1.0,0.8,1.5,9.8
134,Stephon Castle,SAS,16,25.8,10.4,3.6,9.4,38.7,1.0,3.6,28.1,2.1,2.9,72.3,0.8,1.9,2.6,3.6,0.8,0.4,1.7,9.6
135,Caleb Martin,PHI,14,33.6,10.4,3.6,8.4,42.7,0.9,3.0,31.0,2.3,3.4,68.1,1.6,3.8,5.4,2.6,1.2,0.5,2.1,12.1
136,Grayson Allen,PHX,12,21.8,10.3,3.2,8.4,37.6,2.3,6.7,35.0,1.7,2.2,76.9,0.5,1.9,2.4,1.0,0.6,0.3,1.3,7.6
137,Al Horford,BOS,13,27.4,10.2,3.7,7.2,51.6,2.4,5.0,47.7,0.5,0.5,100,1.1,4.5,5.5,2.2,0.9,0.8,1.0,15.3
138,Duncan Robinson,MIA,12,20.3,10.2,3.6,9.3,38.4,2.5,6.8,36.6,0.5,0.6,85.7,0.3,1.8,2.2,1.8,0.6,0.3,0.8,8.4
139,Amir Coffey,LAC,16,24.3,10.1,3.3,6.8,49.1,1.6,3.5,46.4,1.8,2.1,85.3,0.6,1.9,2.6,1.1,0.6,0.1,0.7,9.9
140,Patrick Williams,CHI,15,28.9,9.9,3.3,8.9,37.6,1.9,4.7,39.4,1.4,1.7,84.0,1.1,3.9,5.0,2.3,1.0,0.5,1.9,11.1
141,Derrick Jones Jr.,LAC,16,25.9,9.9,3.8,7.8,48.4,1.5,3.3,45.3,0.9,1.1,82.4,1.4,2.3,3.6,0.9,1.3,0.3,1.1,10.7
142,Deni Avdija,POR,15,24.9,9.9,3.0,8.3,36.0,0.9,3.3,26.0,3.0,3.8,78.9,1.3,4.4,5.7,2.9,1.1,0.8,1.9,12.4
143,T.J. McConnell,IND,14,18.3,9.8,4.6,8.4,55.1,0.1,0.4,20.0,0.4,0.6,66.7,0.4,1.9,2.4,4.2,1.3,0.1,1.6,12.2
144,Alexandre Sarr,WAS,13,25.5,9.8,3.6,10.3,35.1,0.9,4.5,20.3,1.6,2.3,70.0,1.8,3.7,5.5,2.3,0.8,2.1,1.2,11.8
145,Obi Toppin,IND,14,20.6,9.6,3.9,7.1,54.5,1.0,3.3,30.4,0.9,1.1,86.7,0.8,2.2,3.0,1.6,0.6,0.4,0.8,11.1
146,Aaron Wiggins,OKC,16,21.3,9.6,3.7,8.3,44.7,1.6,3.8,42.6,0.6,0.7,81.8,1.3,2.5,3.8,1.8,0.8,0.3,0.8,10.8
146,Royce O'Neale,PHX,16,25.3,9.6,3.4,8.3,40.6,2.1,5.1,40.2,0.8,1.1,70.6,1.4,4.6,6.1,2.3,0.8,0.9,0.9,13.4
148,Peyton Watson,DEN,13,24.2,9.5,3.4,7.7,44.0,1.0,2.7,37.1,1.8,2.3,76.7,1.0,2.5,3.5,1.1,0.9,0.9,0.8,10.4
149,Garrison Mathews,ATL,15,20.5,9.5,2.8,6.1,45.7,2.4,5.1,47.4,1.5,1.7,88.5,0.2,1.0,1.2,1.7,0.8,0.2,0.5,9.5
150,Donte DiVincenzo,MIN,15,25.9,9.5,3.2,9.2,34.8,2.3,7.2,32.4,0.7,0.9,78.6,0.4,2.7,3.1,3.3,1.4,0.3,1.7,9.7
151,Julian Strawther,DEN,13,21.5,9.5,3.3,7.6,43.4,1.5,3.9,37.3,1.4,1.8,75.0,0.4,2.1,2.5,1.4,1.0,0.5,1.0,9.0
152,Guerschon Yabusele,PHI,14,21.1,9.3,3.4,6.9,50.0,1.6,3.9,41.8,0.8,1.3,61.1,1.6,3.2,4.8,1.8,0.7,0.4,1.2,11.9
