#,PLAYER,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
238,Dalen Terry,CHI,16,13.3,4.4,1.6,3.2,49.0,0.4,1.0,37.5,0.9,1.3,71.4,0.9,0.9,1.8,0.9,0.7,0.4,0.9,5.3
238,Julian Phillips,CHI,16,13.9,4.4,1.6,3.8,41.7,0.8,2.3,32.4,0.6,1.0,56.3,0.7,1.4,2.1,0.4,0.8,0.1,0.5,4.8
240,Keon Johnson,BKN,14,12.8,4.4,1.6,4.5,34.9,0.9,2.9,30.0,0.4,0.5,85.7,0.6,2.3,2.9,1.0,0.3,0.3,0.8,5.1
240,Seth Curry,CHA,14,14.5,4.4,1.6,4.1,40.4,0.9,2.3,40.6,0.2,0.4,60.0,0.6,1.0,1.6,0.5,0.5,0.1,0.3,4.3
242,Luke Kornet,BOS,13,16.7,4.3,1.5,2.5,62.5,0.0,0.0,0.0,1.2,1.3,94.1,1.9,2.0,3.9,1.7,0.5,0.7,0.4,9.8
243,Kris Murray,POR,14,12.8,4.3,1.6,3.6,46.0,0.6,1.6,36.4,0.4,1.2,35.3,1.1,1.4,2.4,0.7,0.6,0.1,0.6,4.9
244,KJ Martin,PHI,11,14.9,4.3,1.6,2.5,64.3,0.2,0.4,50.0,0.8,1.1,75.0,0.4,1.7,2.1,0.5,0.3,0.6,0.1,6.5
245,Spencer Dinwiddie,DAL,13,16.8,4.1,1.3,3.8,34.0,0.8,2.5,31.3,0.7,0.9,75.0,0.1,1.1,1.2,1.6,0.4,0.2,0.5,4.2
246,Max Christie,LAL,14,16.6,4.1,1.3,3.6,36.0,0.4,1.7,25.0,1.1,1.3,83.3,0.6,1.2,1.8,0.9,0.9,0.4,0.6,5.1
247,Jett Howard,ORL,16,9.1,4.1,1.4,3.5,41.1,1.1,2.8,37.8,0.1,0.1,100,0.2,0.9,1.1,0.4,0.1,0.4,0.4,3.5
248,Blake Wesley,SAS,14,11.3,4.0,1.6,3.8,41.5,0.1,1.1,13.3,0.7,0.9,76.9,0.2,0.5,0.7,1.6,0.4,0.1,1.0,3.3
249,Gary Harris,ORL,15,17.1,3.9,1.4,3.7,37.5,1.0,2.9,34.9,0.1,0.2,66.7,0.5,0.9,1.4,0.5,0.4,0.3,0.4,3.7
250,Reed Sheppard,HOU,16,12.2,3.9,1.6,3.9,40.3,0.8,2.0,37.5,0.0,0.0,0.0,0.4,0.9,1.3,1.6,0.4,0.3,0.7,4.4
251,Doug McDermott,SAC,11,11.1,3.8,1.3,3.7,34.1,1.0,3.1,32.4,0.3,0.5,60.0,0.0,0.9,0.9,0.3,0.2,0.1,0.1,2.5
252,Rayan Rupert,POR,13,10.8,3.8,1.5,3.0,48.7,0.5,1.4,38.9,0.3,0.5,66.7,0.8,1.0,1.8,0.2,0.5,0.1,0.5,4.1
253,Cole Anthony,ORL,15,9.2,3.7,1.2,3.4,35.3,0.4,1.6,25.0,0.9,1.5,63.6,0.3,1.6,1.9,1.6,0.5,0.1,1.1,3.9
254,Tidjane Salaün,CHA,13,15.9,3.7,1.2,4.1,28.3,0.7,2.7,25.7,0.7,1.0,69.2,0.7,3.0,3.7,1.0,0.3,0.2,0.8,4.9
255,Nicolas Batum,LAC,16,17.0,3.7,1.3,3.3,37.7,0.8,2.4,33.3,0.4,0.5,75.0,0.7,1.9,2.6,1.4,0.4,0.6,0.5,6.0
256,Moussa Diabate,CHA,15,17.1,3.6,1.7,2.7,61.0,0.0,0.0,0.0,0.3,0.7,36.4,3.2,4.7,7.9,0.5,0.5,0.9,0.8,11.1
257,Ousmane Dieng,OKC,16,11.6,3.5,1.3,3.7,33.9,0.6,2.3,25.0,0.4,0.7,63.6,0.6,2.1,2.6,0.8,0.7,0.3,0.3,4.9
258,Andre Jackson Jr.,MIL,14,17.2,3.4,1.2,2.9,42.5,0.6,1.6,39.1,0.3,0.6,50.0,0.5,1.9,2.4,1.4,0.7,0.3,1.4,4.8
259,Craig Porter Jr.,CLE,12,10.9,3.3,1.3,2.3,57.1,0.4,0.8,50.0,0.3,0.3,75.0,0.1,1.1,1.2,1.7,0.3,0.5,0.6,5.3
260,Cody Williams,UTA,15,19.3,3.3,1.2,4.3,28.1,0.5,2.3,20.0,0.4,0.7,60.0,0.5,1.8,2.3,1.3,0.5,0.3,0.7,3.6
261,Jordan McLaughlin,SAC,12,9.8,3.2,1.0,2.3,42.9,0.5,1.3,40.0,0.7,0.8,80.0,0.2,0.9,1.1,1.3,0.5,0.0,0.4,4.1
262,Matas Buzelis,CHI,15,8.3,2.9,0.9,2.8,31.0,0.5,1.5,34.8,0.6,0.8,75.0,0.4,1.5,1.9,0.2,0.4,0.5,0.6,3.1
263,Jabari Walker,POR,11,8.4,2.8,1.0,2.5,40.7,0.2,0.8,22.2,0.6,0.7,87.5,0.8,1.7,2.5,0.3,0.2,0.1,0.5,3.9
264,Delon Wright,MIL,12,17.6,2.8,1.0,3.1,32.4,0.5,2.0,25.0,0.3,0.5,50.0,0.5,1.1,1.6,2.0,0.9,0.4,0.4,4.9
265,Gabe Vincent,LAL,15,17.9,2.7,1.1,3.8,28.1,0.5,2.4,19.4,0.1,0.3,50.0,0.3,0.7,1.0,0.5,0.7,0.0,0.5,1.6
266,Shake Milton,BKN,12,10.3,2.6,0.9,2.2,42.3,0.6,1.5,38.9,0.2,0.3,66.7,0.4,0.4,0.8,1.4,0.2,0.0,0.2,3.5
267,Johnny Davis,WAS,11,7.5,2.5,1.1,2.4,46.2,0.2,0.4,50.0,0.1,0.2,50.0,0.4,0.9,1.3,0.2,0.3,0.1,0.1,2.8
268,Ricky Council IV,PHI,11,7.9,2.4,0.8,2.5,33.3,0.2,0.9,20.0,0.5,0.5,100,0.3,0.6,0.9,0.7,0.1,0.0,0.3,2.2
269,Dillon Jones,OKC,15,8.4,2.3,0.9,2.7,34.1,0.3,1.5,17.4,0.2,0.4,50.0,0.9,1.3,2.1,0.7,0.2,0.1,0.5,3.0
270,Jericho Sims,NYK,15,13.8,2.1,1.0,1.3,75.0,0.0,0.0,0.0,0.1,0.2,33.3,1.5,2.7,4.3,0.7,0.1,0.4,0.5,6.5
271,Alex Len,SAC,12,8.8,2.0,0.9,1.5,61.1,0.0,0.3,0.0,0.2,0.3,50.0,0.5,2.0,2.5,0.8,0.2,0.9,0.5,5.2
272,Dwight Powell,DAL,13,8.9,1.9,0.5,0.6,75.0,0.0,0.0,0.0,1.0,1.4,72.2,0.7,1.3,2.0,0.7,0.4,0.5,0.4,4.6
273,Jordan Walsh,BOS,12,9.0,1.3,0.5,1.7,30.0,0.3,1.3,25.0,0.0,0.1,0.0,0.3,0.8,1.0,0.3,0.3,0.3,0.2,1.8
274,Adem Bona,PHI,10,3.4,1.1,0.5,0.6,83.3,0.0,0.0,0.0,0.1,0.1,100,0.5,0.8,1.3,0.0,0.0,0.3,0.2,2.4
