Team Name,Achievement Type,Year
DETROIT PISTONS,Championship Wins,2004
DETROIT PISTONS,Conference Titles,1988
DETROIT PISTONS,Conference Titles,1989
DETROIT PISTONS,Conference Titles,1990
DETROIT PISTONS,Conference Titles,2004
DETROIT PISTONS,Conference Titles,2005
DETROIT PISTONS,Division Titles,1955
DETROIT PISTONS,Division Titles,1956
DETROIT PISTONS,Division Titles,1988
DETROIT PISTONS,Division Titles,1989
DETROIT PISTONS,Division Titles,1990
DETROIT PISTONS,Division Titles,2002
DETROIT PISTONS,Division Titles,2003
DETROIT PISTONS,Division Titles,2005
DETROIT PISTONS,Division Titles,2006
DETROIT PISTONS,Division Titles,2007
DETROIT PISTONS,Division Titles,2008
INDIANA PACERS,Conference Titles,2000
INDIANA PACERS,Division Titles,1995
INDIANA PACERS,Division Titles,1999
INDIANA PACERS,Division Titles,2000
INDIANA PACERS,Division Titles,2004
INDIANA PACERS,Division Titles,2013
INDIANA PACERS,Division Titles,2014
MILWAUKEE BUCKS,Championship Wins,1971
MILWAUKEE BUCKS,Championship Wins,2021
MILWAUKEE BUCKS,Conference Titles,1971
MILWAUKEE BUCKS,Conference Titles,1974
MILWAUKEE BUCKS,Conference Titles,2021
MILWAUKEE BUCKS,Division Titles,1971
MILWAUKEE BUCKS,Division Titles,1972
MILWAUKEE BUCKS,Division Titles,1973
MILWAUKEE BUCKS,Division Titles,1974
MILWAUKEE BUCKS,Division Titles,1976
MILWAUKEE BUCKS,Division Titles,1980
MILWAUKEE BUCKS,Division Titles,1981
MILWAUKEE BUCKS,Division Titles,1982
MILWAUKEE BUCKS,Division Titles,1983
MILWAUKEE BUCKS,Division Titles,1984
MILWAUKEE BUCKS,Division Titles,1985
MILWAUKEE BUCKS,Division Titles,1986
MILWAUKEE BUCKS,Division Titles,2001
MILWAUKEE BUCKS,Division Titles,2019
MILWAUKEE BUCKS,Division Titles,2020
MILWAUKEE BUCKS,Division Titles,2021
MILWAUKEE BUCKS,Division Titles,2022
MILWAUKEE BUCKS,Division Titles,2023
MILWAUKEE BUCKS,Division Titles,2024
ATLANTA HAWKS,Championship Wins,1958
ATLANTA HAWKS,Division Titles,1957
ATLANTA HAWKS,Division Titles,1958
ATLANTA HAWKS,Division Titles,1959
ATLANTA HAWKS,Division Titles,1960
ATLANTA HAWKS,Division Titles,1961
ATLANTA HAWKS,Division Titles,1968
ATLANTA HAWKS,Division Titles,1970
ATLANTA HAWKS,Division Titles,1980
ATLANTA HAWKS,Division Titles,1987
ATLANTA HAWKS,Division Titles,1994
ATLANTA HAWKS,Division Titles,2015
ATLANTA HAWKS,Division Titles,2021
ATLANTA HAWKS,Division Titles,2023
MIAMI HEAT,Championship Wins,2006
MIAMI HEAT,Championship Wins,2012
MIAMI HEAT,Championship Wins,2013
MIAMI HEAT,Conference Titles,2006
MIAMI HEAT,Conference Titles,2011
MIAMI HEAT,Conference Titles,2012
MIAMI HEAT,Conference Titles,2013
MIAMI HEAT,Conference Titles,2014
MIAMI HEAT,Conference Titles,2020
MIAMI HEAT,Conference Titles,2023
MIAMI HEAT,Division Titles,1997
MIAMI HEAT,Division Titles,1998
MIAMI HEAT,Division Titles,1999
MIAMI HEAT,Division Titles,2000
MIAMI HEAT,Division Titles,2005
MIAMI HEAT,Division Titles,2006
MIAMI HEAT,Division Titles,2007
MIAMI HEAT,Division Titles,2011
MIAMI HEAT,Division Titles,2012
MIAMI HEAT,Division Titles,2013
MIAMI HEAT,Division Titles,2014
MIAMI HEAT,Division Titles,2016
MIAMI HEAT,Division Titles,2018
MIAMI HEAT,Division Titles,2020
MIAMI HEAT,Division Titles,2022
ORLANDO MAGIC,Conference Titles,1995
ORLANDO MAGIC,Conference Titles,2009
ORLANDO MAGIC,Division Titles,1995
ORLANDO MAGIC,Division Titles,1996
ORLANDO MAGIC,Division Titles,2008
ORLANDO MAGIC,Division Titles,2009
ORLANDO MAGIC,Division Titles,2010
ORLANDO MAGIC,Division Titles,2019
ORLANDO MAGIC,Division Titles,2024
WASHINGTON WIZARDS,Championship Wins,1978
WASHINGTON WIZARDS,Conference Titles,1971
WASHINGTON WIZARDS,Conference Titles,1975
WASHINGTON WIZARDS,Conference Titles,1978
WASHINGTON WIZARDS,Conference Titles,1979
WASHINGTON WIZARDS,Division Titles,1969
WASHINGTON WIZARDS,Division Titles,1971
WASHINGTON WIZARDS,Division Titles,1972
WASHINGTON WIZARDS,Division Titles,1973
